occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5381235	SD	B. Ryan	California	San Diego	106.33	outside_boundary_exact	130125	34.4,-116.9708333	California, San Bernardino County	Agua Tibia Wilderness: Magee Palomar Trail at Crossley Saddle. 1175-1225m (3900-4000 ft.). Granite rocks. Chaparral (Manzanita, etc.), Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381235
5381200	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130090	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381200
5381201	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130091	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381201
5381218	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130108	33.3875,-117.95	not_found_in_US	gua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381218
5381219	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130109	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381219
5381220	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130110	33.3875,-117.95	not_found_in_US	Magge Palomar Trail, in vicinity of Eagle Crag. 1375m. Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381220
5381222	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130112	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. Granite Rocks. Big Cone Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381222
5381228	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130118	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381228
5381232	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130122	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vicinity of Eagle Crag. 1375m (4600 ft.). Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381232
5381237	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130127	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375m (4600 ft.). Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381237
5381238	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130128	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375 m (4600 ft). Granite rocks. Big Cane Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381238
5381241	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130131	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375 m (4600 ft) . Granite rocks. Big Cone Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381241
5381263	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130153	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381263
5381264	SD	B. Ryan	California	San Diego	31.9	outside_boundary_exact	130154	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381264
5381261	SD	B. Ryan	California	San Diego	19.33	outside_boundary_exact	130151	32.375,-116.95	not_found_in_US	Mission Indian Reserve: Palomar Divide Truck Trail, 2 mi SSE of Eagle Crag. 5200 ft.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381261
5381270	SD	B. Ryan	California	Riverside	3.1	outside_boundary_exact	130160	33.4,-116.9708333	California, San Diego County	Agua Tibia Wilderness, Magee Palomar Trail at Crossley Saddle	https://lichenportal.org/portal/collections/individual/index.php?occid=5381270
5381043	SD	Reid Moran	California	San Clemente Island	NA	county_not_matched_no_match	68310	32.89666667,-118.52	county_not_matched	Cliff at canyon mouth	https://lichenportal.org/portal/collections/individual/index.php?occid=5381043
