occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3133063	UCSC	Susanne Altermann	California	Santa Cruz	535.91	outside_boundary_exact	7875.00	42.0576,-122.60292	Oregon, Jackson County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=3133063
3412643	UCSC	K.M. Kellman	California	Santa Cruz	343.62	outside_boundary_exact	7335.00	34.9,-118.666667	California, Kern County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=3412643
3420073	UCSC	K.M. Kellman, D. Giuliano, D.W. Taylor	California	Santa Cruz	299.65	outside_boundary_exact	7380.00	34.14356,-122.14912	not_found_in_US	Opler Property	https://lichenportal.org/portal/collections/individual/index.php?occid=3420073
4786565	UCSC	Shirley Tucker, K. Tucker	California	Santa Cruz	188.57	outside_boundary_exact	2365.00	38.966667,-122.05	California, Colusa County	University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=4786565
3178453	UCSC	K.M. Kellman, T. Carlberg, J. Johnson	California	Nevada Co.	168.75	outside_boundary_exact	7132.00	39.43279,-123.23741	California, Mendocino County	Sagehen Creek Field Station, UC Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=3178453
3178464	UCSC	K.M. Kellman	California	Nevada Co.	168.75	outside_boundary_exact	7147.00	39.43279,-123.23741	California, Mendocino County	Sagehen Creek Field Station, UC Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=3178464
3178470	UCSC	K.M. Kellman, T. Carlberg, J. Johnson	California	Nevada Co.	168.75	outside_boundary_exact	7153.00	39.43279,-123.23741	California, Mendocino County	Sagehen Creek Field Station, UC Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=3178470
3033569	UCSC	Justin Shaffer	California	Santa Cruz	142.05	outside_boundary_exact	6695	37.01243516,-123.9250554	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:9.1, 4.4. FERP tag#: 56. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033569
3033570	UCSC	Justin Shaffer	California	Santa Cruz	142.05	outside_boundary_exact	6696	37.01243516,-123.9250554	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:9.1, 4.4. FERP tag#: 56. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033570
3033571	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6697	37.01327074,-123.9248804	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:1.6, 98.1. FERP tag#: 846. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033571
3033572	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6698	37.01327074,-123.9248804	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:1.6, 98.1. FERP tag#: 846. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033572
3033573	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6699	37.01326129,-123.9248474	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:4.7, 97.8. FERP tag#: 847. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033573
3033574	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6700	37.01326129,-123.9248474	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:4.7, 97.8. FERP tag#: 847. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033574
3033575	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6701	37.01326129,-123.9248474	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:4.7, 97.8. FERP tag#: 847. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033575
3033576	UCSC	Justin Shaffer	California	Santa Cruz	142.03	outside_boundary_exact	6702	37.01326129,-123.9248474	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:4.7, 97.8. FERP tag#: 847. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033576
3033597	UCSC	Justin Shaffer	California	Santa Cruz	142.02	outside_boundary_exact	UCSC 6723	37.0138267,-123.9247107	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,200; FERP offset from origin:1.2, 161.6. FERP tag#: 1130. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033597
3033598	UCSC	Justin Shaffer	California	Santa Cruz	142.02	outside_boundary_exact	UCSC 6724	37.01387324,-123.924688	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,200; FERP offset from origin:1.9, 167.1. FERP tag#: 1158. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033598
3033599	UCSC	Justin Shaffer	California	Santa Cruz	142.02	outside_boundary_exact	UCSC 6725	37.01387324,-123.924688	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,200; FERP offset from origin:1.9, 167.1. FERP tag#: 1158. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033599
3033578	UCSC	Justin Shaffer	California	Santa Cruz	142.01	outside_boundary_exact	6704	37.01332598,-123.9246151	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:23, 109.8. FERP tag#: 746. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033578
3033565	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	6691	37.01232406,-123.924403	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:68.4, 6.6. FERP tag#: 1959. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033565
3033566	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	6692	37.01232406,-123.924403	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:68.4, 6.6. FERP tag#: 1959. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033566
3033567	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	6693	37.01232406,-123.924403	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:68.4, 6.6. FERP tag#: 1959. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033567
3033603	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	UCSC 6729	37.01415112,-123.9245082	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,200; FERP offset from origin:9.9, 200.9. FERP tag#: 1388. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033603
3033604	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	UCSC 6730	37.01415112,-123.9245082	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,201; FERP offset from origin:9.9, 200.9. FERP tag#: 1388. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033604
3033605	UCSC	Justin Shaffer	California	Santa Cruz	142	outside_boundary_exact	UCSC 6731	37.01415112,-123.9245082	not_found_in_US	Forest Ecology Research Plot. Transect: 0,200_200,200; FERP offset from origin:9.9, 200.9. FERP tag#: 1388. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033605
3033579	UCSC	Justin Shaffer	California	Santa Cruz	141.99	outside_boundary_exact	6705	37.01323763,-123.9243982	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:44.1, 105. FERP tag#: 2430. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033579
3033588	UCSC	Justin Shaffer	California	Santa Cruz	141.99	outside_boundary_exact	UCSC 6714	37.01330603,-123.924364	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:45.2, 113.1. FERP tag#: 2438. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033588
3033589	UCSC	Justin Shaffer	California	Santa Cruz	141.99	outside_boundary_exact	UCSC 6715	37.01330603,-123.924364	not_found_in_US	Forest Ecology Research Plot. Transect: 0,100_200,100; FERP offset from origin:45.2, 113.1. FERP tag#: 2438. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033589
3033620	UCSC	Justin Shaffer	California	Santa Cruz	141.99	outside_boundary_exact	UCSC 6746	37.01255639,-123.9243568	not_found_in_US	Forest Ecology Research Plot. Transect: W-E on Path; FERP offset from origin:66.1, 32.6. FERP tag#: 2054. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033620
3033611	UCSC	Justin Shaffer	California	Santa Cruz	141.98	outside_boundary_exact	UCSC 6737	37.01496639,-123.9243569	not_found_in_US	Forest Ecology Research Plot. Transect: 0,300_200,300; FERP offset from origin:0.9, 291.9. FERP tag#: 1765. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033611
3033621	UCSC	Justin Shaffer	California	Santa Cruz	141.98	outside_boundary_exact	UCSC 6747	37.01248982,-123.9242525	not_found_in_US	Forest Ecology Research Plot. Transect: W-E on Path; FERP offset from origin:76.9, 27.7. FERP tag#: 2080. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033621
3033564	UCSC	Justin Shaffer	California	Santa Cruz	141.96	outside_boundary_exact	6690	37.01256583,-123.9239888	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:97.6, 41.6. FERP tag#: 3686. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033564
3033561	UCSC	Justin Shaffer	California	Santa Cruz	141.95	outside_boundary_exact	6687	37.01251479,-123.923897	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:106.9, 38.1. FERP tag#: 3655. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033561
3033562	UCSC	Justin Shaffer	California	Santa Cruz	141.95	outside_boundary_exact	6688	37.01251479,-123.923897	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:106.9, 38.1. FERP tag#: 3655. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033562
3033563	UCSC	Justin Shaffer	California	Santa Cruz	141.95	outside_boundary_exact	6689	37.01251479,-123.923897	not_found_in_US	Forest Ecology Research Plot. Transect: 0,0_200,0; FERP offset from origin:106.9, 38.1. FERP tag#: 3655. University of California, Santa Cruz	https://lichenportal.org/portal/collections/individual/index.php?occid=3033563
