occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5545894	US	S. C. Tucker	Louisiana	East Baton Rouge	7585.51	outside_boundary_exact	NA	30.3792,-9.125	not_found_in_US	East Baton Rouge Parish, Biard Drive, SE Baton Rouge	https://lichenportal.org/portal/collections/individual/index.php?occid=5545894
2802679	US	S. C. Tucker	Louisiana	Baton Rouge	13	outside_boundary_similarity_0.667	NA	30.8,-90.75	Louisiana, St. Helena County	Parish, E Feliciana, about 3 mi SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=2802679
2804637	US	S. C. Tucker	Louisiana	Baton Rouge	13	outside_boundary_similarity_0.667	NA	30.8,-90.75	Louisiana, St. Helena County	3 mi SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804637
2804292	US	S. C. Tucker	Louisiana	Baton Rouge	13	outside_boundary_similarity_0.667	NA	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 mi SE of Clinton, E Feliciana Parish.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804292
2805690	US	S. C. Tucker	Louisiana	Baton Rouge	13	outside_boundary_similarity_0.667	NA	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 mi SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=2805690
2804489	US	S. C. Tucker	Louisiana	Baton Rouge	8.31	outside_boundary_similarity_0.667	NA	30.78,-91.25	Louisiana, East Feliciana County	Standifer property, between Thompson Creek and Hamner Creek, along State route 966. W Feliciana Parish.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804489
3589052	US	S. C. Tucker	Louisiana	East Feliciana Parish	8.2	outside_boundary_exact	NA	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3589052
4759827	US	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	NA	30.8,-90.75	Louisiana, St. Helena County	East Feliciana Parish, Idlewild Experimental farm, 3 mi. SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=4759827
3592182	US	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	NA	30.8,-90.75	Louisiana, St. Helena County	East Feliciana Parish, Idlewild Experimental farm, 3 mi. SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=3592182
3369344	US	S. C. Tucker	Louisiana	East Feliciana Parish	8.2	outside_boundary_exact	NA	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm. About 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3369344
