institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
US	C. Wetmore	Minnesota	Cook	5789.86	outside_boundary_exact	not_found_in_US	62,-3	NA	Lichen Lake, 14 mi N of Lutsen. Along N shore of lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=4760368
US	C. Wetmore	Minnesota	Cook	5789.86	outside_boundary_exact	not_found_in_US	62,-3	NA	Lichen Lake, 14 mi N of Lutsen. Along N shore of lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=3369596
US	C. Wetmore	Minnesota	Cook	5789.86	outside_boundary_exact	not_found_in_US	62,-3	NA	Lichen Lake, 14 mi N of Lutsen. Along N shore of lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=4763640
US	C. Wetmore	Minnesota	Cook	5789.86	outside_boundary_exact	not_found_in_US	62,-3	NA	Lichen Lake, 14 mi N of Lutsen. Along N shore of lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811810
US	C. Wetmore	Minnesota	Cook	5789.86	outside_boundary_exact	not_found_in_US	62,-3	NA	Lichen Lake, 14 mi N of Lutsen.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811838
US	C. Wetmore	Minnesota	Cook	5731.57	outside_boundary_exact	not_found_in_US	62,-4	NA	Crescent Lake, 13 mi N of Lutsen.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792893
US	C. Wetmore	Minnesota	Lake	5693.07	outside_boundary_exact	not_found_in_US	62,-6	NA	Two mi S of Kawishiwi Lake, 25 mi NW of Tofte.	https://lichenportal.org/portal/collections/individual/index.php?occid=2793820
US	C. Wetmore	Minnesota	Lake	5693.07	outside_boundary_exact	not_found_in_US	62,-6	NA	Two mi S of Kawishiwi Lake, 25 mi NW of Tofte.	https://lichenportal.org/portal/collections/individual/index.php?occid=3363753
US	C. Wetmore	Minnesota	Lake	5693.07	outside_boundary_exact	not_found_in_US	62,-6	NA	One mi S of Kawishiwi Lake, 25 mi NW of Tofte.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792994
US	C. Wetmore	Minnesota	Lake	5693.07	outside_boundary_exact	not_found_in_US	62,-6	NA	One mi S of Kawishiwi Lake, 25 mi NW of Tofte.	https://lichenportal.org/portal/collections/individual/index.php?occid=3384411
US	C. Wetmore	Minnesota	Cook	5677.08	outside_boundary_exact	not_found_in_US	65,-4	NA	Seagull Creek near end of Gunflint Trail, 40 mi N of Tofte.	https://lichenportal.org/portal/collections/individual/index.php?occid=3360885
