institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	L.M. Umbach	Illinois	Jackson	377.95	outside_boundary_exact	Illinois, LaSalle County	41.321145,-88.989803	WIS-L-0027943	Starved Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1053649
WIS	A.C. Skorepa	Illinois	Randolph	246.45	outside_boundary_exact	Illinois, McLean County	40.370324,-88.993116	WIS-L-0043419	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1099257
WIS	Allen C. Skorepa	Illinois	Randolph	246.45	outside_boundary_exact	Illinois, McLean County	40.370324,-88.993116	WIS-L-0077291	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1324254
WIS	Allen Skorepa	Illinois	Randolph	246.45	outside_boundary_exact	Illinois, McLean County	40.370324,-88.993116	WIS-L-0091515	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1360637
WIS	A. Skorepa	Illinois	Randolph	246.45	outside_boundary_exact	Illinois, McLean County	40.370324,-88.993116	WIS-L-0098161	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1376212
WIS	Patricia Armstrong	Illinois	Vermilion	168.91	outside_boundary_exact	Illinois, Cook County	41.997064,-87.765015	WIS-L-0125416	Forest Glen National Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3182676
WIS	H.A. Sierk	Illinois	Morgan	155.46	outside_boundary_exact	Illinois, Coles County	39.603578,-88.098477	WIS-L-0036160	near Blue Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1070092
WIS	H. A. Sierk	Illinois	Morgan	155.46	outside_boundary_exact	Illinois, Coles County	39.603578,-88.098477	WIS-L-0047793	along Blue Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1107216
WIS	H.A. Sierk	Illinois	Morgan	155.46	outside_boundary_exact	Illinois, Coles County	39.603578,-88.098477	WIS-L-0114384	along Blue Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=2408175
WIS	Allen C. Skorepa	Illinois	Hardin	96.42	outside_boundary_exact	Missouri, Perry County	37.631858,-89.514666	WIS-L-0043309	Tower Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1099133
