institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	B.D. Ryan	New Mexico	Los Alamos	322.97	outside_boundary_exact	New Mexico, Otero County	32.866667,-106.366667	WIS-L-0011034	Road to Los Alamos Ski Hill, 2.5 mi SW of Los Alamos	https://lichenportal.org/portal/collections/individual/index.php?occid=962019
WIS	Sam Shushan	New Mexico	San Juan	230.63	outside_boundary_exact	New Mexico, Socorro County	34.003936,-106.991281	WIS-L-0051782	box canyon, 7 mi. east of Blanco	https://lichenportal.org/portal/collections/individual/index.php?occid=1127813
WIS	Leslie Hubricht	New Mexico	Valencia	107.51	outside_boundary_exact	New Mexico, Cibola County	34.703547,-108.387192	WIS-L-0078056	Seven miles north of Trechado	https://lichenportal.org/portal/collections/individual/index.php?occid=1325025
WIS	Leslie Hubricht	New Mexico	Valencia	101.38	outside_boundary_exact	New Mexico, Cibola County	34.812384,-108.320346	WIS-L-0077884	16 miles south of Et. Morro	https://lichenportal.org/portal/collections/individual/index.php?occid=1324847
WIS	Leslie Hubricht	New Mexico	Valencia	101.38	outside_boundary_exact	New Mexico, Cibola County	34.812384,-108.320346	WIS-L-0102911	16 miles south of El Morro	https://lichenportal.org/portal/collections/individual/index.php?occid=1389805
WIS	B.D. Ryan	New Mexico	Valencia	61.63	outside_boundary_exact	New Mexico, Cibola County	35.1666667,-107.8333333	WIS-L-0019689	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=1018425
WIS	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	WIS-L-0013841	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=969888
WIS	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	WIS-L-0023994	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=1033743
WIS	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	WIS-L-0025329	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=1036496
WIS	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	WIS-L-0014126	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=970426
WIS	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	WIS-L-0014203	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=970502
WIS	Leslie Hubericht	New Mexico	Socorro	45.01	outside_boundary_exact	New Mexico, Sierra County	33.072335,-106.659322	WIS-L-0092707	37 mi W of Tularosa	https://lichenportal.org/portal/collections/individual/index.php?occid=1362884
WIS	Richard Ford	New Mexico	Rio Arriba	29.02	outside_boundary_exact	New Mexico, Santa Fe County	35.674401,-106.006987	WIS-L-0078060	Chcoma Road, Rio Arriba City, Santa Fe Nat'l Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1325029
WIS	L. Hubricht	New Mexico	Socorro	27.47	outside_boundary_exact	New Mexico, Sierra County	33.229441,-106.725854	WIS-L-0070527	San Andres Mts., Rhodes Pass 47 mi W of Tulanosa	https://lichenportal.org/portal/collections/individual/index.php?occid=1301536
WIS	Leslie Hubricht	New Mexico	Socorro	27.47	outside_boundary_exact	New Mexico, Sierra County	33.229441,-106.725854	WIS-L-0077883	Rhodes Pass, 47 miles W of Tularosa, San Andres Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1324846
WIS	Robert S. Egan	New Mexico	Torrance	27.44	outside_boundary_exact	New Mexico, Bernalillo County	35.205339,-106.468061	WIS-L-0135864	Fourth of July Camp-gound; Cibola National Forest; Manzano Mountains; 2 miles (3.2 km) NW of Tijique	https://lichenportal.org/portal/collections/individual/index.php?occid=3178002
WIS	Wetmore, C.M.	New Mexico	San Doval	3.85	outside_boundary_similarity_0.667	New Mexico, Bernalillo County	35.183419,-106.516932	WIS-L-0018254	N of Albuquerque on road to Placitas.	https://lichenportal.org/portal/collections/individual/index.php?occid=1017700
WIS	Henry A. Imshaug	New Mexico	Santa Fe	2.61	outside_boundary_exact	New Mexico, San Miguel County	35.760075,-105.692099	WIS-L-0069753	Holy Ghost Creek, Santa Fe New Mexico	https://lichenportal.org/portal/collections/individual/index.php?occid=1294857
WIS	Henry A. Imshaug	New Mexico	Santa Fe	2.61	outside_boundary_exact	New Mexico, San Miguel County	35.760075,-105.692099	WIS-L-0069755	Holy Ghost Creek, Santa Fe New Mexico	https://lichenportal.org/portal/collections/individual/index.php?occid=1294859
WIS	Henry A. Imshaug	New Mexico	Santa Fe	2.61	outside_boundary_exact	New Mexico, San Miguel County	35.760075,-105.692099	WIS-L-0070529	Holy Ghost Creek, Santa Fe New Mexico	https://lichenportal.org/portal/collections/individual/index.php?occid=1301538
WIS	Henry A. Imshaug	New Mexico	Santa Fe	2.61	outside_boundary_exact	New Mexico, San Miguel County	35.760075,-105.692099	WIS-L-0070539	along Holy Ghost Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1301548
WIS	W.A. Weber	New Mexico	Lincoln	1.57	outside_boundary_exact	New Mexico, Otero County	33.376162,-105.804719	WIS-L-0110588	On huge rhyolite boulders on summit of Mon Jeau peak, Sierra Balanka between Ruidoso and Capitan, associated with Pupolus tremuloides, Festuca arizonica, Pseudotsuga menziesii, Pinus flexilis. Thallus up to 15 cm,the color yellow-green, very firmaly a	https://lichenportal.org/portal/collections/individual/index.php?occid=1484790
WIS	Sam Shushan	New Mexico	San Juan	0.96	outside_boundary_exact	New Mexico, Rio Arriba County	36.253022,-107.613466	WIS-L-0101864	43 miles S.E. of Bloomfield, 3 mi. N.W. of Lybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1387466
WIS	Sam Shushan	New Mexico	Taos	0.54	outside_boundary_exact	New Mexico, Rio Arriba County	36.588954,-105.967238	WIS-L-0096447	ca. 4 mi. S. of Tres Piedras	https://lichenportal.org/portal/collections/individual/index.php?occid=1373128
WIS	Sam Shushan	New Mexico	Taos	0.54	outside_boundary_exact	New Mexico, Rio Arriba County	36.588954,-105.967238	WIS-L-0099976	ca. 4 mi. S. of Tres Piedras	https://lichenportal.org/portal/collections/individual/index.php?occid=1378106
WIS	Robert S Egan	New Mexico	Rio Arriba	0.31	outside_boundary_exact	New Mexico, Rio Arriba County	36.820998,-105.977709	WIS-L-0102008	South of San Antonio Mountain off the Loop Road; about 12 miles N of Tres Piedras	https://lichenportal.org/portal/collections/individual/index.php?occid=1387610
WIS	R.S. Egan	New Mexico	Torrance	0.24	outside_boundary_exact	New Mexico, Valencia County	34.669116,-106.46877	WIS-L-0114389	Cibola National Forest; W-slope of Manzano Mountains, J. F. Kennedy Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=2408179
WIS	W.A. Weber	New Mexico	Dona Ana	0.11	outside_boundary_similarity_0.625	Texas, El Paso County	32,-106.5	WIS-L-0111161	Franklin Mts., 3.4 mi SW of junction of NM Hwy 404 (O'Hara Rd.) and 213 (War Rd.), extreme SW corner of sec.26,T26S R4E, N end of limestone hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1485366
WIS	Dan Norris	New Mexico	Colfax	0.04	outside_boundary_exact	New Mexico, Taos County	36.414476,-105.336398	WIS-L-0064687	Palo Flechado Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1244316
