institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	F.S. Chapman	Pennsylvania	Pike	19.68	outside_boundary_exact	Pennsylvania, Monroe County	41.077437,-75.451553	WIS-L-0026049	Pocono Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=1044171
WIS	John W. Thomson	Pennsylvania	Elk	14.4	outside_boundary_exact	Pennsylvania, Clearfield County	41.116667,-78.516667	WIS-L-0058243	Moshannon State Forest. Bog between 4 mile road and Crystal Spring road, 0.5 mi E of PA 153 and 1.5 mi N of I 80	https://lichenportal.org/portal/collections/individual/index.php?occid=1213581
WIS	John W. Thomson	Pennsylvania	Centre	8.11	outside_boundary_exact	Pennsylvania, Clearfield County	41,-78.25	WIS-L-0044066	in woods near Denny Thomson's home, 6 mi NW of State Colleg	https://lichenportal.org/portal/collections/individual/index.php?occid=1099905
WIS	John W. Thomson	Pennsylvania	Centre	4.43	outside_boundary_exact	Pennsylvania, Huntingdon County	40.681539,-77.739323	WIS-L-0041691	Broad Mt. SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1092597
WIS	John W. Thomson	Pennsylvania	Centre	4.15	outside_boundary_exact	Pennsylvania, Huntingdon County	40.703395,-78.129732	WIS-L-0055774	Near Warrior's Mark	https://lichenportal.org/portal/collections/individual/index.php?occid=1208184
WIS	John W. Thomson	Pennsylvania	Centre	4.15	outside_boundary_exact	Pennsylvania, Huntingdon County	40.703395,-78.129732	WIS-L-0058244	Thomson farm, Warriors Mark	https://lichenportal.org/portal/collections/individual/index.php?occid=1213582
WIS	John W. Thomson	Pennsylvania	Centre	4.15	outside_boundary_exact	Pennsylvania, Huntingdon County	40.703395,-78.129732	WIS-L-0068185	Warriors Mark, farm of Dennis Thomson	https://lichenportal.org/portal/collections/individual/index.php?occid=1288029
WIS	John W. Thomson	Pennsylvania	Centre	4.15	outside_boundary_exact	Pennsylvania, Huntingdon County	40.703395,-78.129732	WIS-L-0091711	Dr. Thomson property, Warriors Mark	https://lichenportal.org/portal/collections/individual/index.php?occid=1360833
WIS	John W. Thomson	Pennsylvania	Centre	4.15	outside_boundary_exact	Pennsylvania, Huntingdon County	40.703395,-78.129732	WIS-L-0096430	D.W. Thomson Farm, Warriors Mark	https://lichenportal.org/portal/collections/individual/index.php?occid=1373111
WIS	James C. Lendemer	Pennsylvania	Centre	3.98	outside_boundary_exact	Pennsylvania, Mifflin County	40.803693,-77.384742	WIS-L-0009326	Bald Eagle State Forest, above Winkleblech Vista, Winkleblech Rd. -0.25 mi SE of jct w/ Round Top Rd. ?	https://lichenportal.org/portal/collections/individual/index.php?occid=2407128
WIS	Irwin M. Brodo	Pennsylvania	Forest	3.42	outside_boundary_exact	Pennsylvania, Clarion County	41.333333,-79.25	WIS-L-0091715	Cook Forest State Park, Near Cooksburg, trail just off Route 966 bridge over Clarion River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1360837
WIS	John W. Thomson	Pennsylvania	Centre	2.92	outside_boundary_exact	Pennsylvania, Huntingdon County	40.690843,-77.724646	WIS-L-0028206	10 miles SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1055003
WIS	Irwin M. Brodo	Pennsylvania	Butler	2.29	outside_boundary_exact	Pennsylvania, Lawrence County	40.926667,-80.189832	WIS-L-0037028	near Portersville, McConnel Mills State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1071087
WIS	Irwin M. Brodo	Pennsylvania	Butler	2.29	outside_boundary_exact	Pennsylvania, Lawrence County	40.926667,-80.189832	WIS-L-0063695	near Portersville, McConnel Mills State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1240671
WIS	Irwin M. Brodo	Pennsylvania	Butler	2.29	outside_boundary_exact	Pennsylvania, Lawrence County	40.926667,-80.189832	WIS-L-0080578	near Portersville, McConnel Mills State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1347602
WIS	John W. Thomson	Pennsylvania	Schuylkill	1.8	outside_boundary_exact	Pennsylvania, Berks County	40.628327,-75.974775	WIS-L-0053402	Hawk Mt., Drehersville	https://lichenportal.org/portal/collections/individual/index.php?occid=1200603
WIS	John W. Thomson	Pennsylvania	Schuylkill	1.8	outside_boundary_exact	Pennsylvania, Berks County	40.628327,-75.974775	WIS-L-0091528	Hawk Mt., Drehersville	https://lichenportal.org/portal/collections/individual/index.php?occid=1360650
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0036183	at Forest Co. boundary, Minister Creek Campground, 6 mi W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1070115
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0047621	at Forest Co. boundary, Minister Creek Campground, 6 miles W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1107044
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0056566	on edge with Forest Co., Minister Creek Campground, 6 mi W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1211193
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0073679	on edge with Forest Co., Minister Creek Campground, 6 mi W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1310406
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0075995	on edge with Forest Col, Minister Creek Campground, 6 mi W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1321815
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0077380	Warren and Forest County edge. Minister Creek Campground, 6 mi W Lynch on PA 666.	https://lichenportal.org/portal/collections/individual/index.php?occid=1324343
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0078553	at Forest Co. boundary, Warren Creek Campground, 6 mi W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1325521
WIS	John W. Thomson	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0091712	Warren & Forest County edge, Minister Creek Campground 6 mi West of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1360834
WIS	J.W. Thomson	Pennsylvania	Warren and Forest	1.12	outside_boundary_first_word_match	Pennsylvania, Forest County	41.616667,-79.166667	WIS-L-0107832	Minister Creek Campground, 6 mi. W of Lynch on PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=1424272
WIS	T.H. Nash III	Pennsylvania	Mongomery	0.81	outside_boundary_similarity_0.7	Pennsylvania, Berks County	40.3333333,-75.6333333	WIS-L-0015660	Boyertown, 6 km E of New Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1009459
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0036586	Cook Forest State Park, 15 miles N of Brookville on PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1070628
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0036870	Cook Forest State Park, 15 mi. N of Brookville on PA 35.	https://lichenportal.org/portal/collections/individual/index.php?occid=1070930
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0042436	Cook Forest State Park, 15 mi N of Brookville on PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1098270
WIS	J.W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0046009	Cook Forest State Park, 15 mi. N of Brookville on PA 35.	https://lichenportal.org/portal/collections/individual/index.php?occid=1101495
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0047619	Cook Forest State Park, 15 mi. N of Brookville on PA 35.	https://lichenportal.org/portal/collections/individual/index.php?occid=1107042
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0051406	Cook Forest State Park, 15 mi N of Brookville along PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1126912
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0052547	Cook Forest State Park, 15 mi. N of Brookville on PA 35.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130963
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0080240	Cook Forest State Park, 15 mi N of Brookville along PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1345858
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0082800	Cook Forest State Park, 15 mi N of Brookville on PA 35.	https://lichenportal.org/portal/collections/individual/index.php?occid=1358638
WIS	John W. Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0091713	Cook Forest State Park, 15 mi N of Brookville along PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1360835
WIS	J.W.Thomson	Pennsylvania	Clarion	0.73	outside_boundary_exact	Pennsylvania, Forest County	41.333333,-79.2	WIS-L-0099546	Cook Forest state Park, 15 mi. N of Brookville on PA 35	https://lichenportal.org/portal/collections/individual/index.php?occid=1377676
WIS	Robert S Egan	Pennsylvania	Schuylkill	0.24	outside_boundary_exact	Pennsylvania, Lebanon County	40.49381,-76.439092	WIS-L-0058417	[State Game Lands Number 80 vicinity]: about 3 miles SE of Pine Grove along Route 501	https://lichenportal.org/portal/collections/individual/index.php?occid=1213755
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0053397	on Broad Mt., SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1200599
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0053538	on Broad Mt., SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1202277
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0058573	on Broad Mt., SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1223839
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0062371	on Broad Mt., SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1232432
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0091917	on the side of Broad Mt. SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1362094
WIS	J.W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0093916	Side of Broad Mt., SE of State College	https://lichenportal.org/portal/collections/individual/index.php?occid=1368083
WIS	John W. Thomson	Pennsylvania	Centre	0.15	outside_boundary_exact	Pennsylvania, Mifflin County	40.73424,-77.66671	WIS-L-0101918	on side of Broad Mt., near Alan Seegar Memorial	https://lichenportal.org/portal/collections/individual/index.php?occid=1387520
