occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
499940	WIS	Lund, Mrs. F.E., Jr.	Wisconsin	Bayfield	298.43	outside_boundary_exact	WIS-L-0006947	43.599079,-89.778945	Wisconsin, Sauk County	Lake Delton. [possibly Lake Delta in Bayfield Co., otherwise Lake Delton is in Sauk Co.]	https://lichenportal.org/portal/collections/individual/index.php?occid=499940
497344	WIS	William Louis Culberson	Wisconsin	Brown	266.57	outside_boundary_exact	WIS-L-0004241	45.97,-91.12	Wisconsin, Sawyer County	SW of Dyckesville.	https://lichenportal.org/portal/collections/individual/index.php?occid=497344
499273	WIS	John W. Thomson	Wisconsin	Douglas	251.54	outside_boundary_exact	WIS-L-0006170	43.97,-90.74	Wisconsin, Monroe County	Along Upper Brule River	https://lichenportal.org/portal/collections/individual/index.php?occid=499273
1417572	WIS	Cheney	Wisconsin	Portage	238.13	outside_boundary_exact	WIS-L-0105748	45.877447,-92.367416	Wisconsin, Burnett County	Webster	https://lichenportal.org/portal/collections/individual/index.php?occid=1417572
1123098	WIS	John W. Thomson	Wisconsin	Washburn	228.59	outside_boundary_exact	WIS-L-0048769	44.173246,-89.507448	Wisconsin, Waushara County	S of Plainfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1123098
1362247	WIS	John W. Thomson	Wisconsin	Douglas	219.38	outside_boundary_exact	WIS-L-0092070	44.285767,-90.666936	Wisconsin, Jackson County	West side of ravine of Black River State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1362247
4850713	WIS	Rebecca Yahr	Wisconsin	Vilas	206.85	outside_boundary_exact	WIS-L-0152758	48.1472222,-89.5016667	not_found_in_US	Town of Land o' Lakes, Northern Highland State Forest, Johnson Lake Barrens State Natural Area, 1.5 mi S of County Road B on High Lake Road, then 1.2 mi E on Jule Lake Road	https://lichenportal.org/portal/collections/individual/index.php?occid=4850713
496247	WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	WIS-L-0003143	46.38,-91.3	Wisconsin, Bayfield County	East of Wapigon Lake Nicolet Nat'l Forest. [Wabikon Lake]	https://lichenportal.org/portal/collections/individual/index.php?occid=496247
496334	WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	WIS-L-0003231	46.38,-91.3	Wisconsin, Bayfield County	East of Wabikon Lake, Nicolet Nat'l Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=496334
496408	WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	WIS-L-0003305	46.38,-91.3	Wisconsin, Bayfield County	East of Wabikon Lake, Nicolet Nat'l Forest.  W of Laona.	https://lichenportal.org/portal/collections/individual/index.php?occid=496408
