occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3795192	WTU	Jim Riley, Jim Riley.	Alaska	Sitka	5530.72	outside_boundary_exact	WTU-L-024607	57.06205,134.693317	not_found_in_US	Along the Indian River trail near trailhead.	https://lichenportal.org/portal/collections/individual/index.php?occid=3795192
2735005	WTU	W. J. Eyerdam	Alaska	Sitka	2620.24	outside_boundary_exact	WTU-L-011462	52.094695,-174.602966	Alaska, Aleutians West County	Atka Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=2735005
1273352	WTU	W. J. Eyerdam	Alaska	Sitka	2620.24	outside_boundary_exact	WTU-L-035357	52.094695,-174.602966	Alaska, Aleutians West County	Atka Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1273352
1258105	WTU	Les A. Viereck	Alaska	Aleutians West	1256.42	outside_boundary_exact	WTU-L-010262	62.416667,-151.416667	Alaska, Matanuska-Susitna County	Vicinity of Lake Chelatna.	https://lichenportal.org/portal/collections/individual/index.php?occid=1258105
1255051	WTU	Warnik	Alaska	Prince Wales Ketchikan	1178.86	outside_boundary_first_word_match	WTU-L-006569	57.502022,-152.745362	Alaska, Kodiak Island County	Saltery Cove, Southeast.	https://lichenportal.org/portal/collections/individual/index.php?occid=1255051
1261921	WTU	Warnik	Alaska	Prince Wales Ketchikan	1178.86	outside_boundary_first_word_match	WTU-L-015464	57.502022,-152.745362	Alaska, Kodiak Island County	Saltery Cove, Southeast.	https://lichenportal.org/portal/collections/individual/index.php?occid=1261921
2734774	WTU	Gary A. Laursen	Alaska	Juneau	1038.23	outside_boundary_exact	WTU-F-023619	63.533333,-150.7	Alaska, Denali County	Gleen Crk. Res. Camp.	https://lichenportal.org/portal/collections/individual/index.php?occid=2734774
1267246	WTU	G. W. Argus	Alaska	Juneau	951.02	outside_boundary_exact	WTU-L-021841	64.883333,-147.866667	Alaska, Fairbanks North Star County	Quadrangle, 1 mile west of Smith Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1267246
1264524	WTU	A. S. Foster	Alaska	Southeast Fairbanks	920.32	outside_boundary_exact	WTU-L-018545	54.746626,-132.243747	Alaska, Prince of Wales-Hyder County	Bronson Bay.	https://lichenportal.org/portal/collections/individual/index.php?occid=1264524
1258913	WTU	W. J. Eyerdam	Alaska	Prince Wales Ketchikan	916	outside_boundary_first_word_match	WTU-L-011808	60.050136,-148.066856	Alaska, Chugach County	Port San Juan.	https://lichenportal.org/portal/collections/individual/index.php?occid=1258913
