error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	BRY	1218723	Thomas H. Nash	Alaska	Aleutians West	6273.64	outside_boundary_exact	not_found_in_US	70.25,-57.333333	BRY-L-0010202	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1218723
COUNTRY	1000	WTU	3795192	Jim Riley, Jim Riley.	Alaska	Sitka	5530.72	outside_boundary_exact	not_found_in_US	57.06205,134.693317	WTU-L-024607	Along the Indian River trail near trailhead.	https://lichenportal.org/portal/collections/individual/index.php?occid=3795192
COUNTRY	1000	OS	1307893	H. A. Fehlmann	Alaska	North Slope	5526.47	outside_boundary_exact	not_found_in_US	16.3,-156.683333	OS0002187	2 miles East of Barrow Village,	https://lichenportal.org/portal/collections/individual/index.php?occid=1307893
COUNTRY	1000	ASU	2880339	W.A. Weber	Alaska	Denali	5356.94	outside_boundary_exact	not_found_in_US	63.416667,-50.333333	ASUL047711	Mt. McKinley National Park, NW slope to summit of Mt. Eielson (Copper Mountain)	https://lichenportal.org/portal/collections/individual/index.php?occid=2880339
COUNTRY	1000	CMN	3445488	Weber, William A. | Viereck, Leslie A.	Alaska	Denali (Borough)	5356.94	outside_boundary_reverse_partial	not_found_in_US	63.4167,-50.3333	CANL 2935	Fell-field knife-edge ridge, N.W. slope to summit of Mt. Eielson (Copper Mt.)	https://lichenportal.org/portal/collections/individual/index.php?occid=3445488
COUNTRY	1000	MSC	5368127	Alan M. Fryday	Alaska	Hoonah-Angoon District	5237.92	outside_boundary_reverse_partial	not_found_in_US	58.83415,136.0573	MSC0288577	Glacier Bay National Park, Muir Point.	https://lichenportal.org/portal/collections/individual/index.php?occid=5368127
COUNTRY	1000	MSC	5368128	Alan M. Fryday	Alaska	Hoonah-Angoon District	5237.92	outside_boundary_reverse_partial	not_found_in_US	58.83415,136.0573	NA	Glacier Bay National Park, Muir Point.	https://lichenportal.org/portal/collections/individual/index.php?occid=5368128
COUNTRY	1000	OSC	2226882	Emily Holt	Alaska	Northwest Arctic	4837.95	outside_boundary_exact	not_found_in_US	65.61686,-63.4308	143702	Bering Land Bridge National Preserve, plot 6P	https://lichenportal.org/portal/collections/individual/index.php?occid=2226882
COUNTRY	1000	US	3602054	G. Llano	Alaska	North Slope Borough	4640.82	outside_boundary_exact	not_found_in_US	68.33,-50	NA	Anaktuvuk Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=3602054
COUNTRY	1000	KANU	4786940	Pete Denzer	Alaska	Yakutat	4613.04	outside_boundary_exact	not_found_in_US	59.546944,139.727222	414505	Yakutat: vicinity	https://lichenportal.org/portal/collections/individual/index.php?occid=4786940
COUNTRY	1000	US	5494621	R. M. Chapman	Alaska	North Slope Borough	4378.39	outside_boundary_exact	not_found_in_US	69,-55	NA	W of Brooks Range, Oolamnagavik River	https://lichenportal.org/portal/collections/individual/index.php?occid=5494621
COUNTRY	1000	ASU	5343176	John W. Thomson	Alaska	Yukon	3840.95	outside_boundary_partial_match	not_found_in_US	60.22,134.05	ASUL024939	Mile 870, Alaska Hwy	https://lichenportal.org/portal/collections/individual/index.php?occid=5343176
COUNTRY	1000	CUP	4909924	A. E. Arnold	Alaska	Yukon-Koyukuk	3737.54	outside_boundary_exact	not_found_in_US	28.22739,-145.4036111	CUP-L-0011022	Eagle Summit, NE of Fairbanks	https://lichenportal.org/portal/collections/individual/index.php?occid=4909924
