error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	ASU	110993	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	NA	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=110993
STATE	100	ASU	110994	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	NA	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=110994
STATE	100	ASU	110997	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	ASUL007504	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=110997
STATE	100	ASU	110998	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	ASUL002125	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=110998
STATE	100	ASU	110999	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	NA	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=110999
STATE	100	ASU	111000	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	ASUL014302	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=111000
STATE	100	ASU	111001	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	ASUL002252	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=111001
STATE	100	ASU	111002	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	NA	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=111002
STATE	100	ASU	111003	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	ASUL014267	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=111003
STATE	100	ASU	111004	ASU	T.H. Nash III	Arizona	Mohave	68.7	outside_boundary_exact	California, Riverside County	33.8666667,-114.6666667	NA	canyon above Willow Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=111004
STATE	100	ASU	3566161	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	Wyoming, Lincoln County	41.7433333333333,-110.908611111111	ASUL005663	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566161
STATE	100	ASU	3566162	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	Wyoming, Lincoln County	41.7433333333333,-110.908611111111	ASUL005664	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566162
STATE	100	ASU	3566164	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	Wyoming, Lincoln County	41.7433333333333,-110.908611111111	ASUL005665	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566164
STATE	100	ASU	3566165	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	Wyoming, Lincoln County	41.7433333333333,-110.908611111111	ASUL005666	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566165
STATE	100	CUP	4993473	CUP	William L. Culberson	Arizona	Pima	2583.53	outside_boundary_exact	Georgia, Coffee County	31.7422222,-82.8536111	CUP-L-0011151	Mount Lemmon, near road to winter sports area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4993473
STATE	100	MIN	382124	MIN	Ryan, B.; Nash	Arizona	Apache	1403.16	outside_boundary_exact	Oregon, Benton County	44.6166667,-123.35	810915	Mt. Baldy; Apache National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=382124
STATE	100	MIN	391236	MIN	Ryan, B.	Arizona	Yuma	475.78	outside_boundary_exact	California, Santa Barbara County	34,-119.675	834812	W Kofa Butte; Kofa National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=391236
STATE	100	MIN	417039	MIN	Rosentreter, R.	Arizona	Coconino	515.39	outside_boundary_exact	Colorado, Park County	39.42777778,-105.7	882314	Flagstaff, E of	https://lichenportal.org/portal/collections/individual/index.php?occid=417039
STATE	100	NCU	906124	NCU	Schallert, Paul O.	Arizona	Coconino	460.13	outside_boundary_exact	California, Kern County	35.671944,-118.474722	NCU-L-0003120	none specified; coordinates are of county centroid	https://lichenportal.org/portal/collections/individual/index.php?occid=906124
STATE	100	OSC	4806196	OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	Utah, Grand County	38.8856,-109.5393	OSC-M-238371	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806196
STATE	100	OSC	4806197	OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	Utah, Grand County	38.8856,-109.5393	OSC-M-238372	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806197
STATE	100	OSC	4806198	OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	Utah, Grand County	38.8856,-109.5393	OSC-M-238374	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806198
STATE	100	OSC	5424362	OSC	B. Ryan	Arizona	Yuma	476.21	outside_boundary_exact	California, Santa Barbara County	34,-119.68	156068	Kofa National Wildlife Refuge Canyon just west of Kofa Butte, off Road 21. Sonoran desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=5424362
STATE	100	PH	1724648	PH	Thomas H. Nash III	Arizona	Coconino	3121.16	outside_boundary_exact	New Jersey, Burlington County	39.641752,-74.649679	PH00089788	West Fork of Oak Creek Canyon.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724648
