error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	ASU	100140	ASU	B.D. Ryan	California	Siskiyou	22.39	outside_boundary_exact	California, Humboldt County	41.425,-123.925	NA	Road to Etna Summit, 4 km SW of city limits of Etna	https://lichenportal.org/portal/collections/individual/index.php?occid=100140
COUNTY	10	ASU	100141	ASU	B.D. Ryan	California	Siskiyou	22.39	outside_boundary_exact	California, Humboldt County	41.425,-123.925	NA	Road to Etna Summit, 4 km SW of city limits of Etna	https://lichenportal.org/portal/collections/individual/index.php?occid=100141
COUNTY	10	ASU	100142	ASU	B.D. Ryan	California	Siskiyou	22.39	outside_boundary_exact	California, Humboldt County	41.425,-123.925	NA	Road to Etna Summit, 4 km SW of city limits of Etna	https://lichenportal.org/portal/collections/individual/index.php?occid=100142
COUNTY	10	ASU	100143	ASU	B.D. Ryan	California	Siskiyou	22.39	outside_boundary_exact	California, Humboldt County	41.425,-123.925	NA	Road to Etna Summit, 4 km SW of city limits of Etna	https://lichenportal.org/portal/collections/individual/index.php?occid=100143
COUNTY	10	ASU	100144	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=100144
COUNTY	10	ASU	100697	ASU	B.D. Ryan	California	Alpine	0.05	outside_boundary_exact	California, Alpine County	38.4166667,-119.75	NA	edge of Carson-Iceberg Wilderness, end of Clark Fork Road, on N side of road	https://lichenportal.org/portal/collections/individual/index.php?occid=100697
COUNTY	10	ASU	100759	ASU	S.D. Sharnoff	California	Mendocino	0.42	outside_boundary_exact	California, Tehama County	39.8,-122.9333333	NA	Mendocino pass area, Mendocino National Forest, CA 162 just N of Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=100759
COUNTY	10	ASU	101253	ASU	B.D. Ryan	California	Merced	13.69	outside_boundary_exact	California, Santa Clara County	36.9666667,-121.4	ASUL001022	Hwy 152, 32 km NNE of Hollister	https://lichenportal.org/portal/collections/individual/index.php?occid=101253
COUNTY	10	ASU	101945	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=101945
COUNTY	10	ASU	101959	ASU	B.D. Ryan	California	Alpine	0.05	outside_boundary_exact	California, Alpine County	38.4166667,-119.75	NA	edge of Carson-Iceberg Wilderness, end of Clark Fork Road, on N side of road	https://lichenportal.org/portal/collections/individual/index.php?occid=101959
COUNTY	10	ASU	102157	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102157
COUNTY	10	ASU	102160	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102160
COUNTY	10	ASU	102208	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102208
COUNTY	10	ASU	102277	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102277
COUNTY	10	ASU	102352	ASU	L. Sigal	California	Tuolumne	0.37	outside_boundary_exact	California, Mono County	38.327877,-119.635188	NA	Hwy 10, near Sonora Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=102352
COUNTY	10	ASU	102418	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102418
COUNTY	10	ASU	102434	ASU	B.D. Ryan	California	Siskiyou	26.46	outside_boundary_exact	California, Humboldt County	41.425,-123.975	NA	Pacific Crest Trail at Etna Summit	https://lichenportal.org/portal/collections/individual/index.php?occid=102434
COUNTY	10	ASU	102573	ASU	J.R. Shevock	California	Tulare	86.81	outside_boundary_exact	California, Kern County	35.0133333,-118	NA	along Pacific Crest Trail just N of the Kern-Tulare county line, Kern Plateau, BLM Wilderness area, T24S, R37E, S32	https://lichenportal.org/portal/collections/individual/index.php?occid=102573
COUNTY	10	ASU	102647	ASU	B.D. Ryan	California	Tuolumne	22.79	outside_boundary_exact	California, Mono County	38.1333333,-119.075	NA	Winter sports area, N of Hwy 108, 5 km SW of Fraser Flat Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=102647
