herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
CHRB	5780453	CHRB	Natalia M. Howe	Georgia	McIntosh	13582.83	outside_boundary_exact	not_found_in_US	31.47192,81.60632	CHRB-L-0002949	Harper Lake Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5780453	COUNTRY	1000
CHRB	5780528	CHRB	Natalie M. Howe	Georgia	McIntosh	13582.83	outside_boundary_exact	not_found_in_US	31.47192,81.60632	CHRB-L-0003024	Harper Lake Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5780528	COUNTRY	1000
COLO	4780230	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070039	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780230	COUNTRY	1000
COLO	4780231	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070045	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780231	COUNTRY	1000
COLO	4780232	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069998	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780232	COUNTRY	1000
COLO	4780233	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069992	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780233	COUNTRY	1000
COLO	4780234	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069986	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780234	COUNTRY	1000
COLO	4780235	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069980	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780235	COUNTRY	1000
COLO	4780236	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070004	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780236	COUNTRY	1000
COLO	4780237	COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070047	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780237	COUNTRY	1000
