error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	ASU	118583	ASU	Rock	Hawaii	Kauai	133.11	outside_boundary_exact	Hawaii, Honolulu County	21.6333333,-158.0666667	NA	Island of Kaua'i, Waimea Village	https://lichenportal.org/portal/collections/individual/index.php?occid=118583
COUNTY	10	F	5816978	F	O. Degener	Hawaii	Kauai	472.55	outside_boundary_exact	Hawaii, Hawaii County	19.755903,-155.451947	C2089372F	NW of HalepMhaku	https://lichenportal.org/portal/collections/individual/index.php?occid=5816978
COUNTY	10	FLAS	1323897	FLAS	A.A. Heller	Hawaii	[n/a]	135.25	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.075329,-159.520616	FLAS L9181	Kauai, Hawaiian Islands	https://lichenportal.org/portal/collections/individual/index.php?occid=1323897
COUNTY	10	FLAS	1360195	FLAS	S.H. Sohmer	Hawaii	[n/a]	243.43	outside_boundary_multi_county_1_of_2	Hawaii, Hawaii County	20.143547,-155.636315	FLAS L1600	Oahu: Waimanu Valley Traic	https://lichenportal.org/portal/collections/individual/index.php?occid=1360195
COUNTY	10	FLAS	1381067	FLAS	A.A. Heller	Hawaii	[n/a]	136.31	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.091109,-159.524736	FLAS L10799	Island of Kauai, Hawaiian Islands	https://lichenportal.org/portal/collections/individual/index.php?occid=1381067
COUNTY	10	FLAS	1381097	FLAS	A.A. Heller	Hawaii	[n/a]	134.49	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.073293,-159.51375	FLAS L10800	Kauai, Hawaiian Islands	https://lichenportal.org/portal/collections/individual/index.php?occid=1381097
COUNTY	10	FLAS	1381503	FLAS	A.A. Heller	Hawaii	[n/a]	135.61	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.093449,-159.516472	FLAS L10334	Island of Kauai	https://lichenportal.org/portal/collections/individual/index.php?occid=1381503
COUNTY	10	FLAS	1738970	FLAS	A.A. Heller	Hawaii	[n/a]	135.25	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.075329,-159.520616	FLAS L6503	Kauai, Hawaiian Islands	https://lichenportal.org/portal/collections/individual/index.php?occid=1738970
COUNTY	10	FLAS	2408259	FLAS	A.A. Heller	Hawaii	[n/a]	136.31	outside_boundary_multi_county_1_of_2	Hawaii, Kauai County	22.091109,-159.524736	FLAS L12061	Island of Kauai, Hawaiian Islands	https://lichenportal.org/portal/collections/individual/index.php?occid=2408259
COUNTY	10	LSU	1386683	LSU	Otto Degener; Isa Degener	Hawaii	Hawaii	423.4	outside_boundary_exact	Hawaii, Kauai County	22.208466,-159.400569	LSU00140786	Hawaii-Inseln, Hawaii: Kleinflächig auf verhältnismäßig glatten Borkenschollen der mittleren Stammpartien einzelner Laubbäume (Samanea saman MERR.) in einer artenarmen Kleinkrustengesellschaft der Arthonietalia radiatae BARKM., 110 m, SO, pH 6,6, trockene Felsenheide (Kau Desert) am Südafall des Kilauea an der südöstlichen Inselabdachung.	https://lichenportal.org/portal/collections/individual/index.php?occid=1386683
COUNTY	10	LSU	1460601	LSU	S. H. Sohmer	Hawaii	Honolulu	244.18	outside_boundary_exact	Hawaii, Hawaii County	20.1413,-155.62957	LSU00145235	Waimanu Valley trail, Oahu.	https://lichenportal.org/portal/collections/individual/index.php?occid=1460601
