error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	ISC	1808877	A. Podaril	Iowa	Louisa	0.04	outside_boundary_exact	Illinois, Mercer County	41.322167,-91.07225	873279	Big Sand Mound	https://lichenportal.org/portal/collections/individual/index.php?occid=1808877
STATE	100	KANU	1326431	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370811	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1326431
STATE	100	KANU	1327100	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370810	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327100
STATE	100	KANU	1327702	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370814	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327702
STATE	100	KANU	1327802	M K Advaita	Iowa	Lyon	0	outside_boundary_exact	South Dakota, Minnehaha County	43.5005,-96.5916667	374874	Larchwood: ca 3 mi N, 8.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327802
STATE	100	KANU	1329870	M K Advaita	Iowa	Lyon	0	outside_boundary_exact	South Dakota, Minnehaha County	43.5005,-96.5916667	374865	Larchwood: ca 3 mi N, 8.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1329870
STATE	100	KANU	1333686	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370816	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1333686
STATE	100	KANU	1335728	M K Advaita	Iowa	Lyon	0	outside_boundary_exact	South Dakota, Minnehaha County	43.5005,-96.5916667	374878	Larchwood: ca 3 mi N, 8.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1335728
STATE	100	KANU	1336153	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370812	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1336153
STATE	100	KANU	1336282	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370813	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1336282
STATE	100	KANU	1337581	M K Advaita	Iowa	Lyon	0	outside_boundary_exact	South Dakota, Minnehaha County	43.5005,-96.5916667	374877	Larchwood: ca 3 mi N, 8.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1337581
STATE	100	KANU	1338808	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370815	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1338808
STATE	100	KANU	1648427	M K Advaita	Iowa	Clarke	96.98	outside_boundary_exact	Missouri, Grundy County	40.0335,-93.741	385926	Osceola: ca 3 mi S, 1 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=1648427
STATE	100	MIN	395616	Wetmore, C.	Iowa	Allamakee	0.27	outside_boundary_exact	Wisconsin, Crawford County	43.10527778,-91.17194444	844539	Goat Prairie Sw of Hanging Rock; Effigy Mounds National Monument	https://lichenportal.org/portal/collections/individual/index.php?occid=395616
STATE	100	MIN	424244	Freeman, C.; Morse	Iowa	Monona	41.34	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	891171	Sw of Missouri Valley; Desoto Lake Wildlife Area	https://lichenportal.org/portal/collections/individual/index.php?occid=424244
STATE	100	MSC	263945	Imshaug, Henry A	Iowa	Iowa	204.86	outside_boundary_exact	Wisconsin, Iowa County	43.149159,-90.045957	MSC0069552	Wisconsin; Tower Hills State Park, SE of Spring Green	https://lichenportal.org/portal/collections/individual/index.php?occid=263945
STATE	100	MSC	264173	Imshaug, Henry A	Iowa	Allamakee	1565.76	outside_boundary_exact	Louisiana, Plaquemines County	29.151058,-89.253384	MSC0069758	Iffigy Mounds National Monument., along Mississippi River.	https://lichenportal.org/portal/collections/individual/index.php?occid=264173
STATE	100	MSC	277962	Imshaug, Henry A	Iowa	Allamakee	1565.76	outside_boundary_exact	Louisiana, Plaquemines County	29.151058,-89.253384	MSC0082245	Effigy Mound National Mounument, bluffs along Mississippi River	https://lichenportal.org/portal/collections/individual/index.php?occid=277962
STATE	100	OS	1243391	Bruce Fink	Iowa	Fayette	761.57	outside_boundary_exact	Ohio, Fayette County	39.559883,-83.456097	OS0001375	Fayette County	https://lichenportal.org/portal/collections/individual/index.php?occid=1243391
STATE	100	WIS	970178	B. Shimek	Iowa	Winneshiek	2.37	outside_boundary_exact	Minnesota, Houston County	43.521967,-91.700506	WIS-L-0014037	NE of Hesper	https://lichenportal.org/portal/collections/individual/index.php?occid=970178
