error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	ASU	88911	ASU	R. Rosentreter	Nevada	Elko	0.35	outside_boundary_exact	Idaho, Twin Falls County	42.000684,-114.70037	NA	just NW of the town of Jackpot, in NE Nevada	https://lichenportal.org/portal/collections/individual/index.php?occid=88911
STATE	100	SRP	1129848	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001107	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129848
STATE	100	SRP	1443921	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007748	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443921
STATE	100	SRP	1443922	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007749	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443922
STATE	100	SRP	1443923	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007750	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443923
STATE	100	SRP	1445219	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	Utah, Garfield County	38,-111	SRP-L-0001772	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445219
STATE	100	SRP	1445220	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	Utah, Garfield County	38,-111	SRP-L-0001773	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445220
STATE	100	SRP	1445409	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001796	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445409
STATE	100	SRP	1445565	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001719	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445565
STATE	100	SRP	1447715	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0011728	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447715
