herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
MONTU	5780918	MONTU	Tim Thomas	Nevada	Lincoln	10387.79	outside_boundary_exact	not_found_in_US	38.5409,114.3552	MONTU02515	Great Basin Desert: Spring Valley, east of White Pine Co. Rd. 47, Close to valley floor flood channels	https://lichenportal.org/portal/collections/individual/index.php?occid=5780918	COUNTRY	1000
BRY	1219134	BRY	Thomas H. Nash	Nevada	White Pine	7721.13	outside_boundary_exact	not_found_in_US	14.258333,-39.016667	BRY-L-0010619	Humboldt-Toiyabe National Forest: Snake Range north of Wheeler Peak, Lehman Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=1219134	COUNTRY	1000
US	3601678	US	R. Holmgren	Nevada	Humbold	6285.05	outside_boundary_partial_match	not_found_in_US	41,-39	NA	8 mi. S of Paradise Town	https://lichenportal.org/portal/collections/individual/index.php?occid=3601678	COUNTRY	1000
US	3600990	US	R. Holmgren	Nevada	Elko	5015.13	outside_boundary_exact	not_found_in_US	38,-54	NA	2.5 mi N of Dinner Sta. 36	https://lichenportal.org/portal/collections/individual/index.php?occid=3600990	COUNTRY	1000
COLO	1732203	COLO	Thomas H. Nash III	Nevada	San Juan	NA	county_not_matched_no_match	county_not_matched	36.2666667,-115.7	COLO-L-0046011	Charleston Peak, end of route 52	https://lichenportal.org/portal/collections/individual/index.php?occid=1732203	COUNTRY	1000
SRP	1209180	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	county_not_matched	36.185001,-114.910004	SRP-L-0006110	Approx. 3 miles E of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1209180	COUNTRY	1000
SRP	1212010	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	county_not_matched	36.185001,-114.910004	SRP-L-0007352	Approx. 3 miles E of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212010	COUNTRY	1000
SRP	1445410	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	county_not_matched	36.310001,-114.730003	SRP-L-0001797	Approx. 10 miles E. of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445410	COUNTRY	1000
WIS	1099233	WIS	C.F. Baker	Nevada	Ormsby	NA	county_not_matched_no_match	county_not_matched	39.160942,-119.798854	WIS-L-0043395	Kings Canon	https://lichenportal.org/portal/collections/individual/index.php?occid=1099233	COUNTRY	1000
WIS	1110918	WIS	Boger Rosentreter	Nevada	Nevada	NA	county_not_matched_no_match	county_not_matched	41.9481,-115.4239	WIS-L-0048110	3.5 miles South of the Nevada-Idaho border and 4.5. miles North of Jarbridge Nevada. Off the main Jarbridge Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1110918	COUNTRY	1000
WIS	1200426	WIS	Roger Rosentreter	Nevada	Nevada	NA	county_not_matched_no_match	county_not_matched	41.9336,-115.4239	WIS-L-0053224	just off the main Jarbidge Rd. 3 miles N. of Mahoney Guard Sta. and 4.5 miles S. of the ID. NV. border.	https://lichenportal.org/portal/collections/individual/index.php?occid=1200426	COUNTRY	1000
WIS	1325647	WIS	Roger Rosentreter	Nevada	Nevada	NA	county_not_matched_no_match	county_not_matched	41.8468,-115.385	WIS-L-0078679	Jarbidge Peak area, 3 air miles Southeast of the town of Jarbidge, HV. Alpine area	https://lichenportal.org/portal/collections/individual/index.php?occid=1325647	COUNTRY	1000
WIS	1342687	WIS	C. F. Baker	Nevada	Ormsby	NA	county_not_matched_no_match	county_not_matched	39.160942,-119.798854	WIS-L-0079108	King's Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=1342687	COUNTRY	1000
SRP	1445219	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	Utah, Garfield County	38,-111	SRP-L-0001772	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445219	STATE	100
SRP	1445220	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	Utah, Garfield County	38,-111	SRP-L-0001773	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445220	STATE	100
SRP	1129848	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001107	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129848	STATE	100
SRP	1443921	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007748	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443921	STATE	100
SRP	1443922	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007749	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443922	STATE	100
SRP	1443923	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0007750	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443923	STATE	100
SRP	1445409	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001796	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445409	STATE	100
SRP	1445565	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0001719	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445565	STATE	100
SRP	1447715	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	Arizona, Mohave County	36.020001,-114.706001	SRP-L-0011728	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447715	STATE	100
ASU	88911	ASU	R. Rosentreter	Nevada	Elko	0.35	outside_boundary_exact	Idaho, Twin Falls County	42.000684,-114.70037	NA	just NW of the town of Jackpot, in NE Nevada	https://lichenportal.org/portal/collections/individual/index.php?occid=88911	STATE	100
