error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	MAINE	1971842	J. Blake	New Hampshire	BELKNAP	75.82	outside_boundary_exact	New Hampshire, Coos County	44.44,-71.48	MAINE-L-0005452	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1971842
COUNTY	10	MAINE	2693391	J. Blake	New Hampshire	BELKNAP	75.82	outside_boundary_exact	New Hampshire, Coos County	44.44,-71.48	MAINE-L-0008695	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693391
COUNTY	10	MAINE	2693425	J. Blake	New Hampshire	BELKNAP	75.82	outside_boundary_exact	New Hampshire, Coos County	44.44,-71.48	MAINE-L-0008729	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693425
COUNTY	10	CUP	3556268	Ailis B. Clyne	New Hampshire	Grafton	55.79	outside_boundary_exact	New Hampshire, Hillsborough County	43.046953,-71.750206	CUP-L-0009433	Hubbard Brook Experimental Forest, Valleywide Plot 265; UTM 19T 276000E 4769700N (WGS84/NAD83)	https://lichenportal.org/portal/collections/individual/index.php?occid=3556268
COUNTY	10	NHA	1372762	Joann Hoy	New Hampshire	Rockingham	49.59	outside_boundary_exact	New Hampshire, Hillsborough County	43.066667,-72.033333	NHA-498024	Southern end of Lovern's Mill Swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=1372762
COUNTY	10	YPM	1653015	G. T. Moore	New Hampshire	Carroll	48.37	outside_boundary_exact	New Hampshire, Merrimack County	43.383409,-71.857025	YU.237912	North Conway, Top of Mt. Kearsarge	https://lichenportal.org/portal/collections/individual/index.php?occid=1653015
COUNTY	10	YPM	1654328	G. T. Moore	New Hampshire	Carroll	48.37	outside_boundary_exact	New Hampshire, Merrimack County	43.383409,-71.857025	YU.239286	North Conway, Mt. Kearsarge	https://lichenportal.org/portal/collections/individual/index.php?occid=1654328
COUNTY	10	FH	4725413	P. F. May	New Hampshire	Grafton County	36.46	outside_boundary_exact	New Hampshire, Merrimack County	43.29,-71.48	barcode-00979089	Welch Mountain, WMNF, NW side of summit	https://lichenportal.org/portal/collections/individual/index.php?occid=4725413
COUNTY	10	ILLS	2703303	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.87	outside_boundary_exact	New Hampshire, Grafton County	44.056846,-71.74564	ILLS00089205	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2703303
COUNTY	10	ILLS	2706032	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	New Hampshire, Grafton County	44.057011,-71.745638	ILLS00090324	White Mountain National Forest, Gordon Falls, Randolph Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706032
COUNTY	10	ILLS	2707600	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	New Hampshire, Grafton County	44.057011,-71.745638	ILLS00090325	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2707600
COUNTY	10	ILLS	2707732	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	New Hampshire, Grafton County	44.057011,-71.745638	ILLS00009520	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2707732
COUNTY	10	YPM	1652861	Clara E. Cummings	New Hampshire	Grafton	24	outside_boundary_exact	New Hampshire, Merrimack County	43.314242,-72.073696	YU.237757	Franconia Mountains, at summit of Mt. Lafayette	https://lichenportal.org/portal/collections/individual/index.php?occid=1652861
COUNTY	10	WIS	1468244	Scholander	New Hampshire	Coos	19.78	outside_boundary_exact	New Hampshire, Carroll County	43.979238,-71.120348	WIS-L-0113342	Mt. Washington, on Rt. 16, south of Conway	https://lichenportal.org/portal/collections/individual/index.php?occid=1468244
COUNTY	10	ILLS	2707927	J.L. Crane	New Hampshire	Coos	18.87	outside_boundary_exact	New Hampshire, Grafton County	44.1,-71.6722	ILLS00100158	White Mountain National Forest, Franconia Notch State Park, The Flume.	https://lichenportal.org/portal/collections/individual/index.php?occid=2707927
COUNTY	10	NBM	2628250	Harries, Hinrich	New Hampshire	Grafton	12.36	outside_boundary_exact	New Hampshire, Coos County	44.25,-71.27	NBM-FL-07612	W of Pinkham Notch, White Mountain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=2628250
COUNTY	10	PH	1778642	E.T. Moul	New Hampshire	Hillsborough	12.19	outside_boundary_exact	New Hampshire, Rockingham County	43.113831,-71.339188	PH00108195	Spruce Hill Camp, near Manchester, bank of Beaver Pond	https://lichenportal.org/portal/collections/individual/index.php?occid=1778642
COUNTY	10	PH	1777277	Edwin T. Moul	New Hampshire	Hillsborough	12.17	outside_boundary_exact	New Hampshire, Rockingham County	43.113659,-71.339261	PH00106828	Spruce Pond Camp, near Manchester	https://lichenportal.org/portal/collections/individual/index.php?occid=1777277
