error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	CUP	2419589	CUP	Tom Phillips	New York	Rensselaer	67.61	outside_boundary_exact	Massachusetts, Franklin County	42.7225,-72.434833	CUP-L-0005958	Dyken Pond Environmental Education Center: Dyken Pond Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2419589
STATE	100	LSU	4787941	LSU	John M. Franklin	New York	Ulster	101.81	outside_boundary_exact	New Jersey, Union County	40.68166,-74.35567	LSU00165179	Sam's Point Area, Minnewaska State Park Preserve. Sam's Point Road, Cragsmoor, NY	https://lichenportal.org/portal/collections/individual/index.php?occid=4787941
STATE	100	LSU	4787942	LSU	John M. Franklin	New York	Ulster	101.81	outside_boundary_exact	New Jersey, Union County	40.68166,-74.35567	LSU00165190	Sam's Point Area, Minnewaska State Park Preserve. Sam's Point Road, Cragsmoor, NY	https://lichenportal.org/portal/collections/individual/index.php?occid=4787942
STATE	100	LSU	4787944	LSU	John M. Franklin	New York	Ulster	101.81	outside_boundary_exact	New Jersey, Union County	40.68166,-74.35567	LSU00165213	Sam's Point Area, Minnewaska State Park Preserve. Sam's Point Road, Cragsmoor, NY	https://lichenportal.org/portal/collections/individual/index.php?occid=4787944
STATE	100	MIN	307022	MIN	Imshaug, H.; Brodo	New York	Suffolk	2502.73	outside_boundary_exact	South Dakota, Pennington County	43.947,-103.97	626990	Long Island, Se of Flanders	https://lichenportal.org/portal/collections/individual/index.php?occid=307022
STATE	100	MOR	1415453	MOR	G.G. Nearing	New York	Rockland	2.24	outside_boundary_exact	New Jersey, Bergen County	40.981815,-73.920179	L-0000108-MOR	Stony Brook, Palisades Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1415453
STATE	100	NY	1060749	NY	G. P. Anderson	New York	Orange Co.	11.24	outside_boundary_exact	New Jersey, Sussex County	41.21,-74.63	1562913	Edenville	https://lichenportal.org/portal/collections/individual/index.php?occid=1060749
STATE	100	NY	1237556	NY	G. P. Anderson	New York	Orange Co.	11.24	outside_boundary_exact	New Jersey, Sussex County	41.21,-74.63	1615356	Edenville	https://lichenportal.org/portal/collections/individual/index.php?occid=1237556
STATE	100	NY	5683503	NY	G. P. Anderson	New York	Orange Co.	11.24	outside_boundary_exact	New Jersey, Sussex County	41.21,-74.63	1563998	Edenville	https://lichenportal.org/portal/collections/individual/index.php?occid=5683503
STATE	100	NY	839561	NY	W. R. Buck	New York	Putnam Co.	0.21	outside_boundary_exact	Connecticut, Western Connecticut County	41.5,-73.53	322307	Town of Patterson, Walter G. Merritt Park, along Haviland Hollow Road	https://lichenportal.org/portal/collections/individual/index.php?occid=839561
