error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	UCR(temp)	2596291	James Lendemer	North Carolina	Jackson	879.84	outside_boundary_exact	Arkansas, Perry County	35.018889,-93.103333	SBBG016866L	Chattooga Wild and Scenic River/Ellicott Rock Wilderness, above Fowler Creek, just south of Bull Pen Road, c. 5 miles SE of Highlands	https://lichenportal.org/portal/collections/individual/index.php?occid=2596291
STATE	100	CUP	4899327	James C. Lendemer	North Carolina	Haywood	795.51	outside_boundary_exact	Pennsylvania, Berks County	40.19889,-75.78667	CUP-L-0010946	Great Smoky Mountains National Park, 3 miles southeast of Waterville, along Baxter Creek Trail, south of Big Creek Campsite, Mount Sterling Ridge, lower slopes of Mount Sterling, Cove Creek Gap Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=4899327
STATE	100	PH	4905858	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061967	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905858
STATE	100	PH	4905859	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061968	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905859
STATE	100	PH	4905861	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061971	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905861
STATE	100	DUKE	1859072	Forest Health Monitoring Crew	North Carolina	New Hanover Co.	653.77	outside_boundary_exact	Tennessee, Morgan County	36.25,-84.88	317285	New Hanover County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1859072
STATE	100	DUKE	2679119	Forest Health Monitoring Crew	North Carolina	New Hanover Co.	653.77	outside_boundary_exact	Tennessee, Morgan County	36.25,-84.88	339398	New Hanover County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=2679119
STATE	100	CUP	4899329	William L. Culberson	North Carolina	Stokes	549.99	outside_boundary_exact	Pennsylvania, Berks County	40.19889,-75.78667	CUP-L-0010947	Hanging Rock State Park, top of Hanging Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=4899329
STATE	100	MIN	388504	Egan, R.	North Carolina	Haywood	493.02	outside_boundary_exact	Alabama, Lowndes County	32,-86.5	825335	Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=388504
STATE	100	MIN	388505	Egan, R.	North Carolina	Haywood	493.02	outside_boundary_exact	Alabama, Lowndes County	32,-86.5	825336	Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=388505
STATE	100	MIN	396455	Egan, R.	North Carolina	Haywood	493.02	outside_boundary_exact	Alabama, Lowndes County	32,-86.5	846533	Haywood-Jackson; Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=396455
STATE	100	MIN	396456	Egan, R.	North Carolina	Haywood	493.02	outside_boundary_exact	Alabama, Lowndes County	32,-86.5	846534	Haywood-Jackson; Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=396456
STATE	100	NCU	5367364	Schallert, P.O.	North Carolina	Avery / Burke / McDowell	472.36	outside_boundary_multi_county_3_of_3	Virginia, Frederick County	39.349822,-78.185836	NCU-L-0007052	Linville Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=5367364
STATE	100	DUKE	1845806	Forest Health Monitoring Crew	North Carolina	Montgomery Co.	416.09	outside_boundary_exact	Tennessee, Meigs County	35.5,-84.81	305375	Montgomery County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1845806
STATE	100	DUKE	1881099	Forest Health Monitoring Crew	North Carolina	Montgomery Co.	416.09	outside_boundary_exact	Tennessee, Meigs County	35.5,-84.81	316816	Montgomery County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1881099
