herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
US	2790827	US	C. Wetmore	North Dakota	Mckenzie	2413.63	outside_boundary_exact	not_found_in_US	25.8,-100	NA	Theodore Roosevelt Nat. Park, N Unit 1.5 mi NE of overlook on N side of Cedar Canyon (14 mi of Watford City).	https://lichenportal.org/portal/collections/individual/index.php?occid=2790827	COUNTRY	1000
MIN	5638986	MIN	M. K. Advaita	North Dakota	Brookings	NA	county_not_matched_no_match	county_not_matched	44.453167,-96.9875	0970346	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5638986	COUNTRY	1000
PH	1794803	PH	Clifford M. Wetmore	North Dakota	Slope	864.55	outside_boundary_exact	Wisconsin, Washburn County	45.94139,-91.76472	PH00109225	West side of the big bend on Namecagon River 2.5 miles north of Earl, St. Croix National Scenic Riverway.	https://lichenportal.org/portal/collections/individual/index.php?occid=1794803	STATE	100
US	2793498	US	C. Wetmore	North Dakota	Billings	761.28	outside_boundary_exact	Kansas, Rawlins County	40,-101	NA	Theodore Roosevelt Nat. Park. S Unit. One mi S of Paddock Creek along park road (4.5 mi E of Medora).	https://lichenportal.org/portal/collections/individual/index.php?occid=2793498	STATE	100
US	3362090	US	C. Wetmore	North Dakota	Billings	761.28	outside_boundary_exact	Kansas, Rawlins County	40,-101	NA	Theodore Roosevelt Nat. Park. S Unit. One mi S of Paddock Creek along park road (4.5 mi E of Medora).	https://lichenportal.org/portal/collections/individual/index.php?occid=3362090	STATE	100
US	3379385	US	C. Wetmore	North Dakota	Billings	761.28	outside_boundary_exact	Kansas, Rawlins County	40,-101	NA	Theodore Roosevelt Nat. Park. S Unit. One mi S of Paddock Creek along park road (4.5 mi E of Medora).	https://lichenportal.org/portal/collections/individual/index.php?occid=3379385	STATE	100
US	2805071	US	C. Wetmore	North Dakota	Billings	635.39	outside_boundary_exact	Nebraska, Perkins County	41,-102	NA	Theodore Roosevelt National Park, S unit N side of Petrifield Forest Plateau around Wannagan Seeps, 5.5 mi NNW of Medora.	https://lichenportal.org/portal/collections/individual/index.php?occid=2805071	STATE	100
US	3373578	US	C. Wetmore	North Dakota	Billings	635.39	outside_boundary_exact	Nebraska, Perkins County	41,-102	NA	Theodore Roosevelt National Park, S unit N side of Petrifield Forest Plateau around Wannagan Seeps, 5.5 mi NNW of Medora.	https://lichenportal.org/portal/collections/individual/index.php?occid=3373578	STATE	100
SBBG	4993858	SBBG	M. K. Advaita	North Dakota	Walsh	21.64	outside_boundary_exact	Minnesota, Polk County	48.016667,-97.016667	SBBG006672L	3.5 mi E, 4 mi S of Minto. Ardoch National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=4993858	STATE	100
KANU	3570702	KANU	Jennifer A Hertz; Theodore L Esslinger	North Dakota	Slope	104.75	outside_boundary_exact	North Dakota, McKenzie County	47.5768333,-103.5261667	410500	T136N, R102W, sec 20, SW 1/4	https://lichenportal.org/portal/collections/individual/index.php?occid=3570702	COUNTY	10
SBBG	4993865	SBBG	M K Advaita	North Dakota	Rolette	68.26	outside_boundary_exact	North Dakota, Benson County	48.016667,-99.016667	SBBG006675L	5.5 mi W of St. John. Wakopa Wildlife Management Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4993865	COUNTY	10
MIN	348375	MIN	Wetmore, C.	North Dakota	Billings	66.11	outside_boundary_exact	North Dakota, McKenzie County	47.9275,-103.4588889	742248	W Badlands Overlook, Ridge; Theodore Roosevelt National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=348375	COUNTY	10
MIN	348376	MIN	Wetmore, C.	North Dakota	Billings	66.11	outside_boundary_exact	North Dakota, McKenzie County	47.9275,-103.4588889	742249	W Badlands Overlook, Ridge; Theodore Roosevelt National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=348376	COUNTY	10
MIN	348377	MIN	Wetmore, C.	North Dakota	Billings	66.11	outside_boundary_exact	North Dakota, McKenzie County	47.9275,-103.4588889	742250	W Badlands Overlook, Ridge; Theodore Roosevelt National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=348377	COUNTY	10
MIN	348378	MIN	Wetmore, C.	North Dakota	Billings	66.11	outside_boundary_exact	North Dakota, McKenzie County	47.9275,-103.4588889	742251	W Badlands Overlook, Ridge; Theodore Roosevelt National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=348378	COUNTY	10
