error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	CINC	1817644	CINC	Washburn, S.J.	Ohio	Hamilton	91.96	outside_boundary_exact	Kentucky, Franklin County	38.258633,-84.744333	CINC-L-0006942	Miami Whitewater County Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1817644
STATE	100	CSU	5361846	CSU	S. Strawn	Ohio	Adams	408.53	outside_boundary_exact	Illinois, Clay County	38.7719,-88.4457	CSU-L-000371	Appalachia Nat'l Pres	https://lichenportal.org/portal/collections/individual/index.php?occid=5361846
STATE	100	CSU	5361847	CSU	S. Strawn	Ohio	Adams	408.53	outside_boundary_exact	Illinois, Clay County	38.7719,-88.4457	CSU-L-000375	Appalachia Nat'l Pres	https://lichenportal.org/portal/collections/individual/index.php?occid=5361847
STATE	100	CSU	5361849	CSU	S. Strawn	Ohio	Adams	408.53	outside_boundary_exact	Illinois, Clay County	38.7719,-88.4457	CSU-L-000454	Appalachia Nat'l Pres	https://lichenportal.org/portal/collections/individual/index.php?occid=5361849
STATE	100	CSU	5361851	CSU	S. Strawn	Ohio	Adams	408.53	outside_boundary_exact	Illinois, Clay County	38.7719,-88.4457	CSU-L-382	Appalachia Nat'l Pres	https://lichenportal.org/portal/collections/individual/index.php?occid=5361851
STATE	100	KE	4775003	KE	Tomás Curtis	Ohio	Fayette County	319.29	outside_boundary_exact	Pennsylvania, Fayette County	39.8725,-79.4977	6115	Ferncliff Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4775003
STATE	100	KE	4775037	KE	Tomás Curtis	Ohio	Fayette County	312.31	outside_boundary_exact	Pennsylvania, Fayette County	39.9372,-79.5849	6150	State Game Lands 51	https://lichenportal.org/portal/collections/individual/index.php?occid=4775037
STATE	100	KE	4775104	KE	Tomás Curtis	Ohio	Warren County	462.87	outside_boundary_exact	Pennsylvania, Warren County	41.7066,-79.2523	6217	Allegheny National Forest, near Hearts Content Recreation Site	https://lichenportal.org/portal/collections/individual/index.php?occid=4775104
STATE	100	KE	4775341	KE	Tomás Curtis	Ohio	Clinton County	535.56	outside_boundary_exact	Pennsylvania, Clinton County	40.9866,-77.5186	6454	State Game Lands Number 295, just E of Narrows Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=4775341
STATE	100	KE	4898042	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6612	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898042
STATE	100	KE	4898043	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6613	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898043
STATE	100	KE	4898044	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6614	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898044
STATE	100	KE	4898045	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6615	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898045
STATE	100	KE	4898046	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6616	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898046
STATE	100	KE	4898047	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6617	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898047
STATE	100	KE	4898048	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6618	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898048
STATE	100	NY	3211369	NY	D. G. Flenniken	Ohio	Meigs Co.	1.18	outside_boundary_exact	West Virginia, Jackson County	39.07,-81.8	1150982	Olive Township, Shade River State Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3211369
STATE	100	OS	2415662	OS	Don Flenniken	Ohio	Meigs	1.18	outside_boundary_exact	West Virginia, Jackson County	39.07,-81.8	OS0022349	Shade River State Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=2415662
STATE	100	OS	2417991	OS	Don Flenniken	Ohio	Meigs	1.18	outside_boundary_exact	West Virginia, Jackson County	39.07,-81.8	OS0012213	Shade River State Forest; 39.07 -81.8	https://lichenportal.org/portal/collections/individual/index.php?occid=2417991
