error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	KANU	1326528	KANU	M K Advaita	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.2513889,-95.8911111	381233	Marvin: ca 1 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=1326528
STATE	100	KANU	4816863	KANU	M K Advaita	South Dakota	Minnehaha	0	outside_boundary_exact	Iowa, Lyon County	43.50042,-96.59154	415829	Granite: 2 mi N, 1.75 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4816863
STATE	100	MIN	304943	MIN	Wetmore, C.	South Dakota	Lawrence	0.88	outside_boundary_exact	Wyoming, Crook County	44.35,-104.0666667	624469	Black Hills, Lone Grave Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=304943
STATE	100	MIN	306978	MIN	Wetmore, C.	South Dakota	Lawrence	0.88	outside_boundary_exact	Wyoming, Crook County	44.35,-104.0666667	626946	Black Hills, Lone Grave Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=306978
STATE	100	MIN	932881	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906762	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932881
STATE	100	MIN	932882	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906763	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932882
STATE	100	MIN	932883	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906764	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932883
STATE	100	MIN	932884	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906765	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932884
STATE	100	MIN	932885	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906766	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932885
STATE	100	MIN	932886	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906767	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932886
STATE	100	MIN	932887	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906768	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932887
STATE	100	MIN	932888	MIN	Advaita, M.K.	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.25138889,-95.89111111	906769	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932888
STATE	100	SBBG	4993876	SBBG	M. K. Advaita	South Dakota	Lyman	445.88	outside_boundary_exact	North Dakota, Grand Forks County	47.944167,-97.483167	SBBG006680L	2.5 mi W, 4 mi S of Oacoma. Carpenter Area Game Production Area, above Lake Francis Case (Missouri River)	https://lichenportal.org/portal/collections/individual/index.php?occid=4993876
