herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
SBBG	3039371	SBBG	C. A. Morse	South Dakota	Butte	10753.62	outside_boundary_exact	not_found_in_US	44.71158,103.70189	SBBG018503L	2 mi N, 7.5 mi E of jct of US hwys 85 & 212 in Belle Fourche. Belle Fourche Reservoir, W side: Rocky Point Recreation Area, around Group Camp B	https://lichenportal.org/portal/collections/individual/index.php?occid=3039371	COUNTRY	1000
US	2947456	US	C. Wetmore	South Dakota	Custer	10746.45	outside_boundary_exact	not_found_in_US	-2,-5	NA	Black Hills, along Needles Hwy (S.D. 87) 3 mi E of Sylvan Lake (5.5 mi northeast of Custer).	https://lichenportal.org/portal/collections/individual/index.php?occid=2947456	COUNTRY	1000
MIN	308897	MIN	Wetmore, C.	South Dakota	Meade	8762.87	outside_boundary_exact	not_found_in_US	22.05,-6	629349	Black Hills, Stagebarn Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=308897	COUNTRY	1000
MIN	306137	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	625923	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306137	COUNTRY	1000
MIN	306854	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	626818	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306854	COUNTRY	1000
MIN	306867	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	626831	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306867	COUNTRY	1000
MIN	307317	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	627315	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=307317	COUNTRY	1000
MIN	308794	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	629209	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=308794	COUNTRY	1000
MIN	387232	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	not_found_in_US	43.86555556,-31.53194444	823465	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=387232	COUNTRY	1000
MIN	2905454	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	941592	Along Highway 2 At S Edge of Park, 5 Mi W of White River; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=2905454	COUNTRY	1000
MIN	3182234	MIN	Wetmore, Clifford M.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.509167,-102.612222	854511	Badlands National Park. Along highway 2 at southern edge of park, 5 mi W of White River.	https://lichenportal.org/portal/collections/individual/index.php?occid=3182234	COUNTRY	1000
MIN	398632	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854121	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398632	COUNTRY	1000
MIN	398633	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854122	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398633	COUNTRY	1000
MIN	398634	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854123	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398634	COUNTRY	1000
MIN	398635	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854124	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398635	COUNTRY	1000
MIN	398636	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854125	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398636	COUNTRY	1000
