error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	APSC	3430553	APSC	Haskell C. Phillips	Tennessee	Stewart	0.01	outside_boundary_exact	Tennessee, Stewart County	36.673385,-87.971844	APSC-L-0000015	0.50 mi. W of Quadron 8K1, Fox Ridge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3430553
COUNTY	10	APSC	3572110	APSC	Haskell C. Phillips	Tennessee	Sevier	2.9	outside_boundary_exact	Tennessee, Blount County	35.673814,-83.706044	APSC-L-0000172	Greenbriar Region, Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572110
COUNTY	10	APSC	3572118	APSC	Haskell C. Phillips	Tennessee	Fayette	0.97	outside_boundary_exact	Tennessee, Haywood County	35.40786,-89.293958	APSC-L-0000180	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572118
COUNTY	10	APSC	3572120	APSC	Haskell C. Phillips	Tennessee	Fayette	0.97	outside_boundary_exact	Tennessee, Haywood County	35.40786,-89.293958	APSC-L-0000182	Dancyville	https://lichenportal.org/portal/collections/individual/index.php?occid=3572120
COUNTY	10	APSC	3572121	APSC	Haskell C. Phillips	Tennessee	Fayette	0.97	outside_boundary_exact	Tennessee, Haywood County	35.40786,-89.293958	APSC-L-0000183	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572121
COUNTY	10	APSC	3572127	APSC	Haskell C. Phillips	Tennessee	Fayette	0.97	outside_boundary_exact	Tennessee, Haywood County	35.40786,-89.293958	APSC-L-0000189	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572127
COUNTY	10	APSC	3573530	APSC	collector unknown	Tennessee	Roane	73.74	outside_boundary_exact	Tennessee, Sevier County	35.7422656,-83.4628307	APSC-L-0000301	Skyline Dr.	https://lichenportal.org/portal/collections/individual/index.php?occid=3573530
COUNTY	10	ASU	4659939	ASU	Jason Hollinger	Tennessee	Carter	0.04	outside_boundary_exact	Tennessee, Carter County	36.1056,-82.0929	NA	Jane Bald, Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4659939
COUNTY	10	ASU	4659940	ASU	Jason Hollinger	Tennessee	Carter	0.04	outside_boundary_exact	Tennessee, Carter County	36.1056,-82.0929	NA	Jane Bald, Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4659940
COUNTY	10	ASU	4659941	ASU	Jason Hollinger	Tennessee	Carter	0.04	outside_boundary_exact	Tennessee, Carter County	36.1056,-82.0929	NA	Jane Bald, Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4659941
COUNTY	10	ASU	4659942	ASU	Jason Hollinger	Tennessee	Carter	0.04	outside_boundary_exact	Tennessee, Carter County	36.1056,-82.0929	NA	Jane Bald, Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4659942
COUNTY	10	ASU	4659943	ASU	Jason Hollinger	Tennessee	Carter	0.04	outside_boundary_exact	Tennessee, Carter County	36.1056,-82.0929	NA	Jane Bald, Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4659943
COUNTY	10	ASU	4659947	ASU	Jason Hollinger	Tennessee	Carter	0.02	outside_boundary_exact	Tennessee, Carter County	36.1075,-82.1071	NA	Carvers Gap, Appalachian Trail east of gap	https://lichenportal.org/portal/collections/individual/index.php?occid=4659947
COUNTY	10	ASU	99648	ASU	G.T. Johnson	Tennessee	Anderson	1.21	outside_boundary_exact	Tennessee, Morgan County	36.125547,-84.447439	NA	14.5 km NW of Oliver Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=99648
COUNTY	10	BUT	3131850	BUT	Ray C. Friesner	Tennessee	Robertson	299.68	outside_boundary_exact	Tennessee, Sevier County	35.726036,-83.400614	BUT-L-0800064	in Little Pigeon River near north end of Porter Mountain, Greenbrier	https://lichenportal.org/portal/collections/individual/index.php?occid=3131850
COUNTY	10	BUT	3141270	BUT	Ray C. Friesner	Tennessee	Unicoi	0.01	outside_boundary_exact	Tennessee, Unicoi County	36.21733,-82.370139	BUT-L-0800267	trail to Pinnacle Mountain, Smoky Mountains; 36.21733 -82.370139	https://lichenportal.org/portal/collections/individual/index.php?occid=3141270
COUNTY	10	BUT	3141282	BUT	Ray C. Friesner	Tennessee	Unicoi	0.01	outside_boundary_exact	Tennessee, Unicoi County	36.21733,-82.370139	BUT-L-0800273	trail to Pinnacle Mountain, Smoky Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3141282
COUNTY	10	COLO	3171421	COLO	J. C. Lendemer	Tennessee	Sevier	0	outside_boundary_exact	Tennessee, Sevier County	35.585,-83.4747	COLO-L-0051691	Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins	https://lichenportal.org/portal/collections/individual/index.php?occid=3171421
COUNTY	10	COLO	3171423	COLO	J. C. Lendemer	Tennessee	Sevier	0	outside_boundary_exact	Tennessee, Sevier County	35.585,-83.4747	COLO-L-0051632	Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins	https://lichenportal.org/portal/collections/individual/index.php?occid=3171423
COUNTY	10	COLO	3171425	COLO	J. C. Lendemer	Tennessee	Sevier	0	outside_boundary_exact	Tennessee, Sevier County	35.585,-83.4747	COLO-L-0051681	Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins	https://lichenportal.org/portal/collections/individual/index.php?occid=3171425
COUNTY	10	COLO	3171426	COLO	J. C. Lendemer	Tennessee	Sevier	0	outside_boundary_exact	Tennessee, Sevier County	35.585,-83.4747	COLO-L-0051703	Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins	https://lichenportal.org/portal/collections/individual/index.php?occid=3171426
COUNTY	10	COLO	3171427	COLO	J. C. Lendemer	Tennessee	Sevier	0	outside_boundary_exact	Tennessee, Sevier County	35.585,-83.4747	COLO-L-0051605	Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins	https://lichenportal.org/portal/collections/individual/index.php?occid=3171427
