error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	BRY	1552095	W. A. Weber	Texas	Llano	6070.14	outside_boundary_exact	Alaska, North Slope County	68.8,-164.333333	BRY-L-0020365	Pitmegea River vicinity: along the Pitmegea Piver, 15 miles upstream from Cape Sabine	https://lichenportal.org/portal/collections/individual/index.php?occid=1552095
STATE	100	CUP	4938611	William L. Culberson	Texas	Jeff Davis	1615.62	outside_boundary_exact	Florida, Okaloosa County	30.3916667,-86.55	CUP-L-0011143	Davis Mountains, NW of Fort Davis, at the Lawrence E. Wood Picnic Area on Route 118	https://lichenportal.org/portal/collections/individual/index.php?occid=4938611
STATE	100	MIN	386493	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	822326	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386493
STATE	100	MIN	386494	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	822327	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386494
STATE	100	MIN	386495	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	822328	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386495
STATE	100	MIN	386880	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	823112	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386880
STATE	100	MIN	386883	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	823115	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386883
STATE	100	MIN	386884	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	823116	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386884
STATE	100	MIN	390786	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	832646	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=390786
STATE	100	MIN	390787	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	832647	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=390787
STATE	100	MIN	392994	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	837661	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=392994
STATE	100	MIN	393002	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	837669	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=393002
STATE	100	MIN	393364	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	838159	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=393364
STATE	100	MIN	400276	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	858241	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400276
STATE	100	MIN	400280	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	858245	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400280
STATE	100	MIN	417089	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	Utah, Emery County	39.13333333,-110.7666667	882365	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=417089
STATE	100	OMA	802037	NA	Texas	Benton	417.34	outside_boundary_similarity_0.667	Arkansas, Benton County	36.298889,-93.923056	17380	Hobbs State Park; Conservation Area, along Page Sawmill Road, 0.35 mi NW of jct with Rambo Road	https://lichenportal.org/portal/collections/individual/index.php?occid=802037
STATE	100	SBBG	1315118	S. C. Tucker	Texas	Bexar	676.1	outside_boundary_exact	Louisiana, West Feliciana County	30.791667,-91.258333	NA	Edwards Plateau; Friedrich Park, NW of San Antonio	https://lichenportal.org/portal/collections/individual/index.php?occid=1315118
STATE	100	SBBG	140983	Robert Burkhalter	Texas	Kent	417.69	outside_boundary_exact	Kansas, Seward County	37.131389,-100.801667	SBBG006003L	South side of US 380, 1 mile west of jct. TX 208. 4 miles SW of Clairemont.	https://lichenportal.org/portal/collections/individual/index.php?occid=140983
STATE	100	SBBG	143952	Robert Burckhalter	Texas	Kent	417.69	outside_boundary_exact	Kansas, Seward County	37.131389,-100.801667	SBBG006268L	South side of US 380, 1 mi west of jct. TX 208. 4 mi SW of Clairemont	https://lichenportal.org/portal/collections/individual/index.php?occid=143952
STATE	100	TENN	1113417	Ronald A. Pursell	Texas	Kenedy	775.15	outside_boundary_exact	Oklahoma, Cotton County	34.240876,-98.39644	TENN-L-0007301	25 miles North of Raymondvilie along US 77	https://lichenportal.org/portal/collections/individual/index.php?occid=1113417
