herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
WSCO	4794925	WSCO	Dr. Dawn Gatherum	Utah	Sanpete	10643.71	outside_boundary_exact	not_found_in_US	39.422222,111.796944	WSCO005174	Manti-La Sal National Forest. F.S. road 027 west out of Wales, Utah until you encounter F.S. 157. Go South on F.S. 157 until you encounter a large saddle. To the East of the saddle you will find a large dead juniper that has has the upper portion cut off. Just a few steps East of the Juniper is a large rock that is being used for this site.	https://lichenportal.org/portal/collections/individual/index.php?occid=4794925	COUNTRY	1000
WSCO	4785115	WSCO	John Carden	Utah	Salt Lake	10450.99	outside_boundary_exact	not_found_in_US	40.53452,111.81351	WSCO012682	By Hidden Valley Park in Sandy Utah, along the Bonneville Shoreline hiking trail facing west in a partly shaded area of scrub oaks on a granite rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=4785115	COUNTRY	1000
WSCO	5643859	WSCO	John Carden	Utah	Salt Lake	10448.77	outside_boundary_exact	not_found_in_US	40.62381,111.74484	WSCO001590	Up Big Cottonwood canyon. Entering Storm mountain campground headed toward the amphitheater. Following the trail past the amphitheater the hike gains elevation and makes a small loop until you are above the campground. On this ridge there are many sedimentary layered rocks with various lichens species living there.	https://lichenportal.org/portal/collections/individual/index.php?occid=5643859	COUNTRY	1000
PH	1724559	PH	Thomas H. Nash III	Utah	Washington	8353.59	outside_boundary_exact	not_found_in_US	37.36667,-13.06667	PH00089627	Zion National Park, aspen grove just north of Pocket Mesa.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724559	COUNTRY	1000
COLO	2745279	COLO	Robert B. Warrick	Utah	Washington	8336.38	outside_boundary_exact	not_found_in_US	37.218889,-13.403056	COLO-L-0051126	Road between Red Cliffs Recreation Area and Harrisburg ghost town. Kayenta formation.	https://lichenportal.org/portal/collections/individual/index.php?occid=2745279	COUNTRY	1000
BRY	1081854	BRY	Larry L. St. Clair	Utah	Emery	7601.35	outside_boundary_exact	not_found_in_US	10.804167,-39.244722	BRY-L-0006840	Buckhorn Reservoir: 0.6 km east of Buckhorn Reservoir and 15 km SE of Cleveland	https://lichenportal.org/portal/collections/individual/index.php?occid=1081854	COUNTRY	1000
BRY	1307206	BRY	Larry L. St. Clair	Utah	Emery	7601.35	outside_boundary_exact	not_found_in_US	10.804167,-39.244722	BRY-L-0015004	Buckhorn Reservoir: 0.6 km east of Buckhorn Reservoir and 15 km SE of Cleveland	https://lichenportal.org/portal/collections/individual/index.php?occid=1307206	COUNTRY	1000
BRY	1371858	BRY	Larry L. St. Clair	Utah	Utah	7529.87	outside_boundary_exact	not_found_in_US	12.031667,-39.954444	BRY-L-0019770	North side of Utah State Highway 6, 11.8 km west of Goshen	https://lichenportal.org/portal/collections/individual/index.php?occid=1371858	COUNTRY	1000
WSCO	5644312	WSCO	Dawn Gatherum	Utah	San Juan	6989.23	outside_boundary_exact	not_found_in_US	-39.357222,-111.285833	WSCO012938	Manti-La Sal National Forest. Along F.S. road 071, west of Geyser Pass on the west side of the road at the bottom of a large talus slope. Rock is facing west.	https://lichenportal.org/portal/collections/individual/index.php?occid=5644312	COUNTRY	1000
WSCO	5644486	WSCO	Dawn Gatherum	Utah	San Juan	6989.23	outside_boundary_exact	not_found_in_US	-39.357222,-111.285833	WSCO012985	Manti-La Sal National Forest. Along F.S. road 071, west of Geyser Pass on the west side of the road at the bottom of a large talus slope. Rock is facing west.	https://lichenportal.org/portal/collections/individual/index.php?occid=5644486	COUNTRY	1000
