error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	CMN	3319803	CMN	Brodo, Irwin M.	Wisconsin	Bayfield Co.	58.23	outside_boundary_exact	not_found_in_US	46.75,-90	CANL 8810	Squaw Point, on Lake Superior at Cornucopia.	https://lichenportal.org/portal/collections/individual/index.php?occid=3319803
COUNTRY	1000	CMN	3320820	CMN	Brodo, Irwin M.	Wisconsin	Bayfield Co.	58.23	outside_boundary_exact	not_found_in_US	46.75,-90	CANL 8813	Squaw Point, on Lake Superior at Cornucopia.	https://lichenportal.org/portal/collections/individual/index.php?occid=3320820
COUNTRY	1000	CMN	3783941	CMN	Brodo, Irwin M.	Wisconsin	Bayfield Co.	58.23	outside_boundary_exact	not_found_in_US	46.75,-90	CANL 8838	Squaw Point, on Lake Superior at Cornucopia.	https://lichenportal.org/portal/collections/individual/index.php?occid=3783941
COUNTRY	1000	ILLS	2705828	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00006699	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2705828
COUNTRY	1000	ILLS	2705853	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00090432	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2705853
COUNTRY	1000	ILLS	2705855	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00090700	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2705855
COUNTRY	1000	ILLS	2705932	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00100027	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2705932
COUNTRY	1000	ILLS	2706031	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00090433	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2706031
COUNTRY	1000	ILLS	2706042	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.545532,-91.031615	ILLS00093545	Wisconsin Route 2, east of Ashland.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706042
COUNTRY	1000	ILLS	2706065	ILLS	J.L. Crane & J.D. Schoknecht	Wisconsin	Ion	NA	county_not_matched_no_match	county_not_matched	46.576221,-90.969131	ILLS00097398	Ion County Forest, Wisconsin Route 2, east of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=2706065
