error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	BRY	1215451	BRY	Roger A. Anderson	Wyoming	Teton	7293.39	outside_boundary_exact	not_found_in_US	10.733333,-43.5	BRY-L-0006962	National Elk Refuge, NE of Jackson Miller Butte	https://lichenportal.org/portal/collections/individual/index.php?occid=1215451
COUNTRY	1000	BRY	1216774	BRY	Larry L. St. Clair	Wyoming	Platt	7385.36	outside_boundary_partial_match	not_found_in_US	4.719444,-42.173333	BRY-L-0008276	Ponderosa pine forest, 10.7 miles NE Laramie River Power Plant: 15 miles NE Wheatland	https://lichenportal.org/portal/collections/individual/index.php?occid=1216774
COUNTRY	1000	BRY	1217765	BRY	Roger A. Anderson	Wyoming	Teton	7293.39	outside_boundary_exact	not_found_in_US	10.733333,-43.5	BRY-L-0009254	National Elk Refuge, NE of Jackson, Miller Butte	https://lichenportal.org/portal/collections/individual/index.php?occid=1217765
COUNTRY	1000	BRY	1289213	BRY	Roger A. Anderson	Wyoming	Teton	7293.39	outside_boundary_exact	not_found_in_US	10.733333,-43.5	BRY-L-0014054	National Elk Refuge, NE of Jackson, Miller Butte	https://lichenportal.org/portal/collections/individual/index.php?occid=1289213
COUNTRY	1000	BRY	1343617	BRY	Roger A. Anderson	Wyoming	Teton	7836.29	outside_boundary_exact	not_found_in_US	10.866667,-36.616667	BRY-L-0016877	Grand Teton National Park: Rendezvous Mountain and upper Granite Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=1343617
COUNTRY	1000	BRY	1351081	BRY	Thomas H. Nash	Wyoming	Park	7107.18	outside_boundary_exact	not_found_in_US	10.416667,-44.791667	BRY-L-0017621	Yellowstone National Park, Mount Washburn	https://lichenportal.org/portal/collections/individual/index.php?occid=1351081
COUNTRY	1000	BRY	1373988	BRY	Roger A. Anderson	Wyoming	Teton	7293.39	outside_boundary_exact	not_found_in_US	10.733333,-43.5	BRY-L-0020099	National Elk Refuge, NE of Jackson, Miller Butte	https://lichenportal.org/portal/collections/individual/index.php?occid=1373988
COUNTRY	1000	BRY	1423087	BRY	Roger A. Anderson	Wyoming	Teton	7293.39	outside_boundary_exact	not_found_in_US	10.733333,-43.5	BRY-L-0016525	National Elk Refuge, NE of Jackson, Miller Butte	https://lichenportal.org/portal/collections/individual/index.php?occid=1423087
COUNTRY	1000	BRY	1423299	BRY	Roger A. Anderson	Wyoming	Park	7090.22	outside_boundary_exact	not_found_in_US	10.75,-44.683333	BRY-L-0016548	Yellowstone National Park, Gibbon Canyon, west base of Paintpot Hill, 13 km north of Beryl Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=1423299
COUNTRY	1000	BRY	1770460	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022310	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770460
COUNTRY	1000	BRY	1770510	BRY	NA	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021262	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770510
COUNTRY	1000	BRY	1770512	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022309	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770512
COUNTRY	1000	BRY	1770524	BRY	NA	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021261	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770524
