id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3573530	APSC	APSC-L-0000301	collector unknown	s.n.	73.74	119.15	Tennessee	Roane	35.7422656	-83.4628307	outside_boundary_exact	Tennessee, Sevier County	Skyline Dr.	https://lichenportal.org/portal/collections/individual/index.php?occid=3573530
3431640	APSC	APSC-L-0000066	Haskell C. Phillips	1260	7.65	58.25	Tennessee	Stewart	36.746418	-88.042379	outside_boundary_exact	Kentucky, Trigg County	0.25 mi. N of Quadron 6K3, E Shore of Kentucky Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=3431640
3431644	APSC	APSC-L-0000070	Haskell C. Phillips	1266	7.65	58.25	Tennessee	Stewart	36.746418	-88.042379	outside_boundary_exact	Kentucky, Trigg County	0.25 mi. N of Quadron 6K3, E Shore of Kentucky Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=3431644
3580910	APSC	APSC-L-0000379	Haskell C. Phillips	1454	7.65	58.25	Tennessee	Stewart	36.746418	-88.042379	outside_boundary_exact	Kentucky, Trigg County	0.25 mi. N of Quadron 6K3, E Shore of Kentucky Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=3580910
3572110	APSC	APSC-L-0000172	Haskell C. Phillips	s.n.	2.9	43.29	Tennessee	Sevier	35.673814	-83.706044	outside_boundary_exact	Tennessee, Blount County	Greenbriar Region, Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572110
3572118	APSC	APSC-L-0000180	Haskell C. Phillips	s.n.	0.97	55.95	Tennessee	Fayette	35.40786	-89.293958	outside_boundary_exact	Tennessee, Haywood County	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572118
3572120	APSC	APSC-L-0000182	Haskell C. Phillips	s.n.	0.97	55.95	Tennessee	Fayette	35.40786	-89.293958	outside_boundary_exact	Tennessee, Haywood County	Dancyville	https://lichenportal.org/portal/collections/individual/index.php?occid=3572120
3572121	APSC	APSC-L-0000183	Haskell C. Phillips	s.n.	0.97	55.95	Tennessee	Fayette	35.40786	-89.293958	outside_boundary_exact	Tennessee, Haywood County	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572121
3572127	APSC	APSC-L-0000189	Haskell C. Phillips	s.n.	0.97	55.95	Tennessee	Fayette	35.40786	-89.293958	outside_boundary_exact	Tennessee, Haywood County	Dancyville; Hwy 76	https://lichenportal.org/portal/collections/individual/index.php?occid=3572127
3430553	APSC	APSC-L-0000015	Haskell C. Phillips	1365	0.01	48.03	Tennessee	Stewart	36.673385	-87.971844	outside_boundary_exact	Tennessee, Stewart County	0.50 mi. W of Quadron 8K1, Fox Ridge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3430553
3572176	APSC	APSC-L-0000237	Haskell C. Phillips	s.n.	0	55.58	Tennessee	Sevier	35.562872	-83.498496	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572176
3572177	APSC	APSC-L-0000238	Haskell C. Phillips	s.n.	0	55.58	Tennessee	Sevier	35.562872	-83.498496	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572177
3572180	APSC	APSC-L-0000241	Haskell C. Phillips	s.n.	0	55.58	Tennessee	Sevier	35.562872	-83.498496	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572180
3572188	APSC	APSC-L-0000249	Haskell C. Phillips	s.n.	0	55.58	Tennessee	Sevier	35.562872	-83.498496	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3572188
3581018	APSC	APSC-L-0000466	Haskell C. Phillips	s.n.	0	55.58	Tennessee	Sevier	35.562872	-83.498496	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3581018
