institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	Ryan, B.D.	Oregon	Lake	954.82	outside_boundary_exact	not_found_in_US	33.466667,-120.8	ASUL003101	Fremont National Forest, trail to Palisade Rocks, E part of Gearhart Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=3533658
ASU	B. McCune	Oregon	Douglas	241.23	outside_boundary_exact	Oregon, Clatsop County	46.11,-123.5583333	NA	BLM property, 3 km SSE of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=81768
ASU	P. Severns	Oregon	Lake	160.86	outside_boundary_exact	Oregon, Lane County	44.0833333,-123.2333333	ASUL046128	Rose Prairie RNA, Army Corps of Engineers property, west of Eugene near mouth of Amazon Creek at Fern Ridge Reservoir UTM Zone 10, approx 480385 E 4881240 N	https://lichenportal.org/portal/collections/individual/index.php?occid=81750
ASU	B. McCune	Oregon	Douglas	105.87	outside_boundary_exact	not_found_in_US	44.8666667,-124.15	ASUL030371	between Carter Lake and ocean, 12 km S of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=81748
ASU	L. Geiser	Oregon	Benton	99.7	outside_boundary_exact	Oregon, Lane County	43.975,-122.0072222	NA	Falls creek trail	https://lichenportal.org/portal/collections/individual/index.php?occid=90300
ASU	Doyle E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.483333	NA	Near Kiwa Springs in the Deschutes National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203562
ASU	Doyle E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	ASUL048712	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=5655047
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	ASUL008539	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=70017
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=77712
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=93076
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=95513
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=96688
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=97832
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=102362
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=102613
ASU	D.E. Anderegg	Oregon	Deschutes	74.44	outside_boundary_exact	Oregon, Klamath County	42.95,-121.4833333	NA	near Kiwa Springs in the Deschutes National Forest, Sect. 11, T19S, R10E	https://lichenportal.org/portal/collections/individual/index.php?occid=103595
ASU	B.D. Ryan	Oregon	Klamath	71.05	outside_boundary_exact	Oregon, Lake County	42.0066667,-120.0161111	NA	Devil's garden, mile 3, rd 34, 5 mi ENE of Bly.	https://lichenportal.org/portal/collections/individual/index.php?occid=2743442
ASU	B.D. Ryan	Oregon	Klamath	71.05	outside_boundary_exact	Oregon, Lake County	42.0066667,-120.0161111	NA	Devil's garden, mile 3, rd 34, 5 mi ENE of Bly. Scabflat	https://lichenportal.org/portal/collections/individual/index.php?occid=93172
