id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
68383	ASU	ASUL002700	J.T. Wynhoff	NM-71	9415.67	9590.32	New Mexico	San Juan	20.47	-8	outside_boundary_exact	not_found_in_US	Munoz Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=68383
68378	ASU	ASUL002697	J.T. Wynhoff	NM-126	8770.21	8948.29	New Mexico	San Juan	29	-9	outside_boundary_exact	not_found_in_US	Hammond Diversion Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=68378
5857983	ASU	ASUL050463	D. Rankert	471	954.94	1099.39	New Mexico	San Juan	36.066667	-119.766667	outside_boundary_exact	California, Kings County	P12	https://lichenportal.org/portal/collections/individual/index.php?occid=5857983
82716	ASU	NA	W.A. Weber	L-31376	541.73	697.26	New Mexico	Lincoln	38.42	-109.036	outside_boundary_exact	Colorado, Montrose County	Sacramento (White) Mts., near top of Monjeau Peak (T10S, R12E, Sec. 24, NE ¼), NE side below lookout tower	https://lichenportal.org/portal/collections/individual/index.php?occid=82716
82713	ASU	NA	B.D. Ryan	27122-b	380.45	498.23	New Mexico	Eddy	36.3652778	-104.8294444	outside_boundary_exact	New Mexico, Colfax County	Guadalupe Mts., canyon 5 km, N of El Paso Gap (T25S, R21E, Sec. 17, NW ¼)	https://lichenportal.org/portal/collections/individual/index.php?occid=82713
82714	ASU	ASUL005289	R.D. Worthington	30347	380.45	498.23	New Mexico	Eddy	36.3652778	-104.8294444	outside_boundary_exact	New Mexico, Colfax County	Guadalupe Mts., canyon 5 km, N of El Paso Gap (T25S, R21E, Sec. 17, NW ¼)	https://lichenportal.org/portal/collections/individual/index.php?occid=82714
94376	ASU	NA	D. Rankert	54	192.51	349.84	New Mexico	San Juan	36.8333333	-105.25	outside_boundary_exact	New Mexico, Taos County	P 9	https://lichenportal.org/portal/collections/individual/index.php?occid=94376
100905	ASU	NA	J. Marsh	66	192.51	349.84	New Mexico	San Juan	36.8333333	-105.25	outside_boundary_exact	New Mexico, Taos County	P 9	https://lichenportal.org/portal/collections/individual/index.php?occid=100905
75041	ASU	ASUL030342	R.D. Worthington	29931	115.78	262.73	New Mexico	Lincoln	32.1058333	-104.7833333	outside_boundary_exact	New Mexico, Eddy County	0.7 rd. mi. SE of Klondike Gap in canyon bottom (T25S, R21E, Sec. 26)	https://lichenportal.org/portal/collections/individual/index.php?occid=75041
87081	ASU	NA	B.D. Ryan	19073	71.19	187.51	New Mexico	Sierra	32.0155556	-107.0083333	outside_boundary_exact	New Mexico, Doña Ana County	Canyon 53 mi E of Silver city, along New Mexico Hwy 90	https://lichenportal.org/portal/collections/individual/index.php?occid=87081
97577	ASU	NA	B.D. Ryan	19101	71.19	187.51	New Mexico	Sierra	32.0155556	-107.0083333	outside_boundary_exact	New Mexico, Doña Ana County	Canyon 53 mi E of Silver city, along New Mexico Hwy 90	https://lichenportal.org/portal/collections/individual/index.php?occid=97577
78179	ASU	NA	B.D. Ryan	19141	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=78179
82627	ASU	NA	B.D. Ryan	18841	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=82627
84013	ASU	NA	B.D. Ryan	18846	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=84013
84014	ASU	NA	B.D. Ryan	19145	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=84014
84015	ASU	NA	B.D. Ryan	18848	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=84015
84018	ASU	NA	B.D. Ryan	18854	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=84018
86794	ASU	NA	B.D. Ryan	18851	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=86794
90869	ASU	NA	B.D. Ryan	19147	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=90869
93162	ASU	NA	B.D. Ryan	18844	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=93162
93169	ASU	NA	B.D. Ryan	18852	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=93169
95111	ASU	NA	B.D. Ryan	19141	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=95111
95114	ASU	NA	B.D. Ryan	18845	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=95114
102909	ASU	NA	B.D. Ryan	18842	61.63	152.1	New Mexico	Valencia	35.1666667	-107.8333333	outside_boundary_exact	New Mexico, Cibola County	Grants Canyon road, N of Interstate Hwy 40, 3 km NE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=102909
41855	ASU	ASUL030558	T.H. Nash III	15988-a	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41855
41856	ASU	ASUL001597	T.H. Nash III	15989	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41856
41857	ASU	ASUL030246	T.H. Nash III	15990	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41857
41858	ASU	NA	T.H. Nash III	15991	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41858
41860	ASU	NA	T.H. Nash III	15992	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41860
41861	ASU	NA	T.H. Nash III	15993	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41861
41862	ASU	ASUL008615	T.H. Nash III	15994	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41862
41863	ASU	ASUL002711	T.H. Nash III	15995	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km [10 mi] SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41863
41864	ASU	ASUL002904	T.H. Nash III	15996	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km [10 miles] SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41864
41865	ASU	ASUL000484	T.H. Nash III	15997	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km [10 miles] SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41865
41866	ASU	ASUL015226	T.H. Nash III	15998	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41866
41867	ASU	NA	T.H. Nash III	15999	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41867
41868	ASU	NA	T.H. Nash III	16000-a	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41868
41869	ASU	NA	T.H. Nash III	16001	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41869
41871	ASU	NA	T.H. Nash III	16002	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41871
41872	ASU	NA	T.H. Nash III	16003	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41872
41873	ASU	ASUL019299	T.H. Nash III	16004	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41873
41874	ASU	NA	T.H. Nash III	16005	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41874
41875	ASU	NA	T.H. Nash III	16006	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41875
41876	ASU	NA	T.H. Nash III	16007	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41876
41877	ASU	ASUL048430	T.H. Nash III	16008	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km [10 mi] SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41877
41878	ASU	ASUL020234	T.H. Nash III	16009	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41878
41879	ASU	NA	T.H. Nash III	16010	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41879
41880	ASU	NA	T.H. Nash III	16011	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41880
41882	ASU	NA	T.H. Nash III	16012	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41882
41883	ASU	NA	T.H. Nash III	16013	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41883
41884	ASU	NA	T.H. Nash III	16014	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41884
41885	ASU	NA	T.H. Nash III	16015	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41885
41886	ASU	NA	T.H. Nash III	16016	46.17	135.05	New Mexico	Valencia	35.05	-107.7	outside_boundary_exact	New Mexico, Cibola County	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41886
