id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
709957	ASU	ASUL001700	J. C. Lendemer	13250	31.64	Pennsylvania	Lackawanna	41.555	-75.075278	outside_boundary_exact	Pennsylvania, Pike County	Lackawanna State Park, S of Lackawanna Lake, Turkey Hill Trail, slopes above PA Route 407, 2.8 mi N of Waverly, North Abington Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=709957
49801	ASU	ASUL009818	T.H. Nash III	2119	16.26	Pennsylvania	Carbon	40.6666667	-75.95	outside_boundary_exact	Pennsylvania, Schuylkill County	Dan's Pulpit along Blue Mountain Ridge, 32 km W of Palmerton	https://lichenportal.org/portal/collections/individual/index.php?occid=49801
49808	ASU	NA	T.H. Nash III	2125	7.56	Pennsylvania	Schuylkill	40.6666667	-75.7333333	outside_boundary_exact	Pennsylvania, Lehigh County	14 km E of Dan's Pulpit	https://lichenportal.org/portal/collections/individual/index.php?occid=49808
1374923	ASU	ASU0069326	J.C. Lendemer	13611	6.47	Pennsylvania	Wyoming	41.706944	-76.091667	outside_boundary_exact	Pennsylvania, Susquehanna County	State Game Lands 57, Sober Mountain, orange trail, ca. 1.5 mi S of Stull, E of Noxen, Noxen Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=1374923
94058	ASU	ASUL000584	T.H. Nash III	2486	2.12	Pennsylvania	Monroe	41.021667	-75.018611	outside_boundary_exact	New Jersey, Warren County	Delaware Water Gap, N slope	https://lichenportal.org/portal/collections/individual/index.php?occid=94058
49793	ASU	NA	T.H. Nash III	2111	2.08	Pennsylvania	Schuylkill	40.6666667	-75.8666667	outside_boundary_exact	Pennsylvania, Lehigh County	8 km E of Dan's Pulpit, N-side	https://lichenportal.org/portal/collections/individual/index.php?occid=49793
52226	ASU	ASUL013467	T.H. Nash III	19471	1.12	Pennsylvania	Warren	41.6166667	-79.1666667	outside_boundary_exact	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52226
52227	ASU	NA	T.H. Nash III	19472	1.12	Pennsylvania	Warren	41.6166667	-79.1666667	outside_boundary_exact	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52227
52228	ASU	NA	T.H. Nash III	19473	1.12	Pennsylvania	Warren	41.6166667	-79.1666667	outside_boundary_exact	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52228
52229	ASU	ASUL015188	T.H. Nash III	19474	1.12	Pennsylvania	Warren	41.6166667	-79.1666667	outside_boundary_exact	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52229
