institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Thomas H. Nash	Alaska	Aleutians West	6273.64	outside_boundary_exact	not_found_in_US	70.25,-57.333333	BRY-L-0010202	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1218723
BRY	James K. Mitchell	Alaska	Chugach National Forest	14.35	outside_boundary_reverse_partial	Alaska, Anchorage County	60.958333,-148.891667	BRY-L-0016925	Chugach National Forest: Portage Valley, along Portage Creek, vicinity Red Salmon VABM, 9 miles WNW of Whittier	https://lichenportal.org/portal/collections/individual/index.php?occid=1343663
BRY	James K. Mitchell	Alaska	Chugach National Forest	8.9	outside_boundary_reverse_partial	Alaska, Anchorage County	60.791667,-148.891667	BRY-L-0014354	Chugach National Forest: Portage Valley along Portage Creek, vicinity Red Salmon VABM, 9 miles WNW of Whittier	https://lichenportal.org/portal/collections/individual/index.php?occid=1299309
BRY	James K. Mitchell	Alaska	Chugach National Forest	8.9	outside_boundary_reverse_partial	Alaska, Anchorage County	60.791667,-148.891667	BRY-L-0014384	Chugach National Forest: Portage Valley along Portage Creek, vicinity Red Salmon VABM, 9 miles WNW of Whittier	https://lichenportal.org/portal/collections/individual/index.php?occid=1299339
BRY	James K. Mitchell	Alaska	Chugach National Forest	7.88	outside_boundary_reverse_partial	Alaska, Anchorage County	60.791667,-148.875	BRY-L-0011364	Chugach National Forest: Portage Valley along Portage Creek, vicinity Williwaw Campground, 7 miles WNW of Whittier	https://lichenportal.org/portal/collections/individual/index.php?occid=1219908
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0000253	St. Paul Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1081886
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0001111	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1076612
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0001168	St. Paul Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076669
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0011757	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1243243
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0011805	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1243508
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0014423	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1299378
BRY	Thomas H. Nash	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.333333,-170.25	BRY-L-0015822	St Paul Island: on seaside cliff	https://lichenportal.org/portal/collections/individual/index.php?occid=1312990
