id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1471076	BRY	BRY-L-0020984	Sam Shushan	11268	7162.74	7229.63	Montana	Granite	16.58	-42.887	outside_boundary_exact	not_found_in_US	Deerlodge National Forest: Anaconda-Pintler Wilderness Area, Goat Flat.	https://lichenportal.org/portal/collections/individual/index.php?occid=1471076
1570397	BRY	BRY-L-0020983	Sam Shushan	11266	7162.74	7229.63	Montana	Granite	16.58	-42.887	outside_boundary_exact	not_found_in_US	Deerlodge National Forest: Anaconda-Pintler Wilderness Area, Goat Flat.	https://lichenportal.org/portal/collections/individual/index.php?occid=1570397
1361734	BRY	BRY-L-0017575	Maynard C. Bowers	sl-3529	6921.93	7070.85	Montana	Glacier	13.666667	-48.75	outside_boundary_exact	not_found_in_US	Glacier National Park: on Piegan Pass between Piegan Mountain And Mountain Cataract	https://lichenportal.org/portal/collections/individual/index.php?occid=1361734
1832840	BRY	BRY-L-0028394	Larry L. St. Clair	St. Cl-16709	202.55	375.53	Montana	Sanders	46.705683	-111.614099	outside_boundary_exact	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832840
1832849	BRY	BRY-L-0028393	Larry L. St. Clair	St. Cl-16708	202.55	375.53	Montana	Sanders	46.705683	-111.614099	outside_boundary_exact	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832849
1833428	BRY	BRY-L-0028395	Larry L. St. Clair	St. Cl-16710	202.55	375.53	Montana	Sanders	46.705683	-111.614099	outside_boundary_exact	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833428
1832447	BRY	BRY-L-0028374	Larry L. St. Clair	St. Cl-16711	189.89	359.9	Montana	Sanders	46.84916	-111.737545	outside_boundary_exact	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832447
1832453	BRY	BRY-L-0028377	Larry L. St. Clair	St. Cl-16714	189.89	359.9	Montana	Sanders	46.84916	-111.737545	outside_boundary_exact	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832453
1832660	BRY	BRY-L-0028376	Larry L. St. Clair	St. Cl-16713	189.89	359.9	Montana	Sanders	46.84916	-111.737545	outside_boundary_exact	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832660
1832881	BRY	BRY-L-0028379	Larry L. St. Clair	St. Cl-16716	189.89	359.9	Montana	Sanders	46.84916	-111.737545	outside_boundary_exact	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832881
