id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1216924	BRY	BRY-L-0008317	Sam Shushan	sl-7655	557.97	New Mexico	Otero	38.375	-105.808333	outside_boundary_exact	Colorado, Fremont County	Sierra Blanca Peak: Mescalero Apache Indian Reservation: Sacramento Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1216924
1308446	BRY	BRY-L-0015101	Clayton C. Newberry	NA	79.78	New Mexico	Valencia	34.983333	-108.083333	outside_boundary_exact	New Mexico, Cibola County	Big Bend National Park: Hayes Ridge, Pine Canyon Rd. south of headquarter	https://lichenportal.org/portal/collections/individual/index.php?occid=1308446
1219328	BRY	BRY-L-0010803	Robert S. Egan	sl-7636, El-907	5.5	New Mexico	Bernalillo	35.266667	-106.425	outside_boundary_exact	New Mexico, Sandoval County	Cibola National Forest: 1.4 miles east of Sandia Crest	https://lichenportal.org/portal/collections/individual/index.php?occid=1219328
2643937	BRY	BRY-L-0040614	Larry L. St. Clair	St. Cl-20467	4.34	New Mexico	Grant	33.24015	-108.28775	outside_boundary_exact	New Mexico, Catron County	Gila National Forest: vicinity of Cliff Dwelling, along USFS Trail 151.	https://lichenportal.org/portal/collections/individual/index.php?occid=2643937
2644172	BRY	BRY-L-0040616	Larry L. St. Clair	St. Cl-20468B	4.34	New Mexico	Grant	33.24015	-108.28775	outside_boundary_exact	New Mexico, Catron County	Gila National Forest: vicinity of Cliff Dwelling, along USFS Trail 151.	https://lichenportal.org/portal/collections/individual/index.php?occid=2644172
2644177	BRY	BRY-L-0040618	Larry L. St. Clair	St. Cl-20470	4.34	New Mexico	Grant	33.24015	-108.28775	outside_boundary_exact	New Mexico, Catron County	Gila National Forest: vicinity of Cliff Dwelling, along USFS Trail 151.	https://lichenportal.org/portal/collections/individual/index.php?occid=2644177
2644318	BRY	BRY-L-0040619	Larry L. St. Clair	St. Cl-20471	4.34	New Mexico	Grant	33.24015	-108.28775	outside_boundary_exact	New Mexico, Catron County	Gila National Forest: vicinity of Cliff Dwelling, along USFS Trail 151.	https://lichenportal.org/portal/collections/individual/index.php?occid=2644318
2644327	BRY	BRY-L-0040617	Larry L. St. Clair	St. Cl-20469	4.34	New Mexico	Grant	33.24015	-108.28775	outside_boundary_exact	New Mexico, Catron County	Gila National Forest: vicinity of Cliff Dwelling, along USFS Trail 151.	https://lichenportal.org/portal/collections/individual/index.php?occid=2644327
1245469	BRY	BRY-L-0012282	William H. Moir	sl-1771	1.7	New Mexico	Lincoln	33.375	-105.808333	outside_boundary_exact	New Mexico, Otero County	Sacramento Mountains near Sierra Blanca Peak: Lincoln National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1245469
1282551	BRY	BRY-L-0012976	William H. Moir	sl-1770	1.7	New Mexico	Lincoln	33.375	-105.808333	outside_boundary_exact	New Mexico, Otero County	Sacramento Mountains near Sierra Blanca Peak: Lincoln National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1282551
1075614	BRY	BRY-L-0000099	Robert S. Egan	el-1618	NA	New Mexico	Sante Fe	35.679167	-105.775	county_not_matched_no_match	county_not_matched	Santa Fe National Forest: Lake Peak, 11 mi. NE of Santa Fe.	https://lichenportal.org/portal/collections/individual/index.php?occid=1075614
1076296	BRY	BRY-L-0000798	Robert S. Egan	el-2508	NA	New Mexico	Sante Fe	35.679167	-105.775	county_not_matched_no_match	county_not_matched	Santa Fe National Forest: Lake Peak, 11 mi. NE of Santa Fe.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076296
1076897	BRY	BRY-L-0001394	Robert S. Egan	el-1360	NA	New Mexico	Sante Fe	35.795833	-105.775	county_not_matched_no_match	county_not_matched	Lake Peak: 11 miles NE of Santa Fe	https://lichenportal.org/portal/collections/individual/index.php?occid=1076897
1076983	BRY	BRY-L-0001480	Robert S. Egan	el-2070	NA	New Mexico	Torrence	34.666667	-106.4125	county_not_matched_no_match	county_not_matched	New Canyon Campground; Cibola National Forest; 4 miles west of Manzano; Manzano Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076983
1079658	BRY	BRY-L-0004153	Robert S. Egan	el-2077	NA	New Mexico	Torrence	34.666667	-106.4125	county_not_matched_no_match	county_not_matched	Cibola National Forest: New Canyon Campground, 4 miles west of Manzano, Manzano Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1079658
1079717	BRY	BRY-L-0004212	Robert S. Egan	El-2077	NA	New Mexico	Torrence	34.666667	-106.4125	county_not_matched_no_match	county_not_matched	Cibola National Forest: New Canyon Campground, 4 miles west of Manzano, Manzano Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1079717
1081093	BRY	BRY-L-0006077	Robert S. Egan	el-1614	NA	New Mexico	Sante Fe	35.679167	-105.775	county_not_matched_no_match	county_not_matched	Santa Fe National Forest: Lake Peak, 11 mi. NE of Santa Fe.	https://lichenportal.org/portal/collections/individual/index.php?occid=1081093
