id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5780324	CHRB	CHRB-L-0002818	Natalie Howe	#707	629.04	Michigan	Mackinac	40.073611	-84.961944	outside_boundary_exact	Indiana, Randolph County	Hiawatha National Forest, Carp River, W of FS3458, 1.3 mi N of junction w/ FS-3124	https://lichenportal.org/portal/collections/individual/index.php?occid=5780324
5780325	CHRB	CHRB-L-0002819	Natalie Howe	#708	625.31	Michigan	Mackinac	40.106944	-84.961944	outside_boundary_exact	Indiana, Randolph County	Hiawatha National Forest, Carp River, W of FS3458, 1.3 mi N of junction w/ FS-3124	https://lichenportal.org/portal/collections/individual/index.php?occid=5780325
5780337	CHRB	CHRB-L-0002832	Natalie Howe	#705	625.31	Michigan	Mackinac	40.106944	-84.961944	outside_boundary_exact	Indiana, Randolph County	Hiawatha National Forest, Carp River, W of FS3458, 1.3 mi N of junction w/ FS-3124	https://lichenportal.org/portal/collections/individual/index.php?occid=5780337
5780338	CHRB	CHRB-L-0002833	Natalie Howe	#706	625.31	Michigan	Mackinac	40.106944	-84.961944	outside_boundary_exact	Indiana, Randolph County	Hiawatha National Forest, Carp River, W of FS3458, 1.3 mi N of junction w/ FS-3124	https://lichenportal.org/portal/collections/individual/index.php?occid=5780338
5780298	CHRB	CHRB-L-0002791	Natalie Howe	#687	359.3	Michigan	Branch	45.279722	-84.420278	outside_boundary_exact	Michigan, Cheboygan County	Pigeon River Country State Forest, E. of Osmun Rd., 7.5 mi south of MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780298
5780282	CHRB	CHRB-L-0002774	Natalie Howe	#663	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, Waveland Rd, E of junction of Loren Hill Rd, and Waveland Rd., 5 miles N of MI-68, west shore of Black River	https://lichenportal.org/portal/collections/individual/index.php?occid=5780282
5780285	CHRB	CHRB-L-0002778	Natalie Howe	#674	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780285
5780286	CHRB	CHRB-L-0002779	Natalie Howe	#675	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780286
5780288	CHRB	CHRB-L-0002781	Natalie Howe	#677	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780288
5780289	CHRB	CHRB-L-0002782	Natalie Howe	#678	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780289
5780290	CHRB	CHRB-L-0002783	Natalie Howe	#670	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780290
5780291	CHRB	CHRB-L-0002784	Natalie Howe	#680	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780291
5780293	CHRB	CHRB-L-0002786	Natalie Howe	#682	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780293
5780294	CHRB	CHRB-L-0002787	Natalie Howe	#683	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780294
5780295	CHRB	CHRB-L-0002788	Natalie Howe	#684	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780295
5780296	CHRB	CHRB-L-0002789	Natalie Howe	#685	48.06	Michigan	Cheboygan	45.4275	-85.344167	outside_boundary_exact	not_found_in_US	Gaylord State Forest, E. of Waveland Rd, 3.4 mi N of junction w/ MI-68	https://lichenportal.org/portal/collections/individual/index.php?occid=5780296
5780339	CHRB	CHRB-L-0002834	Natalie Howe	#696	13.35	Michigan	Mackinac	46.278333	-84.792778	outside_boundary_exact	Michigan, Chippewa County	Hiawatha National Forest, vicinity of east lake borrow pit, 0.2 miles W of East Lake Rd, 8.8 mi N of MI-123	https://lichenportal.org/portal/collections/individual/index.php?occid=5780339
