id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1412716	CHRB	CHRB-L-0001310	Erica M. Frank	Me-198	2960.63	Maine	Franklin	70.366667	-45.166667	outside_boundary_exact	not_found_in_US	Horne Pond, 5 mi. S of Stratton, Bigelow Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1412716
1387141	CHRB	CHRB-L-0000991	Erica M. Frank	Me-229	2693.63	Maine	Piscataquis	68.95	-46.016667	outside_boundary_exact	not_found_in_US	Wassataquoik Lake, Baxter State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1387141
1386926	CHRB	CHRB-L-0000656	Erica M. Frank	Me-236	2685.4	Maine	Piscataquis	68.866667	-46.1	outside_boundary_exact	not_found_in_US	North Traveller, Baxter State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1386926
1387163	CHRB	CHRB-L-0001013	Erica M. Frank	Me-238	2685.4	Maine	Piscataquis	68.866667	-46.1	outside_boundary_exact	not_found_in_US	North Traveller, Baxter State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1387163
1386947	CHRB	CHRB-L-0000677	Erica M. Frank	Me-151	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1386947
1387008	CHRB	CHRB-L-0000738	Erica M. Frank	Me-136	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1387008
1387044	CHRB	CHRB-L-0000774	Erica M. Frank	Me-140	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1387044
1387108	CHRB	CHRB-L-0000838	Erica M. Frank	Me-149	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1387108
1412643	CHRB	CHRB-L-0001237	Erica M. Frank	Me-152	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412643
1412676	CHRB	CHRB-L-0001270	Erica M. Frank	Me-142	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412676
1412677	CHRB	CHRB-L-0001271	Erica M. Frank	Me-143	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412677
1412734	CHRB	CHRB-L-0001328	Erica M. Frank	Me-144	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412734
1412744	CHRB	CHRB-L-0001338	Erica M. Frank	Me-141	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412744
1412802	CHRB	CHRB-L-0001396	Erica M. Frank	Me-157	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412802
1412842	CHRB	CHRB-L-0001436	Erica M. Frank	Me 156	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1412842
1413138	CHRB	CHRB-L-0001732	Erica M. Frank	Me-159	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks trail, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1413138
1413187	CHRB	CHRB-L-0001781	Erica M. Frank	Me-155	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks trail, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1413187
1413325	CHRB	CHRB-L-0001919	Erica M. Frank	Me-161	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Mount Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1413325
1413416	CHRB	CHRB-L-0002010	Erica M. Frank	Me-154	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1413416
1413650	CHRB	CHRB-L-0002244	Erica M. Frank	Me-159	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1413650
1481463	CHRB	CHRB-L-0000184	Erica M. Frank	Me-162	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1481463
1481622	CHRB	CHRB-L-0000343	Erica M. Frank	Me-137	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1481622
1481648	CHRB	CHRB-L-0000369	Erica M. Frank	Me-138	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1481648
1481766	CHRB	CHRB-L-0000897	Erica M. Frank	Me-139	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1481766
1481797	CHRB	CHRB-L-0000928	Erica M. Frank	Me-150	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks trail, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1481797
1482078	CHRB	CHRB-L-0002530	Erica M. Frank	Me-145	224.33	Maine	Piscataquis	45.933333	-65.933333	outside_boundary_exact	not_found_in_US	Howe Peaks, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=1482078
1386938	CHRB	CHRB-L-0000668	Erica M. Frank	Me-114	35.67	Maine	Penobscot	45.416667	-69.4	outside_boundary_exact	Maine, Piscataquis County	Barren Mt., 10 mi. NE of Monson	https://lichenportal.org/portal/collections/individual/index.php?occid=1386938
1386941	CHRB	CHRB-L-0000671	Erica M. Frank	Me-115	35.67	Maine	Penobscot	45.416667	-69.4	outside_boundary_exact	Maine, Piscataquis County	Barren Mountain, 10 mi. NE of Monson	https://lichenportal.org/portal/collections/individual/index.php?occid=1386941
1481467	CHRB	CHRB-L-0000188	Erica M. Frank	Me-118	35.67	Maine	Penobscot	45.416667	-69.4	outside_boundary_exact	Maine, Piscataquis County	Barren Mountain, 10 mi. NE of Monson	https://lichenportal.org/portal/collections/individual/index.php?occid=1481467
1481526	CHRB	CHRB-L-0000247	Erica M. Frank	Me-229b	3.07	Maine	Piscataquis	46.016667	-68.783333	outside_boundary_exact	Maine, Penobscot County	Wassataquoik Lake, Baxter State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1481526
1412610	CHRB	CHRB-L-0001204	Erica M. Frank	Me-170	1.9	Maine	Somerset	46.166667	-70.3	outside_boundary_exact	not_found_in_US	Avery Peak, 8 miles E of Stratton, Bigelow Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1412610
1386797	CHRB	CHRB-L-0000527	Erica M. Frank	Me-188	1.02	Maine	Franklin	45.166667	-70.366667	outside_boundary_exact	Maine, Somerset County	Horne Pond, 5 mi. S of Stratton, Bigelow Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1386797
