id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1386907	CHRB	CHRB-L-0000637	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1386907
1386930	CHRB	CHRB-L-0000660	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1386930
1387112	CHRB	CHRB-L-0000842	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1387112
1387144	CHRB	CHRB-L-0000994	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1387144
1412627	CHRB	CHRB-L-0001221	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Great Smoky Mountains: Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1412627
1412642	CHRB	CHRB-L-0001236	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns. Nat. Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1412642
1412867	CHRB	CHRB-L-0001461	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Great Smoky Mountains: Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1412867
1412879	CHRB	CHRB-L-0001473	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Great Smoky Mountains: Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1412879
1412882	CHRB	CHRB-L-0001476	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Great Smoky Mountains: Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1412882
1412948	CHRB	CHRB-L-0001542	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1412948
1413182	CHRB	CHRB-L-0001776	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smoky Mts. Nat. Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1413182
1413191	CHRB	CHRB-L-0001785	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413191
1413212	CHRB	CHRB-L-0001806	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413212
1413319	CHRB	CHRB-L-0001913	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413319
1413422	CHRB	CHRB-L-0002016	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413422
1482054	CHRB	CHRB-L-0002506	Erica M. Frank	s.n.	31.57	Tennessee	Sevier	35.5	-83	outside_boundary_exact	North Carolina, Haywood County	Clingman's Dome, Great Smokey Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1482054
