id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1412957	CHRB	CHRB-L-0001551	Erica M. Frank	s.n.	4869.54	4915.7	Virginia	Giles	80.566667	-37.25	outside_boundary_exact	not_found_in_US	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1412957
1413717	CHRB	CHRB-L-0001356	Erica M. Frank	V-155	4863.54	4909.69	Virginia	Giles	80.516667	-37.383333	outside_boundary_exact	not_found_in_US	Near Mountain Lake Biological Station, Salt Pond Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1413717
1481890	CHRB	CHRB-L-0002342	Erica M. Frank	V-210	4861.97	4909.12	Virginia	Montgomery	80.416667	-37.5	outside_boundary_exact	not_found_in_US	Virginia Polytechnic Institiute Campus, Blacksburg	https://lichenportal.org/portal/collections/individual/index.php?occid=1481890
1386909	CHRB	CHRB-L-0000639	Erica M. Frank	V-149	1745.17	1796.61	Virginia	Giles	37.366667	-60.508333	outside_boundary_exact	not_found_in_US	Bear Cliff, Near Mountain Lake Biological Station, Salt Pond Mtn.	https://lichenportal.org/portal/collections/individual/index.php?occid=1386909
1412755	CHRB	CHRB-L-0001349	Erica M. Frank	V-132	1745.17	1796.61	Virginia	Giles	37.366667	-60.508333	outside_boundary_exact	not_found_in_US	Bear Cliff, Near Mountain Lake Biological Sta., Salt Pond Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1412755
1413203	CHRB	CHRB-L-0001797	Erica M. Frank	V-130	1745.17	1796.61	Virginia	Giles	37.366667	-60.508333	outside_boundary_exact	not_found_in_US	Bear Cliff, Near Mountain Lake Biological Sta., Salt Pond Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1413203
1481655	CHRB	CHRB-L-0000376	Erica M. Frank	V-148	1745.17	1796.61	Virginia	Giles	37.366667	-60.508333	outside_boundary_exact	not_found_in_US	Bear Cliff, Near Mountain Lake Biological Station, Salt Pond Mtn.	https://lichenportal.org/portal/collections/individual/index.php?occid=1481655
1413204	CHRB	CHRB-L-0001798	Erica M. Frank	V-159	1744.26	1795.69	Virginia	Giles	37.383333	-60.516667	outside_boundary_exact	not_found_in_US	Near Mountain Lake Biological Sta., Salt Pond Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1413204
1481795	CHRB	CHRB-L-0000926	Erica M. Frank	V-218	1.52	55.91	Virginia	Mecklenburg	36.783333	-78.6	outside_boundary_exact	Virginia, Charlotte County	near Chase City	https://lichenportal.org/portal/collections/individual/index.php?occid=1481795
1387088	CHRB	CHRB-L-0000818	Erica M. Frank	V-50	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1387088
1412703	CHRB	CHRB-L-0001297	Erica M. Frank	s.n.	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1412703
1412869	CHRB	CHRB-L-0001463	Erica M. Frank	V-18	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, near May brook, Rte. 460	https://lichenportal.org/portal/collections/individual/index.php?occid=1412869
1412952	CHRB	CHRB-L-0001546	Erica M. Frank	V-20	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1412952
1413022	CHRB	CHRB-L-0001616	Erica M. Frank	V-48	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413022
1413107	CHRB	CHRB-L-0001701	Erica M. Frank	V-46	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460 near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413107
1413371	CHRB	CHRB-L-0001965	Erica M. Frank	V-22	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413371
1413374	CHRB	CHRB-L-0001968	Erica M. Frank	V-44	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413374
1413542	CHRB	CHRB-L-0002136	Erica M. Frank	V-19	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413542
1413546	CHRB	CHRB-L-0002140	Erica M. Frank	V-43	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413546
1413600	CHRB	CHRB-L-0002194	Erica M. Frank	V-14	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413600
1413612	CHRB	CHRB-L-0002206	Erica M. Frank	V-17	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413612
1413616	CHRB	CHRB-L-0002210	Erica M. Frank	V-49	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413616
1413622	CHRB	CHRB-L-0002216	Erica M. Frank	V-12	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413622
1413624	CHRB	CHRB-L-0002218	Erica M. Frank	V-45	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413624
1413633	CHRB	CHRB-L-0002227	Erica M. Frank	V-15	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, near May brook, Rte. 460	https://lichenportal.org/portal/collections/individual/index.php?occid=1413633
1413667	CHRB	CHRB-L-0002261	Erica M. Frank	V-16	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413667
1413683	CHRB	CHRB-L-0002277	Erica M. Frank	V-13	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413683
1413703	CHRB	CHRB-L-0002297	Erica M. Frank	V-11	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1413703
1481322	CHRB	CHRB-L-0000043	Erica M. Frank	V-10	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1481322
1481690	CHRB	CHRB-L-0000411	Erica M. Frank	V-47	0.9	39.44	Virginia	Giles	37.25	-80.566667	outside_boundary_exact	Virginia, Montgomery County	Sinking Creek, Route 460, near Maybrook	https://lichenportal.org/portal/collections/individual/index.php?occid=1481690
