institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CINC	Thomson, J.W.	Alaska	Denali	679	outside_boundary_exact	Alaska, North Slope County	71.233333,-156.75	CINC-L-0001335	Vicinity of Imiksonn Lake, 6 miles south-west of Barrow Base	https://lichenportal.org/portal/collections/individual/index.php?occid=1808281
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	139.36	outside_boundary_first_word_match	Alaska, Hoonah-Angoon County	57.728056,-133.995	CINC-L-0000042	Sorefinger Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1806990
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	139.36	outside_boundary_first_word_match	Alaska, Hoonah-Angoon County	57.728056,-133.995	CINC-L-0002509	Sorefinger Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810523
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	88.69	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.915161,-134.3167	CINC-L-0002457	Egg Harbor	https://lichenportal.org/portal/collections/individual/index.php?occid=1810471
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	88.69	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.915161,-134.3167	CINC-L-0002471	Egg Harbor	https://lichenportal.org/portal/collections/individual/index.php?occid=1810485
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	88.69	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.915161,-134.3167	CINC-L-0003564	Egg Harbor	https://lichenportal.org/portal/collections/individual/index.php?occid=1811212
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	88.69	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.915161,-134.3167	CINC-L-0005885	Egg Harbor	https://lichenportal.org/portal/collections/individual/index.php?occid=1813991
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0000478	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1807425
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0000817	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1807511
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0000580	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1807655
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0001410	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1808356
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0001452	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1808398
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0001567	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1809581
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002244	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810258
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002319	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810333
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002429	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810443
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002433	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810447
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002454	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810468
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002463	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810477
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002482	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810496
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0002485	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1810499
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0005828	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1813988
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0005340	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1814213
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0005759	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1814284
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0005262	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1814845
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0004779	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1815012
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0004969	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1815087
CINC	Eyerdam, W.J.	Alaska	Wrangell Petersburg	87.28	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.721111,-134.365833	CINC-L-0006086	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1815789
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	86.07	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.879444,-134.246111	CINC-L-0002464	Coronation Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1810478
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	86.07	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	55.879444,-134.246111	CINC-L-0002958	Coronation Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1810972
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	68.58	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.167792,-134.166695	CINC-L-0000036	Kell Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1806984
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	68.58	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.167792,-134.166695	CINC-L-0000477	Kell Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1807424
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	68.58	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.167792,-134.166695	CINC-L-0000480	Kell Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1807427
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	68.05	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.556264,-134.154794	CINC-L-0001853	Kuiu Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1809867
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	67.8	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.160718,-134.150902	CINC-L-0000826	Kell Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1807520
CINC	Foslin, A.S.	Alaska	Wrangell Petersburg	36.45	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.088333,-133.559722	CINC-L-0000816	Shipley Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1807510
CINC	Foster, A.S.	Alaska	Wrangell Petersburg	36.45	outside_boundary_first_word_match	Alaska, Prince of Wales-Hyder County	56.088333,-133.559722	CINC-L-0002268	Shipley Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1810282
