institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0000487	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807434
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0000488	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807435
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0000819	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807513
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0000873	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807567
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0000985	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807931
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0002090	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810104
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0002091	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810105
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0002422	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810436
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0003683	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1811331
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0005450	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814519
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0004798	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814851
CINC	Cooke, William Bridge	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	CINC-L-0004833	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814959
