occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1811114	CINC	s.c.	Washington	Grays Harbor	1.72	outside_boundary_exact	CINC-L-0003100	47.5333,-123.5333	Washington, Jefferson County	Wynoochee	https://lichenportal.org/portal/collections/individual/index.php?occid=1811114
1808294	CINC	Braun, E. Lucy	Washington	Pierce	1.28	outside_boundary_exact	CINC-L-0001348	46.755662,-121.779243	Washington, Lewis County	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1808294
1809492	CINC	Braun, E. Lucy	Washington	Pierce	1.28	outside_boundary_exact	CINC-L-0001478	46.755662,-121.779243	Washington, Lewis County	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1809492
1814938	CINC	Grant, J.M.	Washington	Yakima	0.52	outside_boundary_exact	CINC-L-0004962	46.9833,-121.0833	Washington, Kittitas County	Upper Naches River Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814938
1808011	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001065	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808011
1808042	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001096	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1808042
1808203	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001257	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808203
1808411	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001465	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808411
1809508	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001494	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1809508
1809705	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001691	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809705
1809744	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0001730	47.335401,-120.578966	Washington, Kittitas County	Cascade Mountains, Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809744
1810433	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0002419	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1810433
1814014	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0005821	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814014
1814170	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0005827	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814170
1814507	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0005611	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814507
1815072	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0004936	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1815072
1815655	CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	CINC-L-0006217	47.335401,-120.578966	Washington, Kittitas County	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1815655
