institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CINC	s.c.	Washington	Grays Harbor	1.72	outside_boundary_exact	Washington, Jefferson County	47.5333,-123.5333	CINC-L-0003100	Wynoochee	https://lichenportal.org/portal/collections/individual/index.php?occid=1811114
CINC	Braun, E. Lucy	Washington	Pierce	1.28	outside_boundary_exact	Washington, Lewis County	46.755662,-121.779243	CINC-L-0001348	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1808294
CINC	Braun, E. Lucy	Washington	Pierce	1.28	outside_boundary_exact	Washington, Lewis County	46.755662,-121.779243	CINC-L-0001478	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1809492
CINC	Grant, J.M.	Washington	Yakima	0.52	outside_boundary_exact	Washington, Kittitas County	46.9833,-121.0833	CINC-L-0004962	Upper Naches River Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814938
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001065	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808011
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001096	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1808042
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001257	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808203
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001465	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808411
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001494	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1809508
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001691	Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809705
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0001730	Cascade Mountains, Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809744
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0002419	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1810433
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0005821	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814014
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0005827	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814170
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0005611	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814507
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0004936	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1815072
CINC	Grant, J.M.	Washington	Chelan	0.05	outside_boundary_exact	Washington, Kittitas County	47.335401,-120.578966	CINC-L-0006217	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1815655
