id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1807434	CINC	CINC-L-0000487	Cooke, William Bridge	19256	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807434
1807435	CINC	CINC-L-0000488	Cooke, William Bridge	25072	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807435
1807513	CINC	CINC-L-0000819	Cooke, William Bridge	22918	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807513
1807567	CINC	CINC-L-0000873	Cooke, William Bridge	32920	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807567
1807931	CINC	CINC-L-0000985	Cooke, William Bridge	23312	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1807931
1810104	CINC	CINC-L-0002090	Cooke, William Bridge	24934	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810104
1810105	CINC	CINC-L-0002091	Cooke, William Bridge	19253	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810105
1810436	CINC	CINC-L-0002422	Cooke, William Bridge	22911	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1810436
1811331	CINC	CINC-L-0003683	Cooke, William Bridge	25072A	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1811331
1814519	CINC	CINC-L-0005450	Cooke, William Bridge	25076	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814519
1814851	CINC	CINC-L-0004798	Cooke, William Bridge	19251	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814851
1814959	CINC	CINC-L-0004833	Cooke, William Bridge	22959	0.02	78.24	Idaho	Nez Perce	46.499877	-116.381744	outside_boundary_exact	Idaho, Clearwater County	Clearwater Canyon, 4-8 miles east of Lenore on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=1814959
