id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1811114	CINC	CINC-L-0003100	s.c.	s.n.	1.72	Washington	Grays Harbor	47.5333	-123.5333	outside_boundary_exact	Washington, Jefferson County	Wynoochee	https://lichenportal.org/portal/collections/individual/index.php?occid=1811114
1808294	CINC	CINC-L-0001348	Braun, E. Lucy	s.n.	1.28	Washington	Pierce	46.755662	-121.779243	outside_boundary_exact	Washington, Lewis County	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1808294
1809492	CINC	CINC-L-0001478	Braun, E. Lucy	s.n.	1.28	Washington	Pierce	46.755662	-121.779243	outside_boundary_exact	Washington, Lewis County	Eagle Peak Mountain, Mt. Rainer National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1809492
1814938	CINC	CINC-L-0004962	Grant, J.M.	s.n.	0.52	Washington	Yakima	46.9833	-121.0833	outside_boundary_exact	Washington, Kittitas County	Upper Naches River Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814938
1808011	CINC	CINC-L-0001065	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808011
1808042	CINC	CINC-L-0001096	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1808042
1808203	CINC	CINC-L-0001257	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808203
1808411	CINC	CINC-L-0001465	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1808411
1809508	CINC	CINC-L-0001494	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1809508
1809705	CINC	CINC-L-0001691	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809705
1809744	CINC	CINC-L-0001730	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Cascade Mountains, Blewett Pass Region	https://lichenportal.org/portal/collections/individual/index.php?occid=1809744
1810433	CINC	CINC-L-0002419	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1810433
1814014	CINC	CINC-L-0005821	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814014
1814170	CINC	CINC-L-0005827	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814170
1814507	CINC	CINC-L-0005611	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1814507
1815072	CINC	CINC-L-0004936	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass Region, Cascade Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1815072
1815655	CINC	CINC-L-0006217	Grant, J.M.	s.n.	0.05	Washington	Chelan	47.335401	-120.578966	outside_boundary_exact	Washington, Kittitas County	Blewett Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1815655
