id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5620970	CLEMS	69435	Ciegler, Alex	13911	3206.21	South Carolina	Pickens	65.048717	-82.813683	outside_boundary_exact	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5620970
5643134	CLEMS	66668	Ciegler, Alex	14524	1074.7	South Carolina	Lexington	23.933333	-81.033333	outside_boundary_exact	not_found_in_US	Congaree Creek Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=5643134
5692543	CLEMS	64338	Ciegler, Alex	14523	1074.7	South Carolina	Lexington	23.933333	-81.033333	outside_boundary_exact	not_found_in_US	Congaree Creek Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=5692543
5692544	CLEMS	64339	Ciegler, Alex	14522	1074.7	South Carolina	Lexington	23.933333	-81.033333	outside_boundary_exact	not_found_in_US	Congaree Creek Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=5692544
5621196	CLEMS	62693	Ciegler, Alex	21293	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5621196
5621286	CLEMS	62632	Ciegler, Alex	21304	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5621286
5621411	CLEMS	61959	Ciegler, Alex	21299	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5621411
5621811	CLEMS	69286	Ciegler, Alex	21295	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5621811
5631062	CLEMS	62361	Ciegler, Alex	21297	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5631062
5639851	CLEMS	66524	Ciegler, Alex	21284	50.64	South Carolina	Charleston	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Sandy Island	https://lichenportal.org/portal/collections/individual/index.php?occid=5639851
5621080	CLEMS	63280	Ciegler, Alex	11993	11.74	South Carolina	Marion	33.602467	-79.153083	outside_boundary_exact	South Carolina, Georgetown County	Vacinity of Marion, 9 Km SW	https://lichenportal.org/portal/collections/individual/index.php?occid=5621080
5620858	CLEMS	62413	Ciegler, Alex	21366	11.64	South Carolina	Dillon	34.372883	-79.731633	outside_boundary_exact	South Carolina, Darlington County	Greater PeeDee Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=5620858
6014440	CLEMS	66974	Ciegler, Alex	21361	11.64	South Carolina	Dillon	34.372883	-79.731633	outside_boundary_exact	South Carolina, Darlington County	Greater PeeDee Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=6014440
6014446	CLEMS	66986	Ciegler, Alex	21360	11.64	South Carolina	Dillon	34.372883	-79.731633	outside_boundary_exact	South Carolina, Darlington County	Greater PeeDee Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=6014446
6014455	CLEMS	67030	Ciegler, Alex	21357	11.64	South Carolina	Dillon	34.372883	-79.731633	outside_boundary_exact	South Carolina, Darlington County	Greater PeeDee Heritage Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=6014455
