id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
6018303	CLEMS	65951	Ciegler, Alex	NA	11801.15	11874.23	Wisconsin	Polk	45.345883	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park (Wisconsin)	https://lichenportal.org/portal/collections/individual/index.php?occid=6018303
5492648	CLEMS	66308	Ciegler, Alex	22507	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5492648
5492715	CLEMS	66377	Ciegler, Alex	22496	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park (Wisconsin)	https://lichenportal.org/portal/collections/individual/index.php?occid=5492715
5858174	CLEMS	62499	Ciegler, Alex	22495	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5858174
5995329	CLEMS	63320	Ciegler, Alex	22498	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5995329
5995332	CLEMS	63323	Ciegler, Alex	22562	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5995332
6001226	CLEMS	63229	Ciegler, Alex	22519	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6001226
6001285	CLEMS	68830	Ciegler, Alex	22564	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6001285
6001892	CLEMS	66500	Ciegler, Alex	22506	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6001892
6002248	CLEMS	68139	Ciegler, Alex	22515	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6002248
6014449	CLEMS	66992	Ciegler, Alex	22505	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6014449
6015149	CLEMS	67187	Ciegler, Alex	22501	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6015149
6015510	CLEMS	67566	Ciegler, Alex	22504	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=6015510
6018296	CLEMS	65943	Ciegler, Alex	NA	11796.76	11869.83	Wisconsin	Polk	45.395583	92.6439	outside_boundary_exact	not_found_in_US	Interstate Park (Wisconsin)	https://lichenportal.org/portal/collections/individual/index.php?occid=6018296
5999612	CLEMS	62006	Ciegler, Alex	20406	65.72	135.08	Wisconsin	Juneau	43.05345	-90.16215	outside_boundary_exact	Wisconsin, Iowa County	Necedah Wildlife Reguge	https://lichenportal.org/portal/collections/individual/index.php?occid=5999612
