institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Leon Co. (FL)	1911.33	outside_boundary_reverse_partial	not_found_in_US	47.8,-84.9	CANL 118795	Katherine Cove. Hwy 17, coastal trail to N.	https://lichenportal.org/portal/collections/individual/index.php?occid=454527
CMN	Brodo, Irwin M.	Florida	Marion Co. (FL)	1033.37	outside_boundary_reverse_partial	not_found_in_US	19.4861,-81.6167	CANL 116075	Ocala National Forest. Along Florida Hwy 40 ca. 2 miles E of Florida Hwy 19.	https://lichenportal.org/portal/collections/individual/index.php?occid=452096
CMN	Brodo, Irwin M.	Florida	Liberty Co. (FL)	293.67	outside_boundary_reverse_partial	Florida, Marion County	29.2167,-81.65	CANL 119365	Ocala National Forest. On State Road 19 at Jupiter Creek Bridge, wayside.	https://lichenportal.org/portal/collections/individual/index.php?occid=454866
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Highlands Co.	172.87	outside_boundary_exact	Florida, Marion County	29.2,-81.7667	CANL 118433	Highlands Hammock State Park. W of Sebring. Road 634 W of US 27. Trail from museum to Wild Orange Grove.	https://lichenportal.org/portal/collections/individual/index.php?occid=454183
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Highlands Co.	172.87	outside_boundary_exact	Florida, Marion County	29.2,-81.7667	CANL 123612	Highlands Hammock State Park, W of sebring, rd 634 W of Us 27, Ancient Hammock Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=3327944
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Highlands Co.	172.87	outside_boundary_exact	Florida, Marion County	29.2,-81.7667	CANL 116810	Highlands Hammock State Park, W of Sebring, Road 634 W of US 27, Ancient Hammock Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=452815
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Highlands Co.	172.87	outside_boundary_exact	Florida, Marion County	29.2,-81.7667	CANL 115940	Highlands Hammock State Park, W of Sebring, Road 634 W of US 27, Ancient Hammock Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=451963
CMN	Brodo, Irwin M.	Florida	Seminole Co. (FL)	100.75	outside_boundary_reverse_partial	Florida, Polk County	27.7,-81.1667	CANL 128986	Orlando, on campus of Florida Technological University.	https://lichenportal.org/portal/collections/individual/index.php?occid=3320661
CMN	Brodo, Irwin M.	Florida	Seminole Co. (FL)	100.75	outside_boundary_reverse_partial	Florida, Polk County	27.7,-81.1667	CANL 123466	Orlando, on campus of Florida Technological University.	https://lichenportal.org/portal/collections/individual/index.php?occid=3332169
CMN	Brodo, Irwin M.	Florida	Marion Co. (FL)	74.82	outside_boundary_reverse_partial	Florida, Polk County	28.2833,-81.85	CANL 123779	Ocala National Forest. Along County Rd. 314 at Forest Service Rd 67 ca. 3.5 mi. E of Cedar Creek (Scrambletown).	https://lichenportal.org/portal/collections/individual/index.php?occid=3323320
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Liberty Co. (FL)	68.79	outside_boundary_reverse_partial	not_found_in_US	30.05,-85.8667	CANL 115942	Apalachicola National Forest, small Taxodium swamp, FL 379, 2.7 miles nw of Sumatra	https://lichenportal.org/portal/collections/individual/index.php?occid=3326372
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Liberty Co. (FL)	68.79	outside_boundary_reverse_partial	not_found_in_US	30.05,-85.8667	CANL 116809	Apalachicola National Forest, small Taxodium swamp, FL 379, 2.7 miles nw of Sumatra	https://lichenportal.org/portal/collections/individual/index.php?occid=452814
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Liberty Co. (FL)	68.79	outside_boundary_reverse_partial	not_found_in_US	30.05,-85.8667	CANL 118685	Apalachicola National Forest, small Taxodium swamp. FL 379, 2.7 miles NW of Sumatra.	https://lichenportal.org/portal/collections/individual/index.php?occid=3330235
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Liberty Co. (FL)	50.36	outside_boundary_reverse_partial	Florida, Bay County	30.1833,-85.6667	CANL 116971	Apalachicola National Forest, along Ocklochonee River, Forest Highway 13, 21.5 miles E of Wilma	https://lichenportal.org/portal/collections/individual/index.php?occid=452969
CMN	Brodo, Irwin M.	Florida	Leon Co. (FL)	12.99	outside_boundary_reverse_partial	Florida, Wakulla County	30.1833,-84.6333	CANL 123565	Appalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3327812
CMN	Brodo, Irwin M.	Florida	Leon Co. (FL)	12.99	outside_boundary_reverse_partial	Florida, Wakulla County	30.1833,-84.6333	CANL 123555	Appalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3328722
CMN	Brodo, Irwin M.	Florida	Seminole Co. (FL)	9.35	outside_boundary_reverse_partial	Florida, Orange County	28.5333,-81.3667	CANL 99857	Orlando, on campus of Florida Technological University.	https://lichenportal.org/portal/collections/individual/index.php?occid=3324652
CMN	Brodo, Irwin M.	Florida	Orange Co. (FL)	5.23	outside_boundary_reverse_partial	Florida, Osceola County	28.3,-81.55	CANL 123463	Ten miles SW of Orlando.	https://lichenportal.org/portal/collections/individual/index.php?occid=3327028
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Manatee Co.	4.07	outside_boundary_exact	Florida, Hillsborough County	27.6833,-82.3833	CANL 115284	Little Manatee River State Park, NE of Bradenton, off US 301, near picnic area	https://lichenportal.org/portal/collections/individual/index.php?occid=451313
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Manatee Co.	4.07	outside_boundary_exact	Florida, Hillsborough County	27.6833,-82.3833	CANL 115762	Little Manatee River State Park, NE of Bradenton, off US 301, between highway & entrance station	https://lichenportal.org/portal/collections/individual/index.php?occid=451782
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Florida	Manatee Co.	4.07	outside_boundary_exact	Florida, Hillsborough County	27.6833,-82.3833	CANL 115723	Little Manatee River State Park, NE of Bradenton, off US 301, between highway & entrance station	https://lichenportal.org/portal/collections/individual/index.php?occid=451742
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Sarasota Co.	2.73	outside_boundary_exact	Florida, Manatee County	27.2333,-82.1833	CANL 115644	Myakka River State Park, SE of Sarasota, off FL 72, in Oak Grove	https://lichenportal.org/portal/collections/individual/index.php?occid=451665
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Sarasota Co.	2.73	outside_boundary_exact	Florida, Manatee County	27.2333,-82.1833	CANL 117199	Myakka River State Park, SE of Sarasota, off FL 72, in Oak Grove	https://lichenportal.org/portal/collections/individual/index.php?occid=453193
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Sarasota Co.	2.73	outside_boundary_exact	Florida, Manatee County	27.2333,-82.1833	CANL 118679	Myakka River State Park. SE of Sarasota off FL 72 in Oak Glove.	https://lichenportal.org/portal/collections/individual/index.php?occid=454422
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Florida	Sarasota Co.	2.73	outside_boundary_exact	Florida, Manatee County	27.2333,-82.1833	CANL 117207	Myakka River State Park, SE of Sarasota, off FL 72, in Oak Grove	https://lichenportal.org/portal/collections/individual/index.php?occid=453201
