institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Co.)	201.98	outside_boundary_reverse_partial	Louisiana, Calcasieu County	30.1,-92.9	CANL 10021954	Red River Co. & Winn Co., Cloud Crossing, Kisatchie Nat. Forst, for Rd 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=5708681
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116164	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452184
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116929	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452927
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116196	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452216
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116730	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452736
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 117148	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=453142
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116729	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452735
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 115224	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451251
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 115519	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451542
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	Louisiana, Winn County	32.1,-92.9	CANL 116195	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452215
CMN	Tucker, Shirley C.	Louisiana	East Feliciana (Parish)	8.2	outside_boundary_reverse_partial	Louisiana, St. Helena County	30.8,-90.75	CANL 69447	East Feliciana Parish, Idlewood Experimental Farm, about 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3783846
CMN	Tucker, Shirley C.	Louisiana	East Feliciana (Parish)	8.2	outside_boundary_reverse_partial	Louisiana, St. Helena County	30.8,-90.75	CANL 69451	East Feliciana Parish, in pine forest on uplands, Idlewild Experimental farm, 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3444029
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Natchitoches (Parish)	3.44	outside_boundary_reverse_partial	Louisiana, Vernon County	31.3333,-93.1833	CANL 115758	Kisatchie National Forest, Old Bellwood cemetary, Junction of LA 117, Longleaf Trail Scenic Byway, behind Dogwood Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=451778
