id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5697717	CMN	CANL 10021939	Sharnoff, Sylvia D. | Sharnoff, Stephen	1013.01	864.96	Texas	Jeff Davis Co. (TX)	30.7	-114.03	outside_boundary_reverse_partial	not_found_in_US	McDonald Observatory, NW of Fort Davis, spur rd off TX 118, just below observatory buildings	https://lichenportal.org/portal/collections/individual/index.php?occid=5697717
3318546	CMN	CANL 22427	Brodo, Irwin M.	13259	198.58	Texas	Brazos Co.	28.5833	-95.7	outside_boundary_exact	not_found_in_US	On campus of Texas A&M University	https://lichenportal.org/portal/collections/individual/index.php?occid=3318546
3328990	CMN	CANL 27946	Tucker, Shirley C.	6611A	3.3	Texas	Bastrop Co.	30	-97.0333	outside_boundary_exact	Texas, Fayette County	Picnic area near Smithville (7 mi. east)	https://lichenportal.org/portal/collections/individual/index.php?occid=3328990
452183	CMN	CANL 116163	Sharnoff, Sylvia D. | Sharnoff, Stephen	1029.32	0.24	Texas	Travis Co.	30.45	-97.75	outside_boundary_exact	Texas, Williamson County	NW side of Austin, Johnston residence, 10412 Double Spur Loop, woods behind house	https://lichenportal.org/portal/collections/individual/index.php?occid=452183
454911	CMN	CANL 119412	Sharnoff, Stephen | Sharnoff, Sylvia D.	1016.33	0.17	Texas	Gillespie Co. (TX)	30.5	-98.9833	outside_boundary_reverse_partial	Texas, Mason County	Enchanted Rock State National Area, N of Fredericksburg. TX Farm Road 965 to west of Little Rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=454911
452200	CMN	CANL 116180	Sharnoff, Sylvia D. | Sharnoff, Stephen	1029.2	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston National Forest, W end of Lake Conroe, TX Farm road 1375, along road	https://lichenportal.org/portal/collections/individual/index.php?occid=452200
453005	CMN	CANL 117007	Sharnoff, Sylvia D. | Sharnoff, Stephen	1029.04	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston National Forest, W end of Lake Conroe, TX Farm road 1375, along road	https://lichenportal.org/portal/collections/individual/index.php?occid=453005
453265	CMN	CANL 117271	Sharnoff, Sylvia D. | Sharnoff, Stephen	1028.11	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston National Forest, W end of Lake Conroe, TX Farm road 1375, along road	https://lichenportal.org/portal/collections/individual/index.php?occid=453265
454042	CMN	CANL 118291	Sharnoff, Stephen | Sharnoff, Sylvia D.	1029.17	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston National Forest, W end of Lake Conroe. TX Farm Road 1375 along road.	https://lichenportal.org/portal/collections/individual/index.php?occid=454042
454081	CMN	CANL 118329	Sharnoff, Stephen | Sharnoff, Sylvia D.	1029.07	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston Nat. Forest. W end of Lake Conroe. TX Farm Road 1375 along road.	https://lichenportal.org/portal/collections/individual/index.php?occid=454081
454085	CMN	CANL 118333	Sharnoff, Stephen | Sharnoff, Sylvia D.	1029.23	0.16	Texas	Walker Co. (TX)	30.5167	-95.6167	outside_boundary_reverse_partial	Texas, Montgomery County	Sam Houston Nat. Forest. W end of Lake Conroe. TX Farm Road 1375 along road.	https://lichenportal.org/portal/collections/individual/index.php?occid=454085
451404	CMN	CANL 115374	Sharnoff, Sylvia D. | Sharnoff, Stephen	1014.06	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm road 965	https://lichenportal.org/portal/collections/individual/index.php?occid=451404
451912	CMN	CANL 115889	Sharnoff, Sylvia D. | Sharnoff, Stephen	1015.24	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm road 965, saddle between Turkey Pk & Enchanted Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=451912
451914	CMN	CANL 115891	Sharnoff, Sylvia D. | Sharnoff, Stephen	1018.1	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm road 965, saddle between Turkey Pk & Enchanted Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=451914
451991	CMN	CANL 115971	Sharnoff, Sylvia D. | Sharnoff, Stephen	1019.03	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm road 965, N side of Buzzard\\'\\'s Roost	https://lichenportal.org/portal/collections/individual/index.php?occid=451991
452025	CMN	CANL 116005	Sharnoff, Sylvia D. | Sharnoff, Stephen	1018.18	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm road 965, saddle between Turkey Pk & Enchanted Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=452025
452443	CMN	CANL 116424	Sharnoff, Sylvia D. | Sharnoff, Stephen	1020.15	0.1	Texas	Gillespie Co. (TX)	30.5	-98.8333	outside_boundary_reverse_partial	Texas, Llano County	Enchanted Rock State National Area, N of Fredericksburg, TX Farm Road 965, between maintainance yard & domes, near river	https://lichenportal.org/portal/collections/individual/index.php?occid=452443
