id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5708681	CMN	CANL 10021954	Sharnoff, Sylvia D. | Sharnoff, Stephen	1040.35	201.98	247.28	Louisiana	Red River (Co.)	30.1	-92.9	outside_boundary_reverse_partial	Louisiana, Calcasieu County	Red River Co. & Winn Co., Cloud Crossing, Kisatchie Nat. Forst, for Rd 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=5708681
451251	CMN	CANL 115224	Sharnoff, Sylvia D. | Sharnoff, Stephen	1040.19	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451251
451542	CMN	CANL 115519	Sharnoff, Sylvia D. | Sharnoff, Stephen	1040.29	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451542
452184	CMN	CANL 116164	Sharnoff, Sylvia D. | Sharnoff, Stephen	1041.01	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452184
452215	CMN	CANL 116195	Sharnoff, Sylvia D. | Sharnoff, Stephen	1039.22	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452215
452216	CMN	CANL 116196	Sharnoff, Sylvia D. | Sharnoff, Stephen	1041.3	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452216
452735	CMN	CANL 116729	Sharnoff, Sylvia D. | Sharnoff, Stephen	1039.16	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452735
452736	CMN	CANL 116730	Sharnoff, Sylvia D. | Sharnoff, Stephen	1040.1	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452736
452927	CMN	CANL 116929	Sharnoff, Sylvia D. | Sharnoff, Stephen	1041.13	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452927
453142	CMN	CANL 117148	Sharnoff, Sylvia D. | Sharnoff, Stephen	1039.05	22.71	68.8	Louisiana	Red River (Parish)	32.1	-92.9	outside_boundary_reverse_partial	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=453142
3444029	CMN	CANL 69451	Tucker, Shirley C.	18423	8.2	55.92	Louisiana	East Feliciana (Parish)	30.8	-90.75	outside_boundary_reverse_partial	Louisiana, St. Helena County	East Feliciana Parish, in pine forest on uplands, Idlewild Experimental farm, 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3444029
3783846	CMN	CANL 69447	Tucker, Shirley C.	18431	8.2	55.92	Louisiana	East Feliciana (Parish)	30.8	-90.75	outside_boundary_reverse_partial	Louisiana, St. Helena County	East Feliciana Parish, Idlewood Experimental Farm, about 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3783846
451778	CMN	CANL 115758	Sharnoff, Sylvia D. | Sharnoff, Stephen	1040.04	3.44	93.6	Louisiana	Natchitoches (Parish)	31.3333	-93.1833	outside_boundary_reverse_partial	Louisiana, Vernon County	Kisatchie National Forest, Old Bellwood cemetary, Junction of LA 117, Longleaf Trail Scenic Byway, behind Dogwood Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=451778
