id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
451607	CMN	CANL 115585	Sharnoff, Stephen | Sharnoff, Sylvia D.	1530.33	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451607
451697	CMN	CANL 115676	Sharnoff, Stephen | Sharnoff, Sylvia D.	1531.04	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451697
451747	CMN	CANL 115728	Sharnoff, Stephen | Sharnoff, Sylvia D.	1533.28	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451747
451748	CMN	CANL 115729	Sharnoff, Stephen | Sharnoff, Sylvia D.	1534.17	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451748
452087	CMN	CANL 116065	Sharnoff, Stephen | Sharnoff, Sylvia D.	1534.28	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452087
452436	CMN	CANL 116417	Sharnoff, Stephen | Sharnoff, Sylvia D.	1529.28	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452436
452564	CMN	CANL 116545	Sharnoff, Stephen | Sharnoff, Sylvia D.	1529.23	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452564
452812	CMN	CANL 116807	Sharnoff, Stephen | Sharnoff, Sylvia D.	1531.16	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452812
453469	CMN	CANL 117479	Sharnoff, Stephen | Sharnoff, Sylvia D.	1529.31	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=453469
454153	CMN	CANL 118403	Sharnoff, Stephen | Sharnoff, Sylvia D.	1531.03	2.35	Tennessee	Carter Co. (TN)	36.0833	-82.1333	outside_boundary_reverse_partial	North Carolina, Mitchell County	Roan Mountain. S of Elizabethton off TN 143. Round Bald.	https://lichenportal.org/portal/collections/individual/index.php?occid=454153
