id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
450562	CMN	CANL 113723	Hammer, S.	6080	47.17	108.24	Vermont	Windham Co. (VT)	43.3333	-73.5	outside_boundary_reverse_partial	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450562
450575	CMN	CANL 113737	Hammer, S.	6082	47.17	108.24	Vermont	Windham Co. (VT)	43.3333	-73.5	outside_boundary_reverse_partial	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450575
450582	CMN	CANL 113745	Hammer, S.	6085	47.17	108.24	Vermont	Windham Co. (VT)	43.3333	-73.5	outside_boundary_reverse_partial	New York, Washington County	Immediately south of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450582
450593	CMN	CANL 113756	Hammer, S.	6087	47.17	108.24	Vermont	Windham Co. (VT)	43.3333	-73.5	outside_boundary_reverse_partial	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450593
450558	CMN	CANL 113719	Hammer, S.	6035	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450558
450561	CMN	CANL 113722	Hammer, S.	6032	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450561
450565	CMN	CANL 113726	Hammer, S.	6033	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450565
450569	CMN	CANL 113730	Hammer, S.	6017	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450569
450572	CMN	CANL 113734	Hammer, S.	6026	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450572
450576	CMN	CANL 113739	Hammer, S.	6031	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450576
450578	CMN	CANL 113741	Hammer, S.	6027	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450578
450583	CMN	CANL 113746	Hammer, S.	6094	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	5 mi. E. of Arlington	https://lichenportal.org/portal/collections/individual/index.php?occid=450583
450584	CMN	CANL 113747	Hammer, S.	6024	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450584
450585	CMN	CANL 113748	Hammer, S.	6011	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450585
450586	CMN	CANL 113749	Hammer, S.	6016	0.33	40.74	Vermont	Bennington Co.	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450586
