id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3322546	CMN	CANL 123607	Sharnoff, Sylvia D. | Sharnoff, Stephen	1519.09	28.45	74.11	Virginia	Page Co. (VA)	38.2167	-78.7333	outside_boundary_reverse_partial	Virginia, Albemarle County	Blackrock Summit Trail, off Skyline Drive.	https://lichenportal.org/portal/collections/individual/index.php?occid=3322546
452482	CMN	CANL 116461	Sharnoff, Sylvia D. | Sharnoff, Stephen	1525.2	8.98	64.03	Virginia	Floyd Co. (VA)	36.65	-80.5333	outside_boundary_reverse_partial	Virginia, Carroll County	Blue Ridge Parkway, Groundhog Mountain Picnic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=452482
452933	CMN	CANL 116935	Sharnoff, Sylvia D. | Sharnoff, Stephen	1524.32	8.98	64.03	Virginia	Floyd Co. (VA)	36.65	-80.5333	outside_boundary_reverse_partial	Virginia, Carroll County	Blue Ridge Parkway, Groundhog Mountain Picnic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=452933
452985	CMN	CANL 116987	Sharnoff, Sylvia D. | Sharnoff, Stephen	1525.16	8.98	64.03	Virginia	Floyd Co. (VA)	36.65	-80.5333	outside_boundary_reverse_partial	Virginia, Carroll County	Blue Ridge Parkway, Groundhog Mountain Picnic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=452985
454297	CMN	CANL 118554	Sharnoff, Stephen | Sharnoff, Sylvia D.	1524.35	8.98	64.03	Virginia	Floyd Co. (VA)	36.65	-80.5333	outside_boundary_reverse_partial	Virginia, Carroll County	Blue Ridge Parkway. Groundhog Mtn. Picnic Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=454297
457209	CMN	CANL 21780	Brodo, Irwin M.	9435B	1.22	28.81	Virginia	Page Co. (VA)	38.5667	-78.3667	outside_boundary_reverse_partial	Virginia, Madison County	Shenandoah National Park, near Crescent Rock overlook.	https://lichenportal.org/portal/collections/individual/index.php?occid=457209
3784567	CMN	CANL 21918	Brodo, Irwin M.	9477	1.22	28.81	Virginia	Page Co. (VA)	38.5667	-78.3667	outside_boundary_reverse_partial	Virginia, Madison County	Shenandoah National Park, near Cresent Rock overlook.	https://lichenportal.org/portal/collections/individual/index.php?occid=3784567
451196	CMN	CANL 115166	Sharnoff, Sylvia D. | Sharnoff, Stephen	1515.34	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=451196
452207	CMN	CANL 116187	Sharnoff, Sylvia D. | Sharnoff, Stephen	1515.13	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=452207
452236	CMN	CANL 116216	Sharnoff, Sylvia D. | Sharnoff, Stephen	1516.04	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=452236
452383	CMN	CANL 116366	Sharnoff, Sylvia D. | Sharnoff, Stephen	1514.34	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=452383
452931	CMN	CANL 116933	Sharnoff, Sylvia D. | Sharnoff, Stephen	1514.22	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=452931
453184	CMN	CANL 117190	Sharnoff, Sylvia D. | Sharnoff, Stephen	1514.28	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=453184
453331	CMN	CANL 117336	Sharnoff, Sylvia D. | Sharnoff, Stephen	1514.19	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=453331
453556	CMN	CANL 117568	Sharnoff, Sylvia D. | Sharnoff, Stephen	1515.21	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=453556
453562	CMN	CANL 117573	Sharnoff, Sylvia D. | Sharnoff, Stephen	1514.31	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=453562
454025	CMN	CANL 118274	Sharnoff, Stephen | Sharnoff, Sylvia D.	1516.20	0.1	27.44	Virginia	Greene Co. (VA)	38.3167	-78.6	outside_boundary_reverse_partial	Virginia, Rockingham County	Shenandoah National Park, N of Loft Mountain, Skyline Drive, just N of Eaton Overlook.	https://lichenportal.org/portal/collections/individual/index.php?occid=454025
