institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COLO	R.D. Worthington	Texas	Jeff Davis	278.12	outside_boundary_exact	New Mexico, Chaves County	33.6,-104.1	COLO-L-0006447	Davis Mountains, Davis Mountains Resort, RV park at headquarters	https://lichenportal.org/portal/collections/individual/index.php?occid=1608304
COLO	R. D. Worthington	Texas	Jeff Davis	278.12	outside_boundary_exact	New Mexico, Chaves County	33.6,-104.1	COLO-L-0024905	Davis Mts., Davis Mts. Resort RV park, at headquarters	https://lichenportal.org/portal/collections/individual/index.php?occid=1681812
COLO	R. D. Worthington	Texas	Jeff Davis	278.12	outside_boundary_exact	New Mexico, Chaves County	33.6,-104.1	COLO-L-0025195	Davis Mts., Davis Mts. Resort RV park, at headquarters	https://lichenportal.org/portal/collections/individual/index.php?occid=1682041
COLO	Irwin M. Brodo	Texas	Brazos	198.57	outside_boundary_exact	not_found_in_US	28.583333,-95.7	COLO-L-0038775	College Station, campus of Texas A&M University	https://lichenportal.org/portal/collections/individual/index.php?occid=1717943
COLO	I.M. Brodo	Texas	Brazos	198.57	outside_boundary_exact	not_found_in_US	28.583333,-95.7	COLO-L-0047456	College Station, campus of Texas A&M University	https://lichenportal.org/portal/collections/individual/index.php?occid=1733628
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0001166	north end of Quitman Mountains at roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1580284
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0007654	north end of Quitman Mountains at roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1617049
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0018326	north end of Quitman Mountains at roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1640176
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0033936	north end of Quitman Mountains at roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1706087
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0047646	north end of Quirman Mountains, roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1736136
COLO	R.D. Worthington	Texas	Hudspeth	66.68	outside_boundary_exact	not_found_in_US	30.213889,-105.491667	COLO-L-0048131	north end of Quitman Mountains at roadside park along I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1736646
COLO	T.A. McGoldrick	Texas	Hudspeth	48.62	outside_boundary_exact	not_found_in_US	30.746667,-105.981389	COLO-L-0006541	Indio Mountains, Indio Ranch, sandstone outcrop 1	https://lichenportal.org/portal/collections/individual/index.php?occid=1608419
COLO	R.D. Worthington	Texas	Presidio	46.41	outside_boundary_exact	not_found_in_US	29.483333,-104.966667	COLO-L-0004773	1 mile northwest of Sauceda Ranch headquarters (Big Bend Ranch State Natural Area)	https://lichenportal.org/portal/collections/individual/index.php?occid=1606705
COLO	R.D. Worthington	Texas	Presidio	46.41	outside_boundary_exact	not_found_in_US	29.483333,-104.966667	COLO-L-0006763	1 miles northwest of Sauceda Ranch headquarters	https://lichenportal.org/portal/collections/individual/index.php?occid=1616172
COLO	R.D. Worthington	Texas	Presidio	46.41	outside_boundary_exact	not_found_in_US	29.483333,-104.966667	COLO-L-0015383	1 mile northwest of Sauceda Ranch headquarters (Big Bend Ranch State Natural Area)	https://lichenportal.org/portal/collections/individual/index.php?occid=1632380
COLO	H.T. Shacklette	Texas	Bastrop	4.51	outside_boundary_exact	Texas, Caldwell County	29.983333,-97.616667	COLO-L-0046446	State Route 21, 6 miles west of Cedar Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1732639
COLO	R.D. Worthington	Texas	Presidio	0.52	outside_boundary_exact	Texas, Brewster County	29.502778,-103.7875	COLO-L-0005868	The Solitario, north side of The Solitario	https://lichenportal.org/portal/collections/individual/index.php?occid=1607754
COLO	Thomas H. Nash III	Texas	Hidalgo	0.23	outside_boundary_exact	Texas, Hidalgo County	26.0666667,-98.1333333	COLO-L-0038787	Santa Ana Wildlife Refuge on Rio Grande, S of McAllen	https://lichenportal.org/portal/collections/individual/index.php?occid=1717955
COLO	R.D. Worthington	Texas	Cluberson	NA	county_not_matched_no_match	county_not_matched	31.911111,-104.797222	COLO-L-0006352	Guadalupe Mountains, Manzanita Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=1608209
COLO	R.D. Worthington	Texas	Cluberson	NA	county_not_matched_no_match	county_not_matched	31.707778,-104.780556	COLO-L-0006371	Delaware Mountains, generally 6-7 air miles southeast from junction US 62-180 with TX 54	https://lichenportal.org/portal/collections/individual/index.php?occid=1608228
COLO	R.D. Worthington	Texas	Presidio-Brewster	NA	county_not_matched_no_match	county_not_matched	29.483333,-104.966667	COLO-L-0007666	1 mile northwest of Sauceda Ranch headquarters (Big Bend Ranch State Natural Area)	https://lichenportal.org/portal/collections/individual/index.php?occid=1617059
COLO	R.D. Worthington	Texas	Prisidio	NA	county_not_matched_no_match	county_not_matched	29.5,-103.792222	COLO-L-0014569	The Solitaro, 2.5 air miles east-northeast of the top of Solitaro Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1633572
