institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COLO	D.L. Dutton	Vermont	Rutland	15.55	outside_boundary_exact	Vermont, Windsor County	43.7833333,-72.5666667	COLO-L-0010339	Brandon	https://lichenportal.org/portal/collections/individual/index.php?occid=1624148
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0008788	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1618053
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0009431	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1622963
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0010404	Green Mountain National Forest, Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1624219
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0011166	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1626659
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0011569	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1627005
COLO	Sam Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0011562	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1627068
COLO	Sam Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0011902	8 km E of Arlington	https://lichenportal.org/portal/collections/individual/index.php?occid=1627318
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012666	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1627573
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012076	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1627633
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012094	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1627642
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012349	Green Mountain National Forest, Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628012
COLO	Samuel Hammer	Vermont	Beninngton	0.33	outside_boundary_similarity_1	Vermont, Windham County	43,-73	COLO-L-0012512	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628154
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012748	Green Mountain National Forest, Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628192
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012754	Green Mountain National Forest, Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628198
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0012995	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628438
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0013007	Green Mountain National Forest, Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628450
COLO	Samuel Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0013160	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628602
COLO	Sam Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	COLO-L-0013166	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1628608
