id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5995514	COLO	COLO-L-0107602	Ryan	27009	8556.78	8810.97	Arizona	Apache	33.916667	-9.516667	outside_boundary_exact	not_found_in_US	Apache National Forest, Mt. Baldy Wilderness area, trail for Phelp's cabin along East Form of the Little Colorado River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5995514
1713720	COLO	COLO-L-0037531	T.H. Nash III	21155	325.31	450.01	Arizona	Pima	35.425	-110.758333	outside_boundary_exact	Arizona, Coconino County	Santa Catalina Mountains, along Sabino Creek below Marshall Gulch picnic grounds	https://lichenportal.org/portal/collections/individual/index.php?occid=1713720
1587748	COLO	COLO-L-0003679	Thomas H. Nash III	7020	184.86	321.82	Arizona	Cochise	34.0833333	-109.4166667	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, South Fork, campground trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1587748
1706313	COLO	COLO-L-0034164	Thomas H. Nash III	7019	184.86	321.82	Arizona	Cochise	34.0833333	-109.4166667	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, South Fork, campground trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1706313
1720041	COLO	COLO-L-0040653	Thomas H. Nash III	7011	184.86	321.82	Arizona	Cochise	34.0833333	-109.4166667	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, South Fork, campground trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1720041
1688590	COLO	COLO-L-0029360	Thomas H. Nash III	32000	160.79	304.29	Arizona	Cochise	33.866667	-109.25	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, Coronado National Forest, between Herb Martyr Dam and Winn Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1688590
1736528	COLO	COLO-L-0048013	T.H. Nash	9139	139	530.69	Arizona	Apache	32.2833333	-109.3333333	outside_boundary_exact	Arizona, Cochise County	15 mi. W of New Mexico line along I-40	https://lichenportal.org/portal/collections/individual/index.php?occid=1736528
1574445	COLO	COLO-L-0000710	Thomas H. Nash III	6207	63.96	214.21	Arizona	Yuma	33.95	-113.55	outside_boundary_exact	Arizona, La Paz County	Cunningham Pass, Harcuvar Mountains, 16 km N of Wenden	https://lichenportal.org/portal/collections/individual/index.php?occid=1574445
1736287	COLO	COLO-L-0047798	T.H. Nash	6224	63.96	214.21	Arizona	Yuma	33.95	-113.55	outside_boundary_exact	Arizona, La Paz County	Harcuvar Mountains, 10 mi N of Wenden	https://lichenportal.org/portal/collections/individual/index.php?occid=1736287
1705697	COLO	COLO-L-0033547	R. A. Darrow	4389	37.54	187.68	Arizona	Cochise	31.7	-110.85	outside_boundary_exact	Arizona, Santa Cruz County	Santa Rita Mtns.	https://lichenportal.org/portal/collections/individual/index.php?occid=1705697
