id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3435304	CSU	CSU-L-000154	S. Strawn	154	13366.02	Oklahoma	Latimer	35	95.34	outside_boundary_exact	not_found_in_US	RobbersCaveStPk	https://lichenportal.org/portal/collections/individual/index.php?occid=3435304
4922871	CSU	CSU-L-001391	S. Strawn	1391	206.32	Oklahoma	Carter	34.134234	-94.679443	outside_boundary_exact	Oklahoma, McCurtain County	Lake Murray State Park Group Camp #1 trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4922871
3435135	CSU	CSU-L-001223	S. Strawn	1223	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435135
3435140	CSU	CSU-L-001225	S. Strawn	1225	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435140
3435146	CSU	CSU-L-001233	S. Strawn	1233	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435146
3435153	CSU	CSU-L-001226	S. Strawn	1226	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435153
3435194	CSU	CSU-L-001224	S. Strawn	1224	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435194
3435215	CSU	CSU-L-001222	S. Strawn	1222	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435215
3435318	CSU	CSU-L-001220	S. Strawn	1220	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435318
3435351	CSU	CSU-L-001232	S. Strawn	1232	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435351
3435413	CSU	CSU-L-001221	S. Strawn	1221	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435413
3435414	CSU	CSU-L-001228	S. Strawn	1228	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435414
3435722	CSU	CSU-L-001227	S. Strawn	1227	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435722
3435786	CSU	CSU-L-001229	S. Strawn	1229	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435786
3435868	CSU	CSU-L-001230	S. Strawn	1230	107.74	Oklahoma	Sequoyah	36.60065	-95.03355	outside_boundary_exact	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435868
3434998	CSU	CSU-L-000656	S. Strawn	656	75.34	Oklahoma	Latimer	35	-96.34	outside_boundary_exact	Oklahoma, Hughes County	RobbersCaveCarltonGpCamp; 35 -96.34; 35 -96.34	https://lichenportal.org/portal/collections/individual/index.php?occid=3434998
3435679	CSU	CSU-L-000155	S. Strawn	155	75.34	Oklahoma	Latimer	35	-96.34	outside_boundary_exact	Oklahoma, Hughes County	RobbersCaveStPk	https://lichenportal.org/portal/collections/individual/index.php?occid=3435679
3435769	CSU	CSU-L-000622	S. Strawn	622	75.34	Oklahoma	Latimer	35	-96.34	outside_boundary_exact	Oklahoma, Hughes County	RobbersCaveEntrance/Trails	https://lichenportal.org/portal/collections/individual/index.php?occid=3435769
3439545	CSU	CSU-L-000658	S. Strawn	658	75.34	Oklahoma	Latimer	35	-96.34	outside_boundary_exact	Oklahoma, Hughes County	RobbersCaveCarltonGpCamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3439545
3435039	CSU	CSU-L-000966	S. Strawn	966	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435039
3435092	CSU	CSU-L-000968	S. Strawn	968	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435092
3435195	CSU	CSU-L-000970	S. Strawn	970	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435195
3435265	CSU	CSU-L-000716	S. Strawn	716	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435265
3435266	CSU	CSU-L-000954	S. Strawn	954	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435266
3435316	CSU	CSU-L-000963	S. Strawn	963	74.31	Oklahoma	Roger Mills	36.6667	-99.7506	outside_boundary_exact	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435316
3435335	CSU	CSU-L-000948	S. Strawn	948	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435335
3435452	CSU	CSU-L-000967	S. Strawn	967	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435452
3435483	CSU	CSU-L-000965	S. Strawn	965	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435483
3435484	CSU	CSU-L-000971	S. Strawn	971	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435484
3435542	CSU	CSU-L-000955	S. Strawn	955	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435542
3435584	CSU	CSU-L-000941	S. Strawn	941	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435584
3435585	CSU	CSU-L-000956	S. Strawn	956	74.31	Oklahoma	RogerMills	36.6667	-99.7506	outside_boundary_similarity_0.727	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435585
