occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3777624	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV227324	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3777624
3777683	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228505	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3777683
3777684	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228354	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3777684
3777976	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228356	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3777976
3777977	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV227166	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3777977
3778006	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228359	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778006
3778009	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV240383	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778009
3778012	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV240381	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778012
3778014	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228466	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778014
3778015	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228473	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778015
3778016	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228472	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778016
3778017	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV227433	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778017
3778018	DAV	Alison Colwell	Oregon	Benton	320.23	outside_boundary_exact	DAV228355	47.4339,-121.7415	Washington, King County	Corvallis. Bald Hill Natural Area, trail to Bald Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3778018
