institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.32206,-80.83368	302164	Everglades National Park, between Mahogany Hammock and the Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=1871860
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.409,-80.68617	302166	Everglades National Park, on Long Pine Key	https://lichenportal.org/portal/collections/individual/index.php?occid=1859323
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.49868,-80.67982	147191	Everglades National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1853575
DUKE	Stimson, William, R.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.76691,-80.25523	187263	Miami, corner of SW 37th Avenue and SW 5 Terrace	https://lichenportal.org/portal/collections/individual/index.php?occid=1877631
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.80553,-80.87337	188237	1.8 mi SE of the Collier-Dade County Line, along Route 41	https://lichenportal.org/portal/collections/individual/index.php?occid=1868068
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.56261,-80.38228	200520	Goulds	https://lichenportal.org/portal/collections/individual/index.php?occid=1849655
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.49194,-80.66722	48543	Everglades National Park. Osteen Hammock	https://lichenportal.org/portal/collections/individual/index.php?occid=1848826
DUKE	Stimson, William, R.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.76691,-80.25523	187259	Miami, corner of SW 37th Avenue and SW 5 Terrace	https://lichenportal.org/portal/collections/individual/index.php?occid=1880792
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.80553,-80.87337	187213	1.8 mi SE of the Collier-Dade County Line, along Route 41	https://lichenportal.org/portal/collections/individual/index.php?occid=1838480
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.32206,-80.83368	2434	Everglades National Park, between Mahogany Hammock and the Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=1838468
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.80553,-80.87337	188234	1.8 mi SE of the Collier-Dade County Line, along Route 41	https://lichenportal.org/portal/collections/individual/index.php?occid=1845362
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.32206,-80.83368	147193	Everglades National Park, between Mahogany Hammock and the Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=1868268
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.75699,-80.76535	200519	Everglades National Park. Shark Valley Tower	https://lichenportal.org/portal/collections/individual/index.php?occid=1868090
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.42539,-80.68006	200599	Everglades National Park. Pinelands Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1871369
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.56261,-80.38228	200521	Goulds	https://lichenportal.org/portal/collections/individual/index.php?occid=1867718
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.49868,-80.67982	187261	Everglades National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1864318
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.49194,-80.66722	147218	Everglades National Park. Osteen Hammock	https://lichenportal.org/portal/collections/individual/index.php?occid=1864627
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.80553,-80.87337	187214	1.8 mi SE of the Collier-Dade County Line, along Route 41	https://lichenportal.org/portal/collections/individual/index.php?occid=1848991
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.46872,-80.47756	225441	Near Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1839425
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.46872,-80.47756	225500	Homestead, along golf course	https://lichenportal.org/portal/collections/individual/index.php?occid=1874950
DUKE	Stimson, William, R.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.76691,-80.25523	298774	Miami, corner of SW 37th Avenue and SW 5 Terrace	https://lichenportal.org/portal/collections/individual/index.php?occid=1878598
DUKE	Craighead, F., C.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.14762,-80.72201	226170	Everglades National Park. Crocodile Point Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1858211
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.5123,-80.47756	300852	3 mi N of Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1852713
DUKE	Pursell, Ronald, A.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.37345,-80.60645	226350	Everglades National Park. Paradise Key, off trail from picnic area	https://lichenportal.org/portal/collections/individual/index.php?occid=1864717
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.75611,-80.76647	226539	Everglades National Park, Loop Road. Otter Cave Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1880735
DUKE	Stimson, William, R.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.76691,-80.25523	303782	Miami, corner of SW 37th Avenue and SW 5 Terrace	https://lichenportal.org/portal/collections/individual/index.php?occid=1846770
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.6721,-80.47756	308202	14 mi N of Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1839345
DUKE	Hale, Jr., Mason, Ellsworth	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.46872,-80.47756	315159	Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1841645
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.46872,-80.47756	315161	Near Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1852255
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.31056,-80.51139	315163	Just outside of the entrance to the Everglades National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1875954
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.46872,-80.47756	315170	Near Homestead	https://lichenportal.org/portal/collections/individual/index.php?occid=1861057
DUKE	Moore, Barbara, Jo	Florida	Dade Co.	NA	county_not_matched_no_match	lookup_error	25.32206,-80.83368	315419	Everglades National Park, between Mahogany Hammock and the Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=1857463
