id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1876869	DUKE	132576	Buck, William, R.	42858	4305.87	Missouri	Stone Co.	86.5933333	-93.3438889	outside_boundary_exact	not_found_in_US	Ashe Juniper Natural Area. Along California Lane, 0.3 mi W of CR JJ, 3.9 mi N of MO 86; above Table Rock Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1876869
1839302	DUKE	138311	Reeb, Valérie	VR 12-X-97/3	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1839302
1848723	DUKE	327316	Reeb, Valérie	VR 12-X-97/12	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1848723
1856276	DUKE	138324	Reeb, Valérie	VR 12-X-97/8	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1856276
1863559	DUKE	138333	Reeb, Valérie	VR 12-X-97/4	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1863559
1873476	DUKE	138306	Reeb, Valérie	VR 12-X-97/7	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1873476
1875675	DUKE	47541	Reeb, Valérie	VR 12-X-97/10	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1875675
1877505	DUKE	138307	Reeb, Valérie	VR 12-X-97/6	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1877505
1881129	DUKE	138328	Reeb, Valérie	VR 12-X-97/5	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1881129
1881160	DUKE	138322	Reeb, Valérie	VR 12-X-97/2	131.95	Missouri	Carter Co.	36.7833333	-92.7166667	outside_boundary_exact	Missouri, Ozark County	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob NW of tower, ca. 1.8 mi N of Peck Ranch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1881160
