id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
967498	DUKE	218035	Nash III, Thomas, H.	43238	18.59	Wyoming	Teton Co.	44.833333	-110.716667	outside_boundary_exact	Wyoming, Park County	Between Grand Teton National Park and Yellowstone National Park, along secondary road ca. 3 km W of US 89 near Flagg Ranch	https://lichenportal.org/portal/collections/individual/index.php?occid=967498
1843125	DUKE	310334	Billings, W., Dwight	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1843125
1848147	DUKE	186808	Billings, Shirley, M.; Billings, W., Dwight	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains, Blackstone Canyon at upper North Ridge Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1848147
1854849	DUKE	305241	Johnson, P., L.	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1854849
1865519	DUKE	309930	Johnson, Philip, L.	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1865519
1871826	DUKE	199170	Johnson, P., L.	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains, Summit Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1871826
1875184	DUKE	226300	Johnson, P., L.	s.n.	17.85	Wyoming	Park Co.	45.16328	-109.80795	outside_boundary_exact	Montana, Park County	Beartooth Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1875184
1848279	DUKE	48308	Solheim, Wilhelm, G.	3744	11.71	Wyoming	Teton Co.	44.68818	-110.39603	outside_boundary_exact	Wyoming, Park County	Teton National Park, 9.2 mi N of junction at Jackson Lake Lodge	https://lichenportal.org/portal/collections/individual/index.php?occid=1848279
1851210	DUKE	313440	Egan, Robert, S.	17249	11.26	Wyoming	Albany Co.	41.5102778	-106.2072222	outside_boundary_exact	Wyoming, Carbon County	Medicine Bow National Forest, 1 km SE of Green Rock Picnic Area on Barber Lake Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1851210
1840283	DUKE	316616	Williams, Thomas, A.	s.n.	10.66	Wyoming	Washakie Co.	44.26229	-107.2148	outside_boundary_exact	Wyoming, Big Horn County	Big Horn Mountains, Tensleep Lakes	https://lichenportal.org/portal/collections/individual/index.php?occid=1840283
1859803	DUKE	310192	Williams, Thomas, A.	s.n.	10.66	Wyoming	Washakie Co.	44.26229	-107.2148	outside_boundary_exact	Wyoming, Big Horn County	Big Horn Mountains, Tensleep Lakes	https://lichenportal.org/portal/collections/individual/index.php?occid=1859803
1847793	DUKE	302847	Wetmore, Clifford, M.	11297	5.34	Wyoming	Weston Co.	44.22866	-104.28575	outside_boundary_exact	Wyoming, Crook County	Black Hills, 20 mi NNW of Newcastle on US 85 at Soldier Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1847793
1852185	DUKE	48489	Wetmore, Clifford, M.	11258	5.34	Wyoming	Weston Co.	44.22866	-104.28575	outside_boundary_exact	Wyoming, Crook County	Black Hills, 20 mi NNW of Newcastle on US 85 at Soldier Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1852185
1869447	DUKE	48889	Wetmore, Clifford, M.	11264	5.34	Wyoming	Weston Co.	44.22866	-104.28575	outside_boundary_exact	Wyoming, Crook County	Black Hills, 20 mi NNW of Newcastle on US 85 at Soldier Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1869447
1868282	DUKE	191331	Gansby, E., B.	s.n.	5.25	Wyoming	Teton Co.	44.71356	-110.73395	outside_boundary_exact	Wyoming, Park County	Yellowstone National Park, Gibbon River	https://lichenportal.org/portal/collections/individual/index.php?occid=1868282
1885362	DUKE	226301	Reed, John; Reed, Mildred, S	2967	2.81	Wyoming	Fremont Co.	43.74106	-110.08629	outside_boundary_exact	Wyoming, Teton County	Shoshone National Forest, Two Ocean Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1885362
1854350	DUKE	158004	Shushan, Sam	S 9849	1.61	Wyoming	Carbon Co.	41.34753	-106.30332	outside_boundary_exact	Wyoming, Albany County	Medicine Bow National Forest, Snowy Range Pass 43 mi W of Laramie	https://lichenportal.org/portal/collections/individual/index.php?occid=1854350
1855707	DUKE	310326	Shushan, Sam	S 9854	1.61	Wyoming	Carbon Co.	41.34753	-106.30332	outside_boundary_exact	Wyoming, Albany County	Medicine Bow National Forest, Snowy Range Pass 43 mi W of Laramie	https://lichenportal.org/portal/collections/individual/index.php?occid=1855707
1872198	DUKE	154603	Buckingham, B., J.	S 22155	0.46	Wyoming	Lincoln Co.	41.57511	-110.53767	outside_boundary_exact	Wyoming, Uinta County	15 mi S of Kemmerer, Red Desert area	https://lichenportal.org/portal/collections/individual/index.php?occid=1872198
1880811	DUKE	314842	Bliss, L.	100	0.23	Wyoming	Carbon Co.	41.36	-106.32	outside_boundary_exact	Wyoming, Albany County	Medicine Bow Mountains, base of Medicine Bow Peak, Snowy Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1880811
