id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1862709	DUKE	184996	Hammer, Samuel	5321	247.41	459.67	Idaho	Idaho Co.	42.91655	-116.7829	outside_boundary_exact	Idaho, Owyhee County	Flint	https://lichenportal.org/portal/collections/individual/index.php?occid=1862709
1866092	DUKE	31305	Hammer, Samuel	5319	247.41	459.67	Idaho	Idaho Co.	42.91655	-116.7829	outside_boundary_exact	Idaho, Owyhee County	Flint	https://lichenportal.org/portal/collections/individual/index.php?occid=1866092
1858609	DUKE	157807	Esslinger, Theodore, L.	2493	235.4	306.85	Idaho	Kootenai Co.	45.26933	-116.20232	outside_boundary_exact	Idaho, Idaho County	Near the S end of Lower Twin Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1858609
1883253	DUKE	133036	Esslinger, Theodore, L.	11344	235.4	306.85	Idaho	Kootenai Co.	45.26933	-116.20232	outside_boundary_exact	Idaho, Idaho County	Near the S end of Lower Twin Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1883253
1864632	DUKE	225247	McCune, Bruce	24654	201.27	286.62	Idaho	Nez Perce Co.	48.4466667	-116.8416667	outside_boundary_exact	Idaho, Bonner County	N side of Clearwater River opposite N Lapwai, 15 km E of Lewiston	https://lichenportal.org/portal/collections/individual/index.php?occid=1864632
1838598	DUKE	13842	McCune, Bruce; NW Lichen Guild	25237	177.92	244.58	Idaho	Latah Co.	44.9416667	-116.65	outside_boundary_exact	Idaho, Adams County	Low benches along Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=1838598
1344278	DUKE	222990	Esslinger, Theodore, L.	14095	167.99	238.62	Idaho	Kootenai Co.	45.85	-116.866667	outside_boundary_exact	Oregon, Wallowa County	Near the S end of Lower Twin Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1344278
1860200	DUKE	309975	Smith, A., H.	1821	84.64	181.06	Idaho	Adams Co.	43.74649	-115.8831	outside_boundary_exact	Idaho, Boise County	Along Thorn Creek, near Boise	https://lichenportal.org/portal/collections/individual/index.php?occid=1860200
1344296	DUKE	223008	Esslinger, Theodore, L.	2534	60.13	126.24	Idaho	Latah Co.	46	-116.816667	outside_boundary_exact	Idaho, Nez Perce County	Moscow Mountain, near the Tamarack Ski Area	https://lichenportal.org/portal/collections/individual/index.php?occid=1344296
1869886	DUKE	32035	St. Clair, Larry, L.	BRY39077	57.07	240.01	Idaho	Idaho Co.	45	-114	outside_boundary_exact	Idaho, Lemhi County	MacGruder Ranger Station, along USFS Trail 4, along Selway River	https://lichenportal.org/portal/collections/individual/index.php?occid=1869886
1860805	DUKE	192543	Rosentreter, Roger; DeBolt, Ann	7054	34.44	101.04	Idaho	Nez Perce Co.	45.7833333	-116.3166667	outside_boundary_exact	Idaho, Idaho County	Along the Salmon River Canyon. 1 mi N of Hammer Creek, 40 mi SE of Lewiston	https://lichenportal.org/portal/collections/individual/index.php?occid=1860805
1357308	DUKE	307384	Rosentreter, Roger	6885	23.75	153.4	Idaho	Custer Co.	44.666667	-113.416667	outside_boundary_exact	Idaho, Lemhi County	Upper Texas Creek off Route 28, 70 mi SE of Salmon	https://lichenportal.org/portal/collections/individual/index.php?occid=1357308
3778695	DUKE	307364	Rosentreter, Roger	6888	23.75	153.4	Idaho	Custer Co.	44.666667	-113.416667	outside_boundary_exact	Idaho, Lemhi County	Upper Texas Creek off Route 28, 70 mi SE of Salmon	https://lichenportal.org/portal/collections/individual/index.php?occid=3778695
3780009	DUKE	307365	Rosentreter, Roger	6888	23.75	153.4	Idaho	Custer Co.	44.666667	-113.416667	outside_boundary_exact	Idaho, Lemhi County	Upper Texas Creek off Route 28, 70 mi SE of Salmon	https://lichenportal.org/portal/collections/individual/index.php?occid=3780009
1864657	DUKE	132404	Rosentreter, Roger	7891	20.74	91.83	Idaho	Ada Co.	43	-116.5	outside_boundary_exact	Idaho, Owyhee County	6 mi N of Boise, Lower Dry Creek, downstream from Bogus Basin Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1864657
3780250	DUKE	306084	Rosentreter, Roger	7893	20.74	91.83	Idaho	Ada Co.	43	-116.5	outside_boundary_exact	Idaho, Owyhee County	Lower Dry Creek. Downstream from Bogus Basin Road. 6 mi N of Boise	https://lichenportal.org/portal/collections/individual/index.php?occid=3780250
1866494	DUKE	38832	Rosentreter, Roger	9157	7.87	232.19	Idaho	Idaho Co.	45.15	-116.4	outside_boundary_exact	Idaho, Adams County	30 mi S of Riggins	https://lichenportal.org/portal/collections/individual/index.php?occid=1866494
5071386	DUKE	368086	DeBolt, Ann	753	3.8	203.11	Idaho	Lemhi Co.	44.2	-113	outside_boundary_exact	Idaho, Butte County	Ca. 8 km N of Lone Pine, and W of US 93	https://lichenportal.org/portal/collections/individual/index.php?occid=5071386
1344306	DUKE	223018	Esslinger, Theodore, L.	1856	1.35	69.27	Idaho	Latah Co.	46.616667	-116.516667	outside_boundary_exact	Idaho, Nez Perce County	Ca. 1.5 mi NW of Kendrick, along the Kendrick grade	https://lichenportal.org/portal/collections/individual/index.php?occid=1344306
